# NonDimLength  RelLossFactorError
3.417230e-02 2.617219e-02
4.832693e-02 5.942062e-01
5.918816e-02 2.807785e-01
6.834461e-02 6.604840e-02
7.641159e-02 -2.492212e-02
8.370470e-02 -1.836220e-02
9.041141e-02 -3.168132e-02
9.665387e-02 -1.892780e-02
1.025169e-01 -1.194863e-03
1.080623e-01 -1.089623e-02
1.323488e-01 8.316734e-04
1.528232e-01 3.910051e-03
1.708615e-01 -4.608934e-03
1.871694e-01 1.763276e-04
2.021661e-01 9.805097e-04
2.161246e-01 2.112245e-04
2.292348e-01 -4.524446e-04
2.416347e-01 -2.480659e-04
2.534286e-01 -2.243787e-04
2.646975e-01 -2.680603e-04
2.755059e-01 -1.656827e-04
2.859060e-01 1.307549e-04
2.959408e-01 -1.475447e-04
3.056464e-01 -4.888380e-05
3.150531e-01 -5.062425e-05
3.241869e-01 3.014229e-05
3.330704e-01 -7.041683e-05
3.417230e-01 -5.358255e-05
