# NonDimLength  RelLossFactorError
4.043321e-02 3.543735e-01
4.952037e-02 3.248127e-01
5.718120e-02 1.965959e-01
6.393052e-02 1.303692e-02
7.003238e-02 3.410988e-02
7.564362e-02 2.078923e-02
8.086643e-02 1.127371e-02
8.577180e-02 1.129059e-02
9.041141e-02 2.034426e-03
9.482429e-02 6.233596e-03
9.904074e-02 3.233509e-02
1.030849e-01 4.631122e-02
1.069762e-01 1.823707e-02
1.107309e-01 1.236833e-02
1.143624e-01 1.613371e-02
1.178821e-01 1.744268e-03
1.212996e-01 1.568773e-03
1.246235e-01 1.515925e-04
1.278610e-01 9.767136e-03
1.400648e-01 3.643362e-04
1.565972e-01 4.575356e-03
1.667104e-01 1.494987e-04
1.808228e-01 3.947456e-04
2.021661e-01 4.678267e-04
2.214618e-01 1.056786e-03
2.392061e-01 8.800806e-05
2.557221e-01 4.616487e-05
2.712342e-01 1.370151e-04
2.859060e-01 8.019835e-05
2.998607e-01 2.976129e-05
3.131943e-01 2.920586e-04
3.259830e-01 1.654838e-04
3.382885e-01 1.059923e-04
3.501619e-01 5.501055e-05
3.616457e-01 2.573983e-05
3.727758e-01 2.173780e-05
3.835831e-01 7.505091e-07
3.940942e-01 5.629739e-05
4.043321e-01 1.046841e-04
