#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 1.00000E+00   5.40207E-07   1.08041E-06   6.72634E-07   1.34526E-06   7.70887E-07   1.54176E-06   8.37869E-07   1.67572E-06   8.76478E-07   1.75293E-06   8.89617E-07   1.77921E-06   8.80185E-07   1.76034E-06   8.51084E-07   1.70214E-06   8.05214E-07   1.61039E-06   7.45476E-07   1.49092E-06   6.74770E-07   1.34951E-06   5.95999E-07   1.19197E-06   5.12063E-07   1.02410E-06   4.25862E-07   8.51701E-07   3.40298E-07   6.80577E-07   2.58271E-07   5.16528E-07   1.82683E-07   3.65356E-07   1.16435E-07   2.32863E-07   6.24275E-08   1.24851E-07   2.35618E-08   4.71221E-08   2.73885E-09   5.47754E-09
 2.00000E+00   1.08046E-06   2.16084E-06   1.34533E-06   2.69056E-06   1.54186E-06   3.08358E-06   1.67584E-06   3.35151E-06   1.75307E-06   3.50595E-06   1.77937E-06   3.55851E-06   1.76052E-06   3.52079E-06   1.70232E-06   3.40439E-06   1.61058E-06   3.22091E-06   1.49110E-06   2.98195E-06   1.34969E-06   2.69913E-06   1.19214E-06   2.38404E-06   1.02425E-06   2.04829E-06   8.51830E-07   1.70348E-06   6.80684E-07   1.36122E-06   5.16612E-07   1.03311E-06   3.65417E-07   7.30750E-07   2.32903E-07   4.65751E-07   1.24873E-07   2.49716E-07   4.71306E-08   9.42495E-08   5.47854E-09   1.09557E-08
 3.00000E+00   1.62078E-06   3.24134E-06   2.01814E-06   4.03595E-06   2.31299E-06   4.62552E-06   2.51401E-06   5.02745E-06   2.62991E-06   5.25915E-06   2.66939E-06   5.33802E-06   2.64114E-06   5.28145E-06   2.55386E-06   5.10686E-06   2.41626E-06   4.83165E-06   2.23704E-06   4.47322E-06   2.02490E-06   4.04897E-06   1.78854E-06   3.57632E-06   1.53668E-06   3.07267E-06   1.27801E-06   2.55542E-06   1.02125E-06   2.04200E-06   7.75091E-07   1.54979E-06   5.48252E-07   1.09622E-06   3.49438E-07   6.98689E-07   1.87355E-07   3.74608E-07   7.07135E-08   1.41387E-07   8.21989E-09   1.64351E-08
 4.00000E+00   2.16123E-06   4.32193E-06   2.69114E-06   5.38147E-06   3.08436E-06   6.16764E-06   3.35248E-06   6.70362E-06   3.50710E-06   7.01262E-06   3.55981E-06   7.11783E-06   3.52219E-06   7.04245E-06   3.40586E-06   6.80968E-06   3.22240E-06   6.44274E-06   2.98343E-06   5.96483E-06   2.70055E-06   5.39914E-06   2.38536E-06   4.76890E-06   2.04948E-06   4.09732E-06   1.70451E-06   3.40761E-06   1.36208E-06   2.72297E-06   1.03378E-06   2.06663E-06   7.31239E-07   1.46180E-06   4.66072E-07   9.31701E-07   2.49892E-07   4.99542E-07   9.43175E-08   1.88541E-07   1.09637E-08   2.19164E-08
 5.00000E+00   2.70184E-06   5.40263E-06   3.36437E-06   6.72718E-06   3.85605E-06   7.71000E-06   4.19136E-06   8.38009E-06   4.38477E-06   8.76644E-06   4.45076E-06   8.89803E-06   4.40383E-06   8.80388E-06   4.25847E-06   8.51296E-06   4.02917E-06   8.05430E-06   3.73044E-06   7.45689E-06   3.37679E-06   6.74975E-06   2.98273E-06   5.96190E-06   2.56277E-06   5.12234E-06   2.13144E-06   4.26011E-06   1.70326E-06   3.40421E-06   1.29275E-06   2.58368E-06   9.14429E-07   1.82754E-06   5.82839E-07   1.16481E-06   3.12502E-07   6.24530E-07   1.17950E-07   2.35716E-07   1.37109E-08   2.74002E-08
 6.00000E+00   3.24265E-06   6.48349E-06   4.03791E-06   8.07311E-06   4.62815E-06   9.25267E-06   5.03074E-06   1.00569E-05   5.26303E-06   1.05207E-05   5.34239E-06   1.06787E-05   5.28619E-06   1.05658E-05   5.11184E-06   1.02168E-05   4.83671E-06   9.66644E-06   4.47822E-06   8.94953E-06   4.05377E-06   8.10092E-06   3.58078E-06   7.15541E-06   3.07668E-06   6.14783E-06   2.55891E-06   5.11301E-06   2.04489E-06   4.08578E-06   1.55206E-06   3.10099E-06   1.09787E-06   2.19346E-06   6.99772E-07   1.39805E-06   3.75203E-07   7.49586E-07   1.41617E-07   2.82917E-07   1.64623E-08   3.28871E-08
 7.00000E+00   3.78370E-06   7.56453E-06   4.71181E-06   9.41931E-06   5.40074E-06   1.07957E-05   5.87073E-06   1.17342E-05   6.14200E-06   1.22755E-05   6.23482E-06   1.24601E-05   6.16943E-06   1.23285E-05   5.96612E-06   1.19213E-05   5.64518E-06   1.12793E-05   5.22691E-06   1.04429E-05   4.73163E-06   9.45274E-06   4.17965E-06   8.34953E-06   3.59133E-06   7.17387E-06   2.98701E-06   5.96639E-06   2.38705E-06   4.76776E-06   1.81179E-06   3.61861E-06   1.28162E-06   2.55962E-06   8.16904E-07   1.63143E-06   4.38014E-07   8.74724E-07   1.65326E-07   3.30150E-07   1.92187E-08   3.83777E-08
 8.00000E+00   4.32503E-06   8.64578E-06   5.38613E-06   1.07658E-05   6.17389E-06   1.23392E-05   6.71142E-06   1.34121E-05   7.02181E-06   1.40309E-05   7.12819E-06   1.42421E-05   7.05369E-06   1.40919E-05   6.82148E-06   1.36267E-05   6.45474E-06   1.28929E-05   5.97668E-06   1.19370E-05   5.41052E-06   1.08053E-05   4.77949E-06   9.54437E-06   4.10685E-06   8.20055E-06   3.41587E-06   6.82033E-06   2.72983E-06   5.45019E-06   2.07201E-06   4.13660E-06   1.46573E-06   2.92604E-06   9.34270E-07   1.86499E-06   5.00952E-07   9.99958E-07   1.89085E-07   3.77420E-07   2.19809E-08   4.38728E-08
 9.00000E+00   4.86669E-06   9.72727E-06   6.06093E-06   1.21127E-05   6.94770E-06   1.38831E-05   7.55293E-06   1.50905E-05   7.90258E-06   1.57871E-05   8.02263E-06   1.60249E-05   7.93911E-06   1.58561E-05   7.67806E-06   1.53329E-05   7.26555E-06   1.45075E-05   6.72768E-06   1.34321E-05   6.09059E-06   1.21588E-05   5.38042E-06   1.07400E-05   4.62335E-06   9.22797E-06   3.84558E-06   7.67492E-06   3.07332E-06   6.13316E-06   2.33279E-06   4.65500E-06   1.65024E-06   3.29276E-06   1.05190E-06   2.09875E-06   5.64038E-07   1.12530E-06   2.12901E-07   4.24732E-07   2.47498E-08   4.93728E-08
 1.00000E+01   5.40871E-06   1.08090E-05   6.73628E-06   1.34600E-05   7.72223E-06   1.54276E-05   8.39534E-06   1.67696E-05   8.78441E-06   1.75440E-05   8.91829E-06   1.78086E-05   8.82585E-06   1.76214E-05   8.53602E-06   1.70402E-05   8.07776E-06   1.61231E-05   7.48007E-06   1.49281E-05   6.77199E-06   1.35133E-05   5.98259E-06   1.19366E-05   5.14097E-06   1.02562E-05   4.27626E-06   8.53022E-06   3.41761E-06   6.81673E-06   2.59420E-06   5.17388E-06   1.83521E-06   3.65983E-06   1.16983E-06   2.33274E-06   6.27287E-07   1.25077E-06   2.36780E-07   4.72091E-07   2.75262E-08   5.48784E-08
