# freq eta
1.000000000000000000e+00 5.130860963958971954e-01
2.000000000000000000e+00 7.971031026197256120e-01
3.000000000000000000e+00 6.403892564010532640e-01
4.000000000000000000e+00 5.330241976199091569e-01
5.000000000000000000e+00 4.875389378835846554e-01
6.000000000000000000e+00 4.908188993387859744e-01
7.000000000000000000e+00 4.841593400927920454e-01
8.000000000000000000e+00 4.905361017661525325e-01
9.000000000000000000e+00 4.994025687338520259e-01
1.000000000000000000e+01 4.945518837892919906e-01
1.500000000000000000e+01 5.004158367064389656e-01
2.000000000000000000e+01 5.019550254895818187e-01
2.500000000000000000e+01 4.976955330220109719e-01
3.000000000000000000e+01 5.000881638120118211e-01
3.500000000000000000e+01 5.004902548511055427e-01
4.000000000000000000e+01 5.001056122344972321e-01
4.500000000000000000e+01 4.997737777117529645e-01
5.000000000000000000e+01 4.998759670389100740e-01
5.500000000000000000e+01 4.998878106514401676e-01
6.000000000000000000e+01 4.998659698362906689e-01
6.500000000000000000e+01 4.999171586682980006e-01
7.000000000000000000e+01 5.000653774272588725e-01
7.500000000000000000e+01 4.999262276454218834e-01
8.000000000000000000e+01 4.999755581014144745e-01
8.500000000000000000e+01 4.999746878734230848e-01
9.000000000000000000e+01 5.000150711457705954e-01
9.500000000000000000e+01 4.999647915868782877e-01
1.000000000000000000e+02 4.999732087255028823e-01
