# freq eta
3.539999999999999858e+01 3.907994461334257652e-01
3.560000000000000142e+01 3.908544410804537517e-01
3.589999999999999858e+01 3.909263164295354032e-01
3.610000000000000142e+01 3.909694137170109385e-01
3.639999999999999858e+01 3.910257676745302891e-01
3.660000000000000142e+01 3.910581117835624787e-01
3.689999999999999858e+01 3.910993587587398568e-01
3.720000000000000284e+01 3.911315753169453124e-01
3.739999999999999858e+01 3.911479158535695611e-01
3.770000000000000284e+01 3.911657301839619461e-01
3.800000000000000000e+01 3.911769241663676788e-01
3.829999999999999716e+01 3.911807991308048904e-01
3.850000000000000000e+01 3.911804060410938866e-01
3.879999999999999716e+01 3.911751235146339600e-01
3.910000000000000142e+01 3.911651566114929812e-01
3.939999999999999858e+01 3.911517225493167382e-01
3.970000000000000284e+01 3.911354752554445646e-01
4.000000000000000000e+01 3.911176363543023560e-01
4.020000000000000284e+01 3.911051736032924997e-01
4.050000000000000000e+01 3.910862037923188428e-01
4.079999999999999716e+01 3.910665633061901625e-01
4.110000000000000142e+01 3.910491293098988241e-01
4.139999999999999858e+01 3.910314109186106002e-01
4.170000000000000284e+01 3.910168521390293139e-01
4.200000000000000000e+01 3.910025163988913310e-01
4.229999999999999716e+01 3.909922202595368379e-01
4.260000000000000142e+01 3.909838176366898232e-01
4.289999999999999858e+01 3.909792017808195186e-01
4.320000000000000284e+01 3.909760342898339069e-01
4.360000000000000142e+01 3.909762904159184704e-01
4.389999999999999858e+01 3.909792108730689719e-01
4.420000000000000284e+01 3.909839001030644967e-01
4.450000000000000000e+01 3.909912259237230403e-01
4.479999999999999716e+01 3.909999442691866611e-01
4.520000000000000284e+01 3.910141832489658631e-01
4.550000000000000000e+01 3.910253135429978544e-01
4.579999999999999716e+01 3.910380108794600518e-01
4.610000000000000142e+01 3.910508082319456014e-01
4.650000000000000000e+01 3.910669620390784806e-01
4.679999999999999716e+01 3.910797193454478848e-01
4.710000000000000142e+01 3.910924992028101954e-01
4.750000000000000000e+01 3.911073393852514402e-01
4.779999999999999716e+01 3.911182774688779507e-01
4.820000000000000284e+01 3.911306071528579120e-01
4.850000000000000000e+01 3.911402745718065010e-01
4.889999999999999858e+01 3.911489157260137350e-01
4.920000000000000284e+01 3.911552810473214459e-01
4.960000000000000142e+01 3.911631335873063109e-01
4.989999999999999858e+01 3.911675430277390952e-01
5.029999999999999716e+01 3.911716132897060660e-01
5.070000000000000284e+01 3.911756674951947788e-01
5.100000000000000000e+01 3.911791593456557803e-01
5.139999999999999858e+01 3.911840658344327148e-01
5.179999999999999716e+01 3.911879549231150333e-01
5.210000000000000142e+01 3.911927557223433549e-01
5.250000000000000000e+01 3.912005432317937625e-01
5.289999999999999858e+01 3.912099837519786294e-01
5.329999999999999716e+01 3.912212498542885775e-01
5.370000000000000284e+01 3.912360953742261005e-01
5.410000000000000142e+01 3.912552245350795488e-01
5.439999999999999858e+01 3.912712651451047408e-01
5.479999999999999716e+01 3.912957346541988124e-01
5.520000000000000284e+01 3.913221153538802843e-01
5.560000000000000142e+01 3.913532445231877044e-01
5.600000000000000000e+01 3.913870905138899792e-01
5.639999999999999858e+01 3.914247706770758728e-01
5.679999999999999716e+01 3.914634382442665483e-01
5.729999999999999716e+01 3.915157221070190707e-01
5.770000000000000284e+01 3.915597540320026049e-01
5.810000000000000142e+01 3.916033582041132388e-01
5.850000000000000000e+01 3.916484464534619181e-01
5.889999999999999858e+01 3.916937057197630856e-01
5.939999999999999858e+01 3.917471932299308457e-01
5.979999999999999716e+01 3.917893603483691423e-01
6.020000000000000284e+01 3.918299344110680038e-01
6.060000000000000142e+01 3.918670570145447729e-01
6.110000000000000142e+01 3.919096620347289339e-01
6.150000000000000000e+01 3.919409750920241353e-01
6.200000000000000000e+01 3.919745633693340059e-01
6.239999999999999858e+01 3.919959428310573757e-01
6.289999999999999858e+01 3.920192031692506518e-01
6.329999999999999716e+01 3.920321315372339299e-01
6.379999999999999716e+01 3.920424738886944538e-01
6.420000000000000284e+01 3.920466619632752003e-01
6.470000000000000284e+01 3.920451308626503595e-01
6.520000000000000284e+01 3.920402502693153823e-01
6.559999999999999432e+01 3.920318425400945439e-01
6.609999999999999432e+01 3.920177025285955796e-01
6.659999999999999432e+01 3.920012014976360648e-01
