#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   5.47197E-03   2.16911E-02   7.14731E-03   2.58201E-02   8.29411E-03   2.73745E-02   8.75881E-03   2.63180E-02   8.46813E-03   2.28070E-02   7.43166E-03   1.71830E-02   5.73714E-03   9.94705E-03   3.53889E-03   1.71952E-03   1.04015E-03  -6.81102E-03  -1.52882E-03  -1.49463E-02  -3.86139E-03  -2.16790E-02  -5.48093E-03  -2.53927E-02  -6.41999E-03  -2.66008E-02  -6.68289E-03  -2.55422E-02  -6.21281E-03  -2.21533E-02  -5.01993E-03  -1.65515E-02  -3.17548E-03  -9.01017E-03  -7.98935E-04   8.08755E-05   1.96097E-03   1.02696E-02   4.95029E-03   2.11063E-02   8.03748E-03   3.22167E-02
 3.56000E+01   5.69751E-03   2.21385E-02   7.45578E-03   2.64150E-02   8.66547E-03   2.80759E-02   9.16292E-03   2.70700E-02   8.86891E-03   2.35461E-02   7.79156E-03   1.78451E-02   6.02154E-03   1.04746E-02   3.71993E-03   2.06758E-03   1.09982E-03  -6.67050E-03  -1.59683E-03  -1.50219E-02  -4.04788E-03  -2.19537E-02  -5.75257E-03  -2.58101E-02  -6.74314E-03  -2.71055E-02  -7.02297E-03  -2.60783E-02  -6.53160E-03  -2.26597E-02  -5.27921E-03  -1.69674E-02  -3.34047E-03  -9.28085E-03  -8.40980E-04   3.43652E-07   2.06264E-03   1.04116E-02   5.20817E-03   2.14904E-02   8.45691E-03   3.28510E-02
 3.59000E+01   6.06562E-03   2.28378E-02   7.95965E-03   2.73462E-02   9.27247E-03   2.91750E-02   9.82386E-03   2.82493E-02   9.52482E-03   2.47055E-02   8.38100E-03   1.88837E-02   6.48777E-03   1.13017E-02   4.01729E-03   2.61199E-03   1.19869E-03  -6.45315E-03  -1.70689E-03  -1.51452E-02  -4.35194E-03  -2.23911E-02  -6.19626E-03  -2.64726E-02  -7.27146E-03  -2.79055E-02  -7.57930E-03  -2.69274E-02  -7.05337E-03  -2.34611E-02  -5.70383E-03  -1.76253E-02  -3.61091E-03  -9.70831E-03  -9.10291E-04  -1.25567E-04   2.22852E-03   1.06386E-02   5.62971E-03   2.21011E-02   9.14289E-03   3.38586E-02
 3.61000E+01   6.33310E-03   2.33240E-02   8.32605E-03   2.79946E-02   9.71414E-03   2.99410E-02   1.03051E-02   2.90718E-02   1.00026E-02   2.55144E-02   8.81069E-03   1.96084E-02   6.82796E-03   1.18784E-02   4.23464E-03   2.99084E-03   1.27154E-03  -6.30348E-03  -1.78624E-03  -1.52344E-02  -4.57270E-03  -2.27005E-02  -6.51891E-03  -2.69399E-02  -7.65598E-03  -2.84691E-02  -7.98446E-03  -2.75252E-02  -7.43354E-03  -2.40251E-02  -6.01337E-03  -1.80879E-02  -3.80822E-03  -1.00085E-02  -9.61123E-04  -2.13166E-04   2.34902E-03   1.07997E-02   5.93649E-03   2.25326E-02   9.64237E-03   3.45698E-02
 3.64000E+01   6.77180E-03   2.40854E-02   8.92738E-03   2.90112E-02   1.04395E-02   3.11433E-02   1.10957E-02   3.03637E-02   1.07882E-02   2.67856E-02   9.51756E-03   2.07473E-02   7.38807E-03   1.27844E-02   4.59309E-03   3.58480E-03   1.39258E-03  -6.07111E-03  -1.91540E-03  -1.53792E-02  -4.93449E-03  -2.31930E-02  -7.04851E-03  -2.76816E-02  -8.28765E-03  -2.93630E-02  -8.65040E-03  -2.84727E-02  -8.05869E-03  -2.49185E-02  -6.52263E-03  -1.88204E-02  -4.13311E-03  -1.04830E-02  -1.04522E-03  -3.50504E-04   2.54664E-03   1.10570E-02   6.44045E-03   2.32188E-02   1.04632E-02   3.56997E-02
 3.66000E+01   7.09216E-03   2.46156E-02   9.36679E-03   2.97202E-02   1.09698E-02   3.19826E-02   1.16741E-02   3.12661E-02   1.13631E-02   2.76740E-02   1.00352E-02   2.15433E-02   7.79860E-03   1.34173E-02   4.85620E-03   3.99903E-03   1.48202E-03  -5.91054E-03  -2.00909E-03  -1.54832E-02  -5.19854E-03  -2.35412E-02  -7.43558E-03  -2.82048E-02  -8.74968E-03  -2.99929E-02  -9.13774E-03  -2.91401E-02  -8.51638E-03  -2.55477E-02  -6.89563E-03  -1.93358E-02  -4.37123E-03  -1.08166E-02  -1.10712E-03  -4.46296E-04   2.69096E-03   1.12394E-02   6.80905E-03   2.37037E-02   1.10638E-02   3.64974E-02
 3.69000E+01   7.62034E-03   2.54471E-02   1.00917E-02   3.08334E-02   1.18451E-02   3.33018E-02   1.26293E-02   3.26856E-02   1.23131E-02   2.90719E-02   1.08910E-02   2.27960E-02   8.47778E-03   1.44131E-02   5.29210E-03   4.64970E-03   1.63112E-03  -5.66045E-03  -2.16257E-03  -1.56513E-02  -5.63366E-03  -2.40952E-02  -8.07432E-03  -2.90355E-02  -9.51263E-03  -3.09922E-02  -9.94288E-03  -3.01984E-02  -9.27283E-03  -2.65448E-02  -7.51237E-03  -2.01525E-02  -4.76524E-03  -1.13446E-02  -1.20996E-03  -5.96814E-04   2.92894E-03   1.15304E-02   7.41775E-03   2.44747E-02   1.20561E-02   3.77649E-02
 3.72000E+01   8.21388E-03   2.63248E-02   1.09069E-02   3.20103E-02   1.28300E-02   3.46979E-02   1.37047E-02   3.41891E-02   1.33832E-02   3.05534E-02   1.18557E-02   2.41239E-02   9.24394E-03   1.54682E-02   5.78459E-03   5.33798E-03   1.80071E-03  -5.39836E-03  -2.33384E-03  -1.58344E-02  -6.12240E-03  -2.46893E-02  -8.79283E-03  -2.99243E-02  -1.03716E-02  -3.20606E-02  -1.08498E-02  -3.13294E-02  -1.01253E-02  -2.76100E-02  -8.20768E-03  -2.10244E-02  -5.20977E-03  -1.19076E-02  -1.32649E-03  -7.56113E-04   3.19646E-03   1.18435E-02   8.10305E-03   2.53013E-02   1.31736E-02   3.91225E-02
 3.74000E+01   8.65117E-03   2.69371E-02   1.15078E-02   3.28322E-02   1.35564E-02   3.56739E-02   1.44981E-02   3.52408E-02   1.41731E-02   3.15902E-02   1.25680E-02   2.50534E-02   9.81008E-03   1.62066E-02   6.14892E-03   5.81904E-03   1.92681E-03  -5.21648E-03  -2.45935E-03  -1.59652E-02  -6.48238E-03  -2.51089E-02  -9.32264E-03  -3.05510E-02  -1.10053E-02  -3.28135E-02  -1.15192E-02  -3.21261E-02  -1.07547E-02  -2.83602E-02  -8.72126E-03  -2.16383E-02  -5.53829E-03  -1.23037E-02  -1.41290E-03  -8.67511E-04   3.39361E-03   1.20651E-02   8.60871E-03   2.58848E-02   1.39985E-02   4.00804E-02
 3.77000E+01   9.37889E-03   2.78983E-02   1.25083E-02   3.41241E-02   1.47663E-02   3.72092E-02   1.58202E-02   3.68965E-02   1.54898E-02   3.32231E-02   1.37560E-02   2.65175E-02   1.07549E-02   1.73695E-02   6.75758E-03   6.57579E-03   2.13844E-03  -4.93223E-03  -2.66720E-03  -1.61749E-02  -7.08129E-03  -2.57751E-02  -1.02051E-02  -3.15448E-02  -1.20614E-02  -3.40066E-02  -1.26352E-02  -3.33884E-02  -1.18044E-02  -2.95485E-02  -9.57804E-03  -2.26103E-02  -6.08664E-03  -1.29304E-02  -1.55755E-03  -1.04286E-03   3.72185E-03   1.24177E-02   9.45148E-03   2.68114E-02   1.53736E-02   4.16007E-02
