# freq eta
3.539999999999999858e+01 9.650513193264667611e-02
3.560000000000000142e+01 8.065365261792500906e-02
3.589999999999999858e+01 1.035806301017932335e-01
3.610000000000000142e+01 9.402280934202930651e-02
3.639999999999999858e+01 1.028919666554097834e-01
3.660000000000000142e+01 1.197635235314369329e-01
3.689999999999999858e+01 8.894841820362663076e-02
3.720000000000000284e+01 9.659358806609145975e-02
3.739999999999999858e+01 1.056768011906944471e-01
3.770000000000000284e+01 9.906479075298842141e-02
3.800000000000000000e+01 9.071570350764200652e-02
3.829999999999999716e+01 8.133041810199582999e-02
3.850000000000000000e+01 9.414257741703489779e-02
3.879999999999999716e+01 9.806190373837685159e-02
3.910000000000000142e+01 1.031654467342409398e-01
3.939999999999999858e+01 9.689220115010410694e-02
3.970000000000000284e+01 8.895312404902321057e-02
4.000000000000000000e+01 1.106783675464718536e-01
4.020000000000000284e+01 1.036749312345492113e-01
4.050000000000000000e+01 9.577729873476656386e-02
4.079999999999999716e+01 1.038819854291125194e-01
4.110000000000000142e+01 1.053451617571002780e-01
4.139999999999999858e+01 9.539893075190254701e-02
4.170000000000000284e+01 9.635351998742514024e-02
4.200000000000000000e+01 1.035683639757157964e-01
4.229999999999999716e+01 1.115889673732711335e-01
4.260000000000000142e+01 1.060666486722833951e-01
4.289999999999999858e+01 1.048905504921610610e-01
4.320000000000000284e+01 1.004161968304790598e-01
4.360000000000000142e+01 9.306454669117808498e-02
4.389999999999999858e+01 9.001334430484118909e-02
4.420000000000000284e+01 9.792342038636731028e-02
4.450000000000000000e+01 1.008437447207806981e-01
4.479999999999999716e+01 1.046154582296051905e-01
4.520000000000000284e+01 9.602648305178464183e-02
4.550000000000000000e+01 9.082763171094988819e-02
4.579999999999999716e+01 9.170074861971538871e-02
4.610000000000000142e+01 1.012836898871583152e-01
4.650000000000000000e+01 1.002655722989665571e-01
4.679999999999999716e+01 1.020120027251815997e-01
4.710000000000000142e+01 9.534791588783128602e-02
4.750000000000000000e+01 1.065213015251444961e-01
4.779999999999999716e+01 9.944948725033339598e-02
4.820000000000000284e+01 1.135055837455592742e-01
4.850000000000000000e+01 9.859436469533915115e-02
4.889999999999999858e+01 1.097100674091234518e-01
4.920000000000000284e+01 1.015282502999722003e-01
4.960000000000000142e+01 9.592720889247008387e-02
4.989999999999999858e+01 8.499835857633983305e-02
5.029999999999999716e+01 1.077773954472508317e-01
5.070000000000000284e+01 1.146717963778545180e-01
5.100000000000000000e+01 1.109681115798233503e-01
5.139999999999999858e+01 9.836189164859918121e-02
5.179999999999999716e+01 9.512271899553406684e-02
5.210000000000000142e+01 1.035475229515514656e-01
5.250000000000000000e+01 1.035030148380984005e-01
5.289999999999999858e+01 1.018346828906422086e-01
5.329999999999999716e+01 8.609272630026280904e-02
5.370000000000000284e+01 9.448861052394819104e-02
5.410000000000000142e+01 1.080021213547622122e-01
5.439999999999999858e+01 8.376892293408085000e-02
5.479999999999999716e+01 1.047688311282653079e-01
5.520000000000000284e+01 8.734423189404645627e-02
5.560000000000000142e+01 9.948342275670100932e-02
5.600000000000000000e+01 9.098317423753822519e-02
5.639999999999999858e+01 1.116658284853370153e-01
5.679999999999999716e+01 9.796957330657102281e-02
5.729999999999999716e+01 9.492545389186114735e-02
5.770000000000000284e+01 1.051922384149004824e-01
5.810000000000000142e+01 9.356815324187429950e-02
5.850000000000000000e+01 1.038200347681391689e-01
5.889999999999999858e+01 1.059394025773560954e-01
5.939999999999999858e+01 9.607123718392823752e-02
5.979999999999999716e+01 9.127865973940313404e-02
6.020000000000000284e+01 9.385938224931836271e-02
6.060000000000000142e+01 1.039695951817517505e-01
6.110000000000000142e+01 1.041127179710191614e-01
6.150000000000000000e+01 9.731671058114946260e-02
6.200000000000000000e+01 8.952899640261113845e-02
6.239999999999999858e+01 9.367627439199814610e-02
6.289999999999999858e+01 1.014397937388067661e-01
6.329999999999999716e+01 1.032775647450854123e-01
6.379999999999999716e+01 1.029641546015154507e-01
6.420000000000000284e+01 8.528039157094707834e-02
6.470000000000000284e+01 9.805415562999586498e-02
6.520000000000000284e+01 1.171194392647185861e-01
6.559999999999999432e+01 9.374640811094515913e-02
6.609999999999999432e+01 1.002670620122604189e-01
6.659999999999999432e+01 1.147519874910744586e-01
6.709999999999999432e+01 1.016343637947938611e-01
6.759999999999999432e+01 1.138372949945757884e-01
6.800000000000000000e+01 9.335871280839486142e-02
6.850000000000000000e+01 1.157020778809376843e-01
6.900000000000000000e+01 9.837194004903505873e-02
6.950000000000000000e+01 1.021561139459256501e-01
7.000000000000000000e+01 9.967451614925142145e-02
7.050000000000000000e+01 9.684407657661757429e-02
7.100000000000000000e+01 8.903574671854923295e-02
7.159999999999999432e+01 9.036333789443355691e-02
7.209999999999999432e+01 8.803529393446489493e-02
7.259999999999999432e+01 9.270802140272489666e-02
7.309999999999999432e+01 9.767317327688418427e-02
7.370000000000000284e+01 8.856711087833067653e-02
7.420000000000000284e+01 9.042306311112947859e-02
7.470000000000000284e+01 8.316188363257068228e-02
7.529999999999999716e+01 1.210724823185779647e-01
7.579999999999999716e+01 1.096713229441422799e-01
7.640000000000000568e+01 9.804379961253763265e-02
7.690000000000000568e+01 9.062663536499045158e-02
7.750000000000000000e+01 1.156976345782764620e-01
7.800000000000000000e+01 8.553689899079473802e-02
7.859999999999999432e+01 9.008573484282078603e-02
7.909999999999999432e+01 9.230617279608527292e-02
7.970000000000000284e+01 1.031176065837863115e-01
8.029999999999999716e+01 1.041871348681833176e-01
8.090000000000000568e+01 9.849203902990472104e-02
8.150000000000000000e+01 9.932390860114023723e-02
8.200000000000000000e+01 1.043284046428270967e-01
8.259999999999999432e+01 1.064908461492138358e-01
8.320000000000000284e+01 9.444193286938432075e-02
8.379999999999999716e+01 9.709870475780797705e-02
8.440000000000000568e+01 1.043734972981255615e-01
8.509999999999999432e+01 9.968759652089279055e-02
8.570000000000000284e+01 9.981144984364730133e-02
8.629999999999999716e+01 1.065451327587238206e-01
8.690000000000000568e+01 1.058974521403018010e-01
8.750000000000000000e+01 1.009101452734723348e-01
8.820000000000000284e+01 9.596144669422232432e-02
8.879999999999999716e+01 1.029529108005882848e-01
8.940000000000000568e+01 1.039666674003961039e-01
9.009999999999999432e+01 1.047719179024137887e-01
9.070000000000000284e+01 9.571079949696638389e-02
9.140000000000000568e+01 9.279280372440661118e-02
9.209999999999999432e+01 9.643264737015637411e-02
9.270000000000000284e+01 1.100411103879593011e-01
9.340000000000000568e+01 9.429907704097127696e-02
9.409999999999999432e+01 9.827224137745654842e-02
9.470000000000000284e+01 9.770110585550249860e-02
9.540000000000000568e+01 1.048615806813558565e-01
9.609999999999999432e+01 1.042770123577918817e-01
9.679999999999999716e+01 9.428196267865221469e-02
9.750000000000000000e+01 1.074726372177215311e-01
9.820000000000000284e+01 1.059064823436308145e-01
9.890000000000000568e+01 1.055080960647678257e-01
9.959999999999999432e+01 1.012063016448378622e-01
1.004000000000000057e+02 1.009223802306189605e-01
1.010999999999999943e+02 9.911056513957350322e-02
1.017999999999999972e+02 9.593450895574570647e-02
1.025999999999999943e+02 1.044840334701661044e-01
1.032999999999999972e+02 1.008054080575667422e-01
1.040000000000000000e+02 1.100105359688189760e-01
1.047999999999999972e+02 9.510961718713401014e-02
1.055000000000000000e+02 1.108524353408964769e-01
1.062999999999999972e+02 9.518243912928728290e-02
1.070999999999999943e+02 9.030147117449204008e-02
1.077999999999999972e+02 1.024560587829368152e-01
