# freq eta
3.539999999999999858e+01 8.134350051346582455e-02
3.560000000000000142e+01 8.143158403509627441e-02
3.589999999999999858e+01 8.876556399720454682e-02
3.610000000000000142e+01 8.879023261118423882e-02
3.639999999999999858e+01 8.883769222006673849e-02
3.660000000000000142e+01 8.887752445571345250e-02
3.689999999999999858e+01 8.894827501032932793e-02
3.720000000000000284e+01 8.903519810561889847e-02
3.739999999999999858e+01 9.598014420585146422e-02
3.770000000000000284e+01 9.595010173273325893e-02
3.800000000000000000e+01 9.593166307375643187e-02
3.829999999999999716e+01 9.592483732044237987e-02
3.850000000000000000e+01 9.592555466386749885e-02
3.879999999999999716e+01 9.593279293182441214e-02
3.910000000000000142e+01 9.594654045700305722e-02
3.939999999999999858e+01 9.596717656681857944e-02
3.970000000000000284e+01 9.599310697744449505e-02
4.000000000000000000e+01 9.602523314579132496e-02
4.020000000000000284e+01 9.605124447929951070e-02
4.050000000000000000e+01 1.000411296562755820e-01
4.079999999999999716e+01 9.998072777681682455e-02
4.110000000000000142e+01 9.982441474402085901e-02
4.139999999999999858e+01 9.977883620427310807e-02
4.170000000000000284e+01 9.973895005304783679e-02
4.200000000000000000e+01 9.970425693104276177e-02
4.229999999999999716e+01 9.967334204983036017e-02
4.260000000000000142e+01 9.964541009745489508e-02
4.289999999999999858e+01 9.961963694672451575e-02
4.320000000000000284e+01 9.959584420579664643e-02
4.360000000000000142e+01 9.956609642567788854e-02
4.389999999999999858e+01 9.954607938186091354e-02
4.420000000000000284e+01 9.952925134311685351e-02
4.450000000000000000e+01 9.951365725393122863e-02
4.479999999999999716e+01 9.950131712348120328e-02
4.520000000000000284e+01 9.949042062023942534e-02
4.550000000000000000e+01 9.948680477826933599e-02
4.579999999999999716e+01 9.938393683601176587e-02
4.610000000000000142e+01 9.938083759512630899e-02
4.650000000000000000e+01 9.937949378463151184e-02
4.679999999999999716e+01 9.937805975400063052e-02
4.710000000000000142e+01 9.937832023496732947e-02
4.750000000000000000e+01 9.937691191347941544e-02
4.779999999999999716e+01 9.937473405836247387e-02
4.820000000000000284e+01 9.937186901639424863e-02
4.850000000000000000e+01 9.936782323440201958e-02
4.889999999999999858e+01 9.936199910038735761e-02
4.920000000000000284e+01 9.935620809505688045e-02
4.960000000000000142e+01 9.934784115235724411e-02
4.989999999999999858e+01 9.934278155312745162e-02
5.029999999999999716e+01 9.933344867060633909e-02
5.070000000000000284e+01 9.932718893111658343e-02
5.100000000000000000e+01 9.932271831467920364e-02
5.139999999999999858e+01 9.931989650339195785e-02
5.179999999999999716e+01 9.931936230166057977e-02
5.210000000000000142e+01 9.920868423260108260e-02
5.250000000000000000e+01 9.919852860926124671e-02
5.289999999999999858e+01 9.918900986596120017e-02
5.329999999999999716e+01 9.917772851644908461e-02
5.370000000000000284e+01 9.916570850075516474e-02
5.410000000000000142e+01 9.915167420521671382e-02
5.439999999999999858e+01 9.913830403820614312e-02
5.479999999999999716e+01 9.912053373605365925e-02
5.520000000000000284e+01 9.910127126326596925e-02
5.560000000000000142e+01 9.908087839646546879e-02
5.600000000000000000e+01 9.905765019546594607e-02
5.639999999999999858e+01 9.903259812836912035e-02
5.679999999999999716e+01 9.900648354547950114e-02
5.729999999999999716e+01 9.897356337445914476e-02
5.770000000000000284e+01 9.894838170989068982e-02
5.810000000000000142e+01 9.892502344662995606e-02
5.850000000000000000e+01 9.890202934804828705e-02
5.889999999999999858e+01 9.888400415735412730e-02
5.939999999999999858e+01 9.886778180900952784e-02
5.979999999999999716e+01 9.886314062739159914e-02
6.020000000000000284e+01 9.886717548735238226e-02
6.060000000000000142e+01 9.888047691310963838e-02
6.110000000000000142e+01 9.891828252325070292e-02
6.150000000000000000e+01 9.896395962097712107e-02
6.200000000000000000e+01 9.904993046242782651e-02
6.239999999999999858e+01 9.914392006911311450e-02
6.289999999999999858e+01 1.020776769767811898e-01
6.329999999999999716e+01 1.079184585874291141e-01
6.379999999999999716e+01 1.007615423035057300e-01
6.420000000000000284e+01 9.924979102307761314e-02
6.470000000000000284e+01 9.910691066595721244e-02
6.520000000000000284e+01 9.899347946056116787e-02
6.559999999999999432e+01 9.892287845480957076e-02
6.609999999999999432e+01 9.885965042522579238e-02
6.659999999999999432e+01 9.881629887136297863e-02
6.709999999999999432e+01 9.879039176839563008e-02
6.759999999999999432e+01 9.877772741164030090e-02
6.800000000000000000e+01 9.877512736829510698e-02
6.850000000000000000e+01 9.878356324779834219e-02
6.900000000000000000e+01 9.879618884899142583e-02
6.950000000000000000e+01 9.881812994590978561e-02
7.000000000000000000e+01 9.884770695462813395e-02
7.050000000000000000e+01 9.888322690141755633e-02
7.100000000000000000e+01 9.892350822875395355e-02
7.159999999999999432e+01 9.897830963095319290e-02
7.209999999999999432e+01 9.902658555516451189e-02
7.259999999999999432e+01 9.907720614961096350e-02
7.309999999999999432e+01 9.912843377421350077e-02
7.370000000000000284e+01 9.919020329741989883e-02
7.420000000000000284e+01 9.924052951597787942e-02
7.470000000000000284e+01 9.928876612890358277e-02
7.529999999999999716e+01 9.934264108587179121e-02
7.579999999999999716e+01 1.025131401615120147e-01
7.640000000000000568e+01 1.026260155136111824e-01
7.690000000000000568e+01 1.027030993243889523e-01
7.750000000000000000e+01 1.027732812785298600e-01
7.800000000000000000e+01 1.028110813876779994e-01
7.859999999999999432e+01 1.028289515015584493e-01
7.909999999999999432e+01 1.030266958412934669e-01
