# freq eta
3.539999999999999858e+01 2.341332969094987448e-01
3.560000000000000142e+01 1.468672715843510890e-01
3.589999999999999858e+01 2.493183253033924851e-01
3.610000000000000142e+01 2.416663976564522864e-01
3.639999999999999858e+01 2.051013164539581823e-01
3.660000000000000142e+01 2.133791889923563889e-01
3.689999999999999858e+01 1.961246337943090834e-01
3.720000000000000284e+01 1.861104935127999294e-01
3.739999999999999858e+01 2.188138336707240728e-01
3.770000000000000284e+01 1.716027451188115449e-01
3.800000000000000000e+01 1.944515453569848062e-01
3.829999999999999716e+01 2.340844959617294219e-01
3.850000000000000000e+01 2.522363977683592662e-01
3.879999999999999716e+01 1.378669338406919298e-01
3.910000000000000142e+01 2.164024989097555474e-01
3.939999999999999858e+01 1.847113728009390499e-01
3.970000000000000284e+01 1.467936177420099964e-01
4.000000000000000000e+01 1.685191279068547487e-01
4.020000000000000284e+01 1.893565020007199062e-01
4.050000000000000000e+01 2.033165425163541429e-01
4.079999999999999716e+01 2.450056577851537909e-01
4.110000000000000142e+01 2.073717496214173284e-01
4.139999999999999858e+01 2.230150767757051178e-01
4.170000000000000284e+01 2.354432484462762043e-01
4.200000000000000000e+01 2.729157748778694992e-01
4.229999999999999716e+01 2.172518484193320942e-01
4.260000000000000142e+01 1.531444139140498983e-01
4.289999999999999858e+01 1.899875699627925074e-01
4.320000000000000284e+01 2.084128388055830616e-01
4.360000000000000142e+01 2.122747873739852797e-01
4.389999999999999858e+01 1.847024290070832520e-01
4.420000000000000284e+01 1.696810277370482400e-01
4.450000000000000000e+01 1.920881347301673925e-01
4.479999999999999716e+01 1.322625170701930142e-01
4.520000000000000284e+01 2.381035392901849901e-01
4.550000000000000000e+01 2.206416658210835213e-01
4.579999999999999716e+01 1.958693619947889653e-01
4.610000000000000142e+01 1.663861532729403458e-01
4.650000000000000000e+01 1.292765542832576553e-01
4.679999999999999716e+01 1.631144365089765291e-01
4.710000000000000142e+01 2.111319116674963414e-01
4.750000000000000000e+01 2.431803927365626394e-01
4.779999999999999716e+01 2.590591586153466741e-01
4.820000000000000284e+01 2.032110771275026651e-01
4.850000000000000000e+01 1.798152074259524447e-01
4.889999999999999858e+01 1.751605834574278264e-01
4.920000000000000284e+01 1.378801486578203894e-01
4.960000000000000142e+01 1.240192618761396248e-01
4.989999999999999858e+01 2.340496707914226371e-01
5.029999999999999716e+01 1.858312240091724021e-01
5.070000000000000284e+01 1.646783286944599467e-01
5.100000000000000000e+01 2.099004045633324211e-01
5.139999999999999858e+01 2.426679769835043965e-01
5.179999999999999716e+01 2.084455043045723155e-01
5.210000000000000142e+01 1.995789472170894086e-01
5.250000000000000000e+01 2.269965735615264990e-01
5.289999999999999858e+01 2.511463967604253833e-01
5.329999999999999716e+01 1.859962986478865266e-01
5.370000000000000284e+01 2.177187949682853341e-01
5.410000000000000142e+01 2.407599291980073997e-01
5.439999999999999858e+01 2.247874642026086722e-01
5.479999999999999716e+01 2.681886407210172241e-01
5.520000000000000284e+01 1.779008380352712082e-01
5.560000000000000142e+01 1.455981251641969287e-01
5.600000000000000000e+01 1.660546584111647073e-01
5.639999999999999858e+01 1.608051325595496739e-01
5.679999999999999716e+01 2.116030876499051250e-01
5.729999999999999716e+01 1.602422554801992416e-01
5.770000000000000284e+01 1.731298733316956884e-01
5.810000000000000142e+01 2.730538032900968748e-01
5.850000000000000000e+01 2.043208970773296718e-01
5.889999999999999858e+01 2.169079567823925525e-01
5.939999999999999858e+01 1.823409256347534591e-01
5.979999999999999716e+01 2.149951946841330008e-01
6.020000000000000284e+01 1.570166985344054189e-01
6.060000000000000142e+01 2.204929506930906613e-01
6.110000000000000142e+01 2.463925477058383218e-01
6.150000000000000000e+01 2.568097920675266321e-01
6.200000000000000000e+01 2.160160060314452735e-01
6.239999999999999858e+01 2.073975162177114084e-01
