# freq eta
3.539999999999999858e+01 1.893381595136233719e-01
3.560000000000000142e+01 2.057632355645277189e-01
3.589999999999999858e+01 2.089284435848298704e-01
3.610000000000000142e+01 1.960098825859324656e-01
3.639999999999999858e+01 2.027340456235863231e-01
3.660000000000000142e+01 1.911446289324274794e-01
3.689999999999999858e+01 1.988804632860197708e-01
3.720000000000000284e+01 1.998691800427105092e-01
3.739999999999999858e+01 1.957666959821320329e-01
3.770000000000000284e+01 1.975405237679657422e-01
3.800000000000000000e+01 1.957863800089696682e-01
3.829999999999999716e+01 2.118706365666529479e-01
3.850000000000000000e+01 2.005141354020198163e-01
3.879999999999999716e+01 2.062820316163746226e-01
3.910000000000000142e+01 2.076320548829015677e-01
3.939999999999999858e+01 1.994621658459194147e-01
3.970000000000000284e+01 2.003060352432216029e-01
4.000000000000000000e+01 2.015252220560916907e-01
4.020000000000000284e+01 2.016491856641079161e-01
4.050000000000000000e+01 2.029928468611092718e-01
4.079999999999999716e+01 1.980947465474617308e-01
4.110000000000000142e+01 2.032945874459938240e-01
4.139999999999999858e+01 1.990230696850548431e-01
4.170000000000000284e+01 1.940951423766236195e-01
4.200000000000000000e+01 2.003743561471145185e-01
4.229999999999999716e+01 1.939655864312971600e-01
4.260000000000000142e+01 2.055417412703294811e-01
4.289999999999999858e+01 2.033935275241787466e-01
4.320000000000000284e+01 2.041713311596052571e-01
4.360000000000000142e+01 1.950113019813140003e-01
4.389999999999999858e+01 2.030236468506813885e-01
4.420000000000000284e+01 2.087725555009762590e-01
4.450000000000000000e+01 1.983231121927659102e-01
4.479999999999999716e+01 2.068971074563191737e-01
4.520000000000000284e+01 1.994768056754197272e-01
4.550000000000000000e+01 1.944956941765976499e-01
4.579999999999999716e+01 2.076970806187981577e-01
4.610000000000000142e+01 2.063810162973316320e-01
4.650000000000000000e+01 2.086285034310384201e-01
4.679999999999999716e+01 1.971941236772807304e-01
4.710000000000000142e+01 2.004704237366897457e-01
4.750000000000000000e+01 1.937247088222740221e-01
4.779999999999999716e+01 1.978199393777958504e-01
4.820000000000000284e+01 1.989849925933173946e-01
4.850000000000000000e+01 2.042333049124648026e-01
4.889999999999999858e+01 2.019136814000332403e-01
4.920000000000000284e+01 2.033302132853637423e-01
4.960000000000000142e+01 1.984804089854490250e-01
4.989999999999999858e+01 1.994571617662601049e-01
5.029999999999999716e+01 1.970297868013531351e-01
5.070000000000000284e+01 2.036066680405812790e-01
5.100000000000000000e+01 1.985322825976413574e-01
5.139999999999999858e+01 2.044963500666910072e-01
5.179999999999999716e+01 2.025610556938347018e-01
5.210000000000000142e+01 2.050044780278703072e-01
5.250000000000000000e+01 1.871123243719823304e-01
5.289999999999999858e+01 1.954013567523257555e-01
5.329999999999999716e+01 2.020813940221982685e-01
5.370000000000000284e+01 2.013895105863769130e-01
5.410000000000000142e+01 1.967541038062264880e-01
5.439999999999999858e+01 1.940872992046400181e-01
5.479999999999999716e+01 1.955711284199316558e-01
5.520000000000000284e+01 2.007289105811383700e-01
5.560000000000000142e+01 1.947152896858069804e-01
5.600000000000000000e+01 1.967688778309145958e-01
5.639999999999999858e+01 2.060083527676022375e-01
5.679999999999999716e+01 2.018020646644583804e-01
5.729999999999999716e+01 1.981131274618249671e-01
5.770000000000000284e+01 1.922140829451434441e-01
5.810000000000000142e+01 1.977238086880698520e-01
5.850000000000000000e+01 2.019040056748707956e-01
5.889999999999999858e+01 1.999595763116668590e-01
5.939999999999999858e+01 2.014876177280492398e-01
5.979999999999999716e+01 1.967489633707363295e-01
6.020000000000000284e+01 2.054663611213220220e-01
6.060000000000000142e+01 1.915006976718360565e-01
6.110000000000000142e+01 1.968346511875062044e-01
6.150000000000000000e+01 2.010936464307934435e-01
6.200000000000000000e+01 2.022879870328487539e-01
6.239999999999999858e+01 2.024746494387670570e-01
6.289999999999999858e+01 2.019949543771684675e-01
6.329999999999999716e+01 2.011023753841067740e-01
6.379999999999999716e+01 2.046156773622769820e-01
6.420000000000000284e+01 1.929852301205334242e-01
6.470000000000000284e+01 1.982155286925889881e-01
6.520000000000000284e+01 2.059456057578134547e-01
6.559999999999999432e+01 2.006556152041522323e-01
6.609999999999999432e+01 2.012357318748854429e-01
6.659999999999999432e+01 1.959812189656731651e-01
6.709999999999999432e+01 1.944359754040618227e-01
6.759999999999999432e+01 2.005421487187913632e-01
6.800000000000000000e+01 2.071991726763448560e-01
6.850000000000000000e+01 2.121489126943832682e-01
6.900000000000000000e+01 2.010202773601277304e-01
6.950000000000000000e+01 1.923930886595397738e-01
7.000000000000000000e+01 1.999192270779894254e-01
7.050000000000000000e+01 1.994762291314671199e-01
7.100000000000000000e+01 2.104182217971840851e-01
7.159999999999999432e+01 1.969689340079367468e-01
7.209999999999999432e+01 1.981762856387148941e-01
7.259999999999999432e+01 1.956008093148443316e-01
7.309999999999999432e+01 1.946325094140970435e-01
7.370000000000000284e+01 2.006614825041264372e-01
7.420000000000000284e+01 1.948616974101579358e-01
7.470000000000000284e+01 1.985970676894017184e-01
7.529999999999999716e+01 1.979343929399006996e-01
7.579999999999999716e+01 1.961147441165178862e-01
7.640000000000000568e+01 2.037058485495238380e-01
7.690000000000000568e+01 2.021875454366682812e-01
7.750000000000000000e+01 2.056803834020473343e-01
7.800000000000000000e+01 2.059042524230967064e-01
7.859999999999999432e+01 2.091025302649952289e-01
7.909999999999999432e+01 1.981802158901899702e-01
7.970000000000000284e+01 1.966427928062432773e-01
8.029999999999999716e+01 2.079329860601217828e-01
8.090000000000000568e+01 2.025635779531701763e-01
8.150000000000000000e+01 1.969119132422255392e-01
8.200000000000000000e+01 1.980164461713657398e-01
8.259999999999999432e+01 2.007099352779659895e-01
8.320000000000000284e+01 1.977660585360455914e-01
8.379999999999999716e+01 1.967973587913541544e-01
8.440000000000000568e+01 2.007749010765471354e-01
8.509999999999999432e+01 1.964966911398576543e-01
8.570000000000000284e+01 1.968951521130350435e-01
8.629999999999999716e+01 2.023034533927749179e-01
8.690000000000000568e+01 1.987523134650398537e-01
8.750000000000000000e+01 1.976700426556606272e-01
8.820000000000000284e+01 2.058316420215620390e-01
8.879999999999999716e+01 2.031134879654469816e-01
8.940000000000000568e+01 1.994542894238333641e-01
9.009999999999999432e+01 2.132579418746742839e-01
9.070000000000000284e+01 1.957459344820266511e-01
9.140000000000000568e+01 1.984241861044215016e-01
9.209999999999999432e+01 1.982321901941284936e-01
9.270000000000000284e+01 1.996738810937799258e-01
9.340000000000000568e+01 2.016074618804901963e-01
9.409999999999999432e+01 1.981800684797277168e-01
9.470000000000000284e+01 2.032742951458419434e-01
9.540000000000000568e+01 2.017457298078458028e-01
9.609999999999999432e+01 2.059971874936645242e-01
9.679999999999999716e+01 1.994472202031031816e-01
9.750000000000000000e+01 2.014312535231869428e-01
9.820000000000000284e+01 1.990570320957512906e-01
9.890000000000000568e+01 1.995427389943209839e-01
9.959999999999999432e+01 1.991296288121934543e-01
1.004000000000000057e+02 1.973359543919839532e-01
1.010999999999999943e+02 2.027248239601620872e-01
1.017999999999999972e+02 2.016122235701016396e-01
1.025999999999999943e+02 2.011227674062136261e-01
1.032999999999999972e+02 2.003159832890078484e-01
1.040000000000000000e+02 1.993890624274469447e-01
1.047999999999999972e+02 2.014297399761237617e-01
1.055000000000000000e+02 2.002752177667627975e-01
1.062999999999999972e+02 1.997338613057001722e-01
1.070999999999999943e+02 1.969461418494450888e-01
1.077999999999999972e+02 2.066599740189771495e-01
1.085999999999999943e+02 1.997678658907956484e-01
1.094000000000000057e+02 2.012552622102379563e-01
1.102000000000000028e+02 1.982133818262301617e-01
1.110000000000000000e+02 2.019032486012856953e-01
1.117999999999999972e+02 2.011101135661740313e-01
1.125999999999999943e+02 1.979465418677520128e-01
1.134000000000000057e+02 2.037434443473290502e-01
1.142000000000000028e+02 2.020740935399944205e-01
1.150999999999999943e+02 1.960066155536166477e-01
1.159000000000000057e+02 1.960649272400489807e-01
1.167000000000000028e+02 1.985558852836391552e-01
1.175999999999999943e+02 1.969355504844863547e-01
1.184000000000000057e+02 1.998411706913533759e-01
1.192999999999999972e+02 1.986225791863848178e-01
1.200999999999999943e+02 1.946629143749847579e-01
1.210000000000000000e+02 2.038065612294023554e-01
1.219000000000000057e+02 1.973279678609896615e-01
1.227999999999999972e+02 2.029198288327807853e-01
1.235999999999999943e+02 2.020107394491449382e-01
1.245000000000000000e+02 2.013948096405649146e-01
1.254000000000000057e+02 2.020358959725530590e-01
1.262999999999999972e+02 2.007114491607957796e-01
1.272999999999999972e+02 1.999361025807341874e-01
1.281999999999999886e+02 2.013185220004146958e-01
1.290999999999999943e+02 2.012053604389919814e-01
1.300000000000000000e+02 2.056501089596048937e-01
