# freq eta
3.539999999999999858e+01 2.022783558295934148e-01
3.560000000000000142e+01 2.024792456882708314e-01
3.589999999999999858e+01 2.027997909336479443e-01
3.610000000000000142e+01 2.030246755071290488e-01
3.639999999999999858e+01 2.033762321926119443e-01
3.660000000000000142e+01 2.036210890083546832e-01
3.689999999999999858e+01 2.040030620410624163e-01
3.720000000000000284e+01 2.043976914824559010e-01
3.739999999999999858e+01 2.046694341885834656e-01
3.770000000000000284e+01 2.050879321356417484e-01
3.800000000000000000e+01 2.055152437428444390e-01
3.829999999999999716e+01 2.059543337376114891e-01
3.850000000000000000e+01 2.062518867064420669e-01
3.879999999999999716e+01 2.067040495555662605e-01
3.910000000000000142e+01 2.071611454854844214e-01
3.939999999999999858e+01 2.076239106516159783e-01
3.970000000000000284e+01 2.080907067289416990e-01
4.000000000000000000e+01 2.085603452128912960e-01
4.020000000000000284e+01 2.088750134930690283e-01
4.050000000000000000e+01 2.093486110067332706e-01
4.079999999999999716e+01 2.098223134039771121e-01
4.110000000000000142e+01 2.102960705974252220e-01
4.139999999999999858e+01 2.107682444480414030e-01
4.170000000000000284e+01 2.112381812714914653e-01
4.200000000000000000e+01 2.117075528239043269e-01
4.229999999999999716e+01 2.121743134387450991e-01
4.260000000000000142e+01 2.126362197467540072e-01
4.289999999999999858e+01 2.130941226336560135e-01
4.320000000000000284e+01 2.135466860128366617e-01
4.360000000000000142e+01 2.141419423419311518e-01
4.389999999999999858e+01 2.145797150963594524e-01
4.420000000000000284e+01 2.150125238608197320e-01
4.450000000000000000e+01 2.154372155548011647e-01
4.479999999999999716e+01 2.158539871815884359e-01
4.520000000000000284e+01 2.163979181930023865e-01
4.550000000000000000e+01 2.167959770341303938e-01
4.579999999999999716e+01 2.171841938449607934e-01
4.610000000000000142e+01 2.175640653790823498e-01
4.650000000000000000e+01 2.180541101407091897e-01
4.679999999999999716e+01 2.184081916904642429e-01
4.710000000000000142e+01 2.187532124282897117e-01
4.750000000000000000e+01 2.191930938237686421e-01
4.779999999999999716e+01 2.195076215204730397e-01
4.820000000000000284e+01 2.199079041110295618e-01
4.850000000000000000e+01 2.201892322632805765e-01
4.889999999999999858e+01 2.205460098440663042e-01
4.920000000000000284e+01 2.207920908611691879e-01
4.960000000000000142e+01 2.210971628123831467e-01
4.989999999999999858e+01 2.213034648844254548e-01
5.029999999999999716e+01 2.215513779188828525e-01
5.070000000000000284e+01 2.217644426233223720e-01
5.100000000000000000e+01 2.218986995497510273e-01
5.139999999999999858e+01 2.220436469281968916e-01
5.179999999999999716e+01 2.221444442333122826e-01
5.210000000000000142e+01 2.221921605614855244e-01
5.250000000000000000e+01 2.222115453528154261e-01
5.289999999999999858e+01 2.221770756206485620e-01
5.329999999999999716e+01 2.220866909801995359e-01
5.370000000000000284e+01 2.219340479528172094e-01
5.410000000000000142e+01 2.217152756811109904e-01
5.439999999999999858e+01 2.215047768007866735e-01
5.479999999999999716e+01 2.211536481867695803e-01
5.520000000000000284e+01 2.207178616412744099e-01
5.560000000000000142e+01 2.201928298912278481e-01
5.600000000000000000e+01 2.195663577643451603e-01
5.639999999999999858e+01 2.188327856132375460e-01
5.679999999999999716e+01 2.179852255863322374e-01
5.729999999999999716e+01 2.167413089329345288e-01
5.770000000000000284e+01 2.156028651722168288e-01
5.810000000000000142e+01 2.143080149164391379e-01
5.850000000000000000e+01 2.128583174191558125e-01
