#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.54000E+01   1.93209E+00  -2.38925E+00   1.70827E+00  -3.63710E+00   1.42435E+00  -4.77563E+00   1.10656E+00  -5.72487E+00   7.81113E-01  -6.42169E+00   4.72287E-01  -6.82253E+00   2.00673E-01  -6.90540E+00  -1.81944E-02  -6.67078E+00  -1.74791E-01  -6.14171E+00  -2.66093E-01  -5.36278E+00  -2.95568E-01  -4.39830E+00  -2.72731E-01  -3.32968E+00  -2.12310E-01  -2.25235E+00
 3.56000E+01   1.91618E+00  -2.31571E+00   1.68533E+00  -3.56494E+00   1.39446E+00  -4.70717E+00   1.07037E+00  -5.66200E+00   7.39826E-01  -6.36576E+00   4.27537E-01  -6.77439E+00   1.54434E-01  -6.86535E+00  -6.37708E-02  -6.63869E+00  -2.17557E-01  -6.11705E+00  -3.04092E-01  -5.34474E+00  -3.27228E-01  -4.38587E+00  -2.97037E-01  -3.32176E+00  -2.28955E-01  -2.24783E+00
 3.59000E+01   1.89531E+00  -2.20744E+00   1.65404E+00  -3.45904E+00   1.35277E+00  -4.60711E+00   1.01916E+00  -5.57051E+00   6.80769E-01  -6.28482E+00   3.63029E-01  -6.70514E+00   8.73817E-02  -6.80818E+00  -1.30173E-01  -6.59328E+00  -2.80098E-01  -6.08252E+00  -3.59833E-01  -5.31978E+00  -3.73788E-01  -4.36893E+00  -3.32856E-01  -3.31116E+00  -2.53526E-01  -2.24192E+00
 3.61000E+01   1.88330E+00  -2.13654E+00   1.63515E+00  -3.38995E+00   1.32695E+00  -4.54208E+00   9.86920E-01  -5.51133E+00   6.43184E-01  -6.23275E+00   3.21640E-01  -6.66090E+00   4.40940E-02  -6.77194E+00  -1.73248E-01  -6.56477E+00  -3.20824E-01  -6.06109E+00  -3.96244E-01  -5.30452E+00  -4.04279E-01  -4.35874E+00  -3.56362E-01  -3.30493E+00  -2.69678E-01  -2.23855E+00
 3.64000E+01   1.86797E+00  -2.03204E+00   1.60960E+00  -3.28844E+00   1.29099E+00  -4.44693E+00   9.41233E-01  -5.42518E+00   5.89282E-01  -6.15739E+00   2.61776E-01  -6.59730E+00  -1.89142E-02  -6.72029E+00  -2.36255E-01  -6.52455E+00  -3.80627E-01  -6.03125E+00  -4.49877E-01  -5.28361E+00  -4.49304E-01  -4.34509E+00  -3.91145E-01  -3.29680E+00  -2.93620E-01  -2.23429E+00
 3.66000E+01   1.85947E+00  -1.96354E+00   1.59434E+00  -3.22214E+00   1.26878E+00  -4.38504E+00   9.12447E-01  -5.36941E+00   5.54887E-01  -6.10890E+00   2.23237E-01  -6.55669E+00  -5.97440E-02  -6.68760E+00  -2.77289E-01  -6.49940E+00  -4.19728E-01  -6.01286E+00  -4.85054E-01  -5.27096E+00  -4.78910E-01  -4.33703E+00  -4.14063E-01  -3.29217E+00  -3.09421E-01  -2.23199E+00
 3.69000E+01   1.84918E+00  -1.86244E+00   1.57397E+00  -3.12463E+00   1.23792E+00  -4.29441E+00   8.71608E-01  -5.28817E+00   5.05432E-01  -6.03871E+00   1.67310E-01  -6.49834E+00  -1.19395E-01  -6.64111E+00  -3.37543E-01  -6.46406E+00  -4.77371E-01  -5.98744E+00  -5.37074E-01  -5.25386E+00  -5.22803E-01  -4.32648E+00  -4.48109E-01  -3.28637E+00  -3.32935E-01  -2.22931E+00
 3.72000E+01   1.84170E+00  -1.76323E+00   1.55645E+00  -3.02935E+00   1.20986E+00  -4.20630E+00   8.33395E-01  -5.20968E+00   4.58351E-01  -5.97143E+00   1.13447E-01  -6.44298E+00  -1.77322E-01  -6.59755E+00  -3.96420E-01  -6.43150E+00  -5.33964E-01  -5.96455E+00  -5.88339E-01  -5.23895E+00  -5.66188E-01  -4.31771E+00  -4.81844E-01  -3.28191E+00  -3.56278E-01  -2.22754E+00
 3.74000E+01   1.83821E+00  -1.69809E+00   1.54629E+00  -2.96701E+00   1.19262E+00  -4.14890E+00   8.09285E-01  -5.15883E+00   4.28184E-01  -5.92814E+00   7.85856E-02  -6.40766E+00  -2.15080E-01  -6.57009E+00  -4.34997E-01  -6.41129E+00  -5.71194E-01  -5.95065E+00  -6.22169E-01  -5.23019E+00  -5.94888E-01  -4.31282E+00  -5.04205E-01  -3.27967E+00  -3.71777E-01  -2.22684E+00
 3.77000E+01   1.83513E+00  -1.60177E+00   1.53322E+00  -2.87516E+00   1.16885E+00  -4.06472E+00   7.75042E-01  -5.08467E+00   3.84630E-01  -5.86545E+00   2.77264E-02  -6.35700E+00  -2.70564E-01  -6.53117E+00  -4.91983E-01  -6.38315E+00  -6.26408E-01  -5.93178E+00  -6.72495E-01  -5.21877E+00  -6.37689E-01  -4.30689E+00  -5.37616E-01  -3.27736E+00  -3.94971E-01  -2.22652E+00
 3.80000E+01   1.83455E+00  -1.50704E+00   1.52263E+00  -2.78522E+00   1.14745E+00  -3.98273E+00   7.42962E-01  -5.01293E+00   3.42962E-01  -5.80535E+00  -2.15668E-02  -6.30900E+00  -3.24814E-01  -6.49489E+00  -5.48058E-01  -6.35753E+00  -6.80998E-01  -5.91522E+00  -7.22436E-01  -5.20935E+00  -6.80284E-01  -4.30261E+00  -5.70944E-01  -3.27629E+00  -4.18150E-01  -2.22703E+00
 3.83000E+01   1.83638E+00  -1.41381E+00   1.51443E+00  -2.69709E+00   1.12829E+00  -3.90282E+00   7.12903E-01  -4.94351E+00   3.03025E-01  -5.74773E+00  -6.94543E-02  -6.26356E+00  -3.77993E-01  -6.46117E+00  -6.03376E-01  -6.33434E+00  -7.35106E-01  -5.90088E+00  -7.72115E-01  -5.20187E+00  -7.22776E-01  -4.29991E+00  -6.04266E-01  -3.27643E+00  -4.41367E-01  -2.22836E+00
 3.85000E+01   1.83888E+00  -1.35244E+00   1.51022E+00  -2.63928E+00   1.11671E+00  -3.85065E+00   6.93920E-01  -4.89847E+00   2.77292E-01  -5.71064E+00  -1.00672E-01  -6.23464E+00  -4.12924E-01  -6.44005E+00  -6.39905E-01  -6.32020E+00  -7.70976E-01  -5.89253E+00  -8.05147E-01  -5.19794E+00  -7.51095E-01  -4.29897E+00  -6.26514E-01  -3.27717E+00  -4.56891E-01  -2.22969E+00
 3.88000E+01   1.84453E+00  -1.26148E+00   1.50576E+00  -2.55392E+00   1.10104E+00  -3.77398E+00   6.66943E-01  -4.83267E+00   2.39931E-01  -5.65693E+00  -1.46541E-01  -6.19325E+00  -4.64643E-01  -6.41037E+00  -6.94277E-01  -6.30089E+00  -8.24574E-01  -5.88175E+00  -8.54647E-01  -5.19356E+00  -7.93628E-01  -4.29883E+00  -6.59988E-01  -3.27924E+00  -4.80281E-01  -2.23233E+00
