#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.54000E+01   6.10223E-03  -4.75550E-03   5.50333E-03  -6.25531E-03   4.73590E-03  -7.50752E-03   3.86245E-03  -8.42107E-03   2.94277E-03  -8.92925E-03   2.03054E-03  -8.99006E-03   1.17048E-03  -8.58583E-03   3.96275E-04  -7.72167E-03  -2.70543E-04  -6.42318E-03  -8.20813E-04  -4.73325E-03  -1.25692E-03  -2.70809E-03  -1.59109E-03  -4.12658E-04  -1.84285E-03   2.08449E-03
 3.56000E+01   6.04477E-03  -4.71614E-03   5.43017E-03  -6.21771E-03   4.64897E-03  -7.47235E-03   3.76493E-03  -8.38886E-03   2.83891E-03  -8.90039E-03   1.92547E-03  -8.96489E-03   1.06989E-03  -8.56461E-03   3.06139E-04  -7.70464E-03  -3.44304E-04  -6.41058E-03  -8.72625E-04  -4.72529E-03  -1.28183E-03  -2.70497E-03  -1.58498E-03  -4.14548E-04  -1.80255E-03   2.07745E-03
 3.59000E+01   5.96339E-03  -4.65578E-03   5.32549E-03  -6.15980E-03   4.52373E-03  -7.41797E-03   3.62368E-03  -8.33884E-03   2.68787E-03  -8.85540E-03   1.77213E-03  -8.92547E-03   9.22646E-04  -8.53125E-03   1.73817E-04  -7.67780E-03  -4.52933E-04  -6.39068E-03  -9.49293E-04  -4.71273E-03  -1.31918E-03  -2.70012E-03  -1.57687E-03  -4.17726E-04  -1.74427E-03   2.06599E-03
 3.61000E+01   5.91226E-03  -4.61478E-03   5.25900E-03  -6.12033E-03   4.44356E-03  -7.38077E-03   3.53277E-03  -8.30450E-03   2.59023E-03  -8.82439E-03   1.67266E-03  -8.89821E-03   8.26834E-04  -8.50811E-03   8.74578E-05  -7.65913E-03  -5.24062E-04  -6.37682E-03  -9.99737E-04  -4.70399E-03  -1.34408E-03  -2.69679E-03  -1.57216E-03  -4.20044E-04  -1.70684E-03   2.05782E-03
 3.64000E+01   5.84011E-03  -4.55235E-03   5.16405E-03  -6.06006E-03   4.32816E-03  -7.32379E-03   3.40114E-03  -8.25172E-03   2.44822E-03  -8.77658E-03   1.52743E-03  -8.85604E-03   6.86502E-04  -8.47221E-03  -3.94122E-05  -7.63010E-03  -6.28906E-04  -6.35522E-03  -1.07445E-03  -4.69037E-03  -1.38143E-03  -2.69163E-03  -1.56612E-03  -4.23777E-04  -1.65275E-03   2.04486E-03
 3.66000E+01   5.79497E-03  -4.51021E-03   5.10385E-03  -6.01927E-03   4.25437E-03  -7.28512E-03   3.31644E-03  -8.21580E-03   2.35640E-03  -8.74395E-03   1.43318E-03  -8.82719E-03   5.95126E-04  -8.44758E-03  -1.22280E-04  -7.61013E-03  -6.97620E-04  -6.34034E-03  -1.12366E-03  -4.68098E-03  -1.40636E-03  -2.68810E-03  -1.56276E-03  -4.26409E-04  -1.61801E-03   2.03581E-03
 3.69000E+01   5.73155E-03  -4.44641E-03   5.01807E-03  -5.95738E-03   4.14823E-03  -7.22630E-03   3.19381E-03  -8.16102E-03   2.22281E-03  -8.69406E-03   1.29551E-03  -8.78295E-03   4.61195E-04  -8.40973E-03  -2.44125E-04  -7.57938E-03  -7.99003E-04  -6.31738E-03  -1.19663E-03  -4.66648E-03  -1.44379E-03  -2.68265E-03  -1.55868E-03  -4.30535E-04  -1.56784E-03   2.02170E-03
 3.72000E+01   5.67314E-03  -4.38207E-03   4.93752E-03  -5.89483E-03   4.04737E-03  -7.16670E-03   3.07631E-03  -8.10537E-03   2.09400E-03  -8.64322E-03   1.16210E-03  -8.73774E-03   3.30865E-04  -8.37095E-03  -3.63159E-04  -7.54779E-03  -8.98464E-04  -6.29375E-03  -1.26864E-03  -4.65152E-03  -1.48129E-03  -2.67703E-03  -1.55575E-03  -4.34829E-04  -1.51989E-03   2.00704E-03
 3.74000E+01   5.63689E-03  -4.33897E-03   4.88663E-03  -5.85286E-03   3.98296E-03  -7.12664E-03   3.00071E-03  -8.06788E-03   2.01068E-03  -8.60890E-03   1.07543E-03  -8.70716E-03   2.45892E-04  -8.34465E-03  -4.41025E-04  -7.52633E-03  -9.63759E-04  -6.27766E-03  -1.31616E-03  -4.64132E-03  -1.50634E-03  -2.67319E-03  -1.55440E-03  -4.37761E-04  -1.48912E-03   1.99702E-03
 3.77000E+01   5.58642E-03  -4.27416E-03   4.81439E-03  -5.78966E-03   3.89044E-03  -7.06621E-03   2.89128E-03  -8.01122E-03   1.88937E-03  -8.55692E-03   9.48688E-04  -8.66073E-03   1.21173E-04  -8.30464E-03  -5.55699E-04  -7.49360E-03  -1.06026E-03  -6.25307E-03  -1.38673E-03  -4.62570E-03  -1.54401E-03  -2.66729E-03  -1.55329E-03  -4.42233E-04  -1.44469E-03   1.98166E-03
 3.80000E+01   5.54051E-03  -4.20930E-03   4.74688E-03  -5.72630E-03   3.80266E-03  -7.00551E-03   2.78642E-03  -7.95419E-03   1.77231E-03  -8.50448E-03   8.25702E-04  -8.61378E-03  -4.03978E-07  -8.26407E-03  -6.67947E-04  -7.46034E-03  -1.15514E-03  -6.22802E-03  -1.45654E-03  -4.60973E-03  -1.58180E-03  -2.66122E-03  -1.55323E-03  -4.46758E-04  -1.40225E-03   1.96598E-03
 3.83000E+01   5.49898E-03  -4.14453E-03   4.68394E-03  -5.66294E-03   3.71944E-03  -6.94471E-03   2.68594E-03  -7.89694E-03   1.65928E-03  -8.45172E-03   7.06287E-04  -8.56643E-03  -1.19004E-04  -8.22306E-03  -7.77909E-04  -7.42661E-03  -1.24850E-03  -6.20255E-03  -1.52564E-03  -4.59344E-03  -1.61974E-03  -2.65498E-03  -1.55419E-03  -4.51297E-04  -1.36172E-03   1.95007E-03
 3.85000E+01   5.47365E-03  -4.10146E-03   4.64442E-03  -5.62078E-03   3.66640E-03  -6.90419E-03   2.62129E-03  -7.85873E-03   1.58609E-03  -8.41644E-03   6.28573E-04  -8.53469E-03  -1.96496E-04  -8.19552E-03  -8.50012E-04  -7.40392E-03  -1.30994E-03  -6.18536E-03  -1.57135E-03  -4.58242E-03  -1.64513E-03  -2.65071E-03  -1.55539E-03  -4.54314E-04  -1.33573E-03   1.93936E-03
 3.88000E+01   5.43909E-03  -4.03714E-03   4.58869E-03  -5.55774E-03   3.59037E-03  -6.84354E-03   2.52769E-03  -7.80144E-03   1.47940E-03  -8.36344E-03   5.14721E-04  -8.48693E-03  -3.10484E-04  -8.15396E-03  -9.56457E-04  -7.36960E-03  -1.40098E-03  -6.15931E-03  -1.63941E-03  -4.56565E-03  -1.68336E-03  -2.64416E-03  -1.55800E-03  -4.58801E-04  -1.29821E-03   1.92318E-03
 3.91000E+01   5.40851E-03  -3.97323E-03   4.53707E-03  -5.49504E-03   3.51841E-03  -6.78313E-03   2.43799E-03  -7.74427E-03   1.37628E-03  -8.31043E-03   4.03985E-04  -8.43904E-03  -4.21906E-04  -8.11219E-03  -1.06096E-03  -7.33500E-03  -1.49076E-03  -6.13296E-03  -1.70693E-03  -4.54861E-03  -1.72179E-03  -2.63742E-03  -1.56155E-03  -4.63217E-04  -1.26239E-03   1.90692E-03
 3.94000E+01   5.38177E-03  -3.90985E-03   4.48940E-03  -5.43281E-03   3.45038E-03  -6.72307E-03   2.35201E-03  -7.68732E-03   1.27655E-03  -8.25752E-03   2.96204E-04  -8.39111E-03  -5.30906E-04  -8.07027E-03  -1.16365E-03  -7.30017E-03  -1.57937E-03  -6.10635E-03  -1.77397E-03  -4.53131E-03  -1.76043E-03  -2.63048E-03  -1.56602E-03  -4.67531E-04  -1.22820E-03   1.89062E-03
 3.97000E+01   5.35874E-03  -3.84710E-03   4.44555E-03  -5.37113E-03   3.38609E-03  -6.66347E-03   2.26959E-03  -7.63070E-03   1.18005E-03  -8.20478E-03   1.91226E-04  -8.34322E-03  -6.37620E-04  -8.02826E-03  -1.26463E-03  -7.26515E-03  -1.66690E-03  -6.07949E-03  -1.84057E-03  -4.51377E-03  -1.79931E-03  -2.62333E-03  -1.57140E-03  -4.71717E-04  -1.19557E-03   1.87434E-03
 4.00000E+01   5.33928E-03  -3.78505E-03   4.40536E-03  -5.31010E-03   3.32541E-03  -6.60440E-03   2.19057E-03  -7.57448E-03   1.08664E-03  -8.15229E-03   8.89048E-05  -8.29541E-03  -7.42182E-04  -7.98620E-03  -1.36402E-03  -7.22998E-03  -1.75344E-03  -6.05241E-03  -1.90680E-03  -4.49597E-03  -1.83843E-03  -2.61595E-03  -1.57764E-03  -4.75749E-04  -1.16444E-03   1.85810E-03
 4.02000E+01   5.32824E-03  -3.74411E-03   4.38053E-03  -5.26981E-03   3.28689E-03  -6.56536E-03   2.13971E-03  -7.53726E-03   1.02601E-03  -8.11746E-03   2.20965E-05  -8.26362E-03  -8.10757E-04  -7.95815E-03  -1.42944E-03  -7.20646E-03  -1.81062E-03  -6.03423E-03  -1.95077E-03  -4.48397E-03  -1.86466E-03  -2.61090E-03  -1.58228E-03  -4.78341E-04  -1.14448E-03   1.84732E-03
 4.05000E+01   5.31447E-03  -3.68341E-03   4.34615E-03  -5.21002E-03   3.23189E-03  -6.50736E-03   2.06603E-03  -7.48185E-03   9.37402E-04  -8.06551E-03  -7.61069E-05  -8.21607E-03  -9.12011E-04  -7.91609E-03  -1.52642E-03  -7.17108E-03  -1.89568E-03  -6.00680E-03  -2.01649E-03  -4.46577E-03  -1.90424E-03  -2.60313E-03  -1.58993E-03  -4.82065E-04  -1.11569E-03   1.83124E-03
 4.08000E+01   5.30397E-03  -3.62360E-03   4.31508E-03  -5.15107E-03   3.18013E-03  -6.45008E-03   1.99538E-03  -7.42702E-03   8.51499E-04  -8.01396E-03  -1.72015E-04  -8.16874E-03  -1.01144E-03  -7.87408E-03  -1.62207E-03  -7.13561E-03  -1.97996E-03  -5.97917E-03  -2.08196E-03  -4.44731E-03  -1.94410E-03  -2.59510E-03  -1.59840E-03  -4.85575E-04  -1.08823E-03   1.81529E-03
 4.11000E+01   5.29662E-03  -3.56476E-03   4.28720E-03  -5.09301E-03   3.13146E-03  -6.39358E-03   1.92761E-03  -7.37281E-03   7.68165E-04  -7.96284E-03  -2.65752E-04  -8.12166E-03  -1.10915E-03  -7.83213E-03  -1.71650E-03  -7.10004E-03  -2.06353E-03  -5.95134E-03  -2.14723E-03  -4.42859E-03  -1.98427E-03  -2.58680E-03  -1.60766E-03  -4.88849E-04  -1.06204E-03   1.79950E-03
 4.14000E+01   5.29231E-03  -3.50694E-03   4.26240E-03  -5.03592E-03   3.08578E-03  -6.33791E-03   1.86260E-03  -7.31926E-03   6.87275E-04  -7.91219E-03  -3.57436E-04  -8.07484E-03  -1.20525E-03  -7.79025E-03  -1.80980E-03  -7.06439E-03  -2.14645E-03  -5.92331E-03  -2.21234E-03  -4.40960E-03  -2.02475E-03  -2.57821E-03  -1.61770E-03  -4.91868E-04  -1.03707E-03   1.78390E-03
 4.17000E+01   5.29095E-03  -3.45019E-03   4.24057E-03  -4.97982E-03   3.04295E-03  -6.28312E-03   1.80023E-03  -7.26641E-03   6.08710E-04  -7.86204E-03  -4.47181E-04  -8.02831E-03  -1.29985E-03  -7.74847E-03  -1.90206E-03  -7.02867E-03  -2.22879E-03  -5.89508E-03  -2.27734E-03  -4.39032E-03  -2.06557E-03  -2.56931E-03  -1.62849E-03  -4.94613E-04  -1.01327E-03   1.76849E-03
 4.20000E+01   5.29244E-03  -3.39456E-03   4.22160E-03  -4.92478E-03   3.00287E-03  -6.22925E-03   1.74038E-03  -7.21431E-03   5.32356E-04  -7.81241E-03  -5.35094E-04  -7.98209E-03  -1.39304E-03  -7.70678E-03  -1.99334E-03  -6.99286E-03  -2.31061E-03  -5.86662E-03  -2.34225E-03  -4.37075E-03  -2.10672E-03  -2.56009E-03  -1.64002E-03  -4.97063E-04  -9.90575E-04   1.75331E-03
 4.23000E+01   5.29669E-03  -3.34010E-03   4.20539E-03  -4.87084E-03   2.96542E-03  -6.17634E-03   1.68295E-03  -7.16297E-03   4.58106E-04  -7.76334E-03  -6.21278E-04  -7.93618E-03  -1.48491E-03  -7.66520E-03  -2.08375E-03  -6.95696E-03  -2.39198E-03  -5.83794E-03  -2.40712E-03  -4.35086E-03  -2.14823E-03  -2.55054E-03  -1.65227E-03  -4.99202E-04  -9.68954E-04   1.73836E-03
 4.26000E+01   5.30361E-03  -3.28685E-03   4.19184E-03  -4.81802E-03   2.93052E-03  -6.12441E-03   1.62783E-03  -7.11242E-03   3.85855E-04  -7.71482E-03  -7.05830E-04  -7.89059E-03  -1.57555E-03  -7.62370E-03  -2.17333E-03  -6.92096E-03  -2.47294E-03  -5.80901E-03  -2.47199E-03  -4.33065E-03  -2.19010E-03  -2.54062E-03  -1.66523E-03  -5.01012E-04  -9.48357E-04   1.72366E-03
