#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.54000E+01  -0.00000E+00  -2.17757E+00  -0.00000E+00  -3.57719E+00  -0.00000E+00  -4.88042E+00  -0.00000E+00  -5.99314E+00  -0.00000E+00  -6.83845E+00  -0.00000E+00  -7.36058E+00  -0.00000E+00  -7.52784E+00  -0.00000E+00  -7.33447E+00  -0.00000E+00  -6.80122E+00  -0.00000E+00  -5.97469E+00  -0.00000E+00  -4.92546E+00  -0.00000E+00  -3.74517E+00  -0.00000E+00  -2.54289E+00
 3.56000E+01   0.00000E+00  -2.08424E+00   0.00000E+00  -3.48635E+00   0.00000E+00  -4.79532E+00   0.00000E+00  -5.91633E+00   0.00000E+00  -6.77171E+00   0.00000E+00  -7.30485E+00   0.00000E+00  -7.48328E+00   0.00000E+00  -7.30052E+00   0.00000E+00  -6.77678E+00   0.00000E+00  -5.95827E+00   0.00000E+00  -4.91535E+00   0.00000E+00  -3.73966E+00   0.00000E+00  -2.54038E+00
 3.59000E+01   0.00000E+00  -1.94709E+00   0.00000E+00  -3.35348E+00   0.00000E+00  -4.67153E+00   0.00000E+00  -5.80539E+00   0.00000E+00  -6.67614E+00   0.00000E+00  -7.22592E+00   0.00000E+00  -7.42105E+00   0.00000E+00  -7.25400E+00   0.00000E+00  -6.74415E+00   0.00000E+00  -5.93714E+00   0.00000E+00  -4.90307E+00   0.00000E+00  -3.73356E+00   0.00000E+00  -2.53808E+00
 3.61000E+01   0.00000E+00  -1.85740E+00   0.00000E+00  -3.26700E+00   0.00000E+00  -4.59143E+00   0.00000E+00  -5.73411E+00   0.00000E+00  -6.61530E+00   0.00000E+00  -7.17627E+00   0.00000E+00  -7.38252E+00   0.00000E+00  -7.22582E+00   0.00000E+00  -6.72498E+00   0.00000E+00  -5.92531E+00   0.00000E+00  -4.89672E+00   0.00000E+00  -3.73090E+00   0.00000E+00  -2.53750E+00
 3.64000E+01   0.00000E+00  -1.72529E+00   0.00000E+00  -3.14019E+00   0.00000E+00  -4.47465E+00   0.00000E+00  -5.63097E+00   0.00000E+00  -6.52811E+00   0.00000E+00  -7.10601E+00   0.00000E+00  -7.32894E+00   0.00000E+00  -7.18759E+00   0.00000E+00  -6.69996E+00   0.00000E+00  -5.91082E+00   0.00000E+00  -4.88989E+00   0.00000E+00  -3.72894E+00   0.00000E+00  -2.53801E+00
 3.66000E+01   0.00000E+00  -1.63868E+00   0.00000E+00  -3.05745E+00   0.00000E+00  -4.39893E+00   0.00000E+00  -5.56460E+00   0.00000E+00  -6.47257E+00   0.00000E+00  -7.06187E+00   0.00000E+00  -7.29592E+00   0.00000E+00  -7.16471E+00   0.00000E+00  -6.68568E+00   0.00000E+00  -5.90326E+00   0.00000E+00  -4.88707E+00   0.00000E+00  -3.72895E+00   0.00000E+00  -2.53925E+00
 3.69000E+01   0.00000E+00  -1.51079E+00   0.00000E+00  -2.93585E+00   0.00000E+00  -4.28829E+00   0.00000E+00  -5.46840E+00   0.00000E+00  -6.39292E+00   0.00000E+00  -6.99950E+00   0.00000E+00  -7.25028E+00   0.00000E+00  -7.13415E+00   0.00000E+00  -6.66774E+00   0.00000E+00  -5.89499E+00   0.00000E+00  -4.88537E+00   0.00000E+00  -3.73091E+00   0.00000E+00  -2.54242E+00
 3.72000E+01   0.00000E+00  -1.38509E+00   0.00000E+00  -2.81701E+00   0.00000E+00  -4.18096E+00   0.00000E+00  -5.37599E+00   0.00000E+00  -6.31744E+00   0.00000E+00  -6.94154E+00   0.00000E+00  -7.20911E+00   0.00000E+00  -7.10794E+00   0.00000E+00  -6.65385E+00   0.00000E+00  -5.89029E+00   0.00000E+00  -4.88662E+00   0.00000E+00  -3.73512E+00   0.00000E+00  -2.54713E+00
 3.74000E+01   0.00000E+00  -1.30239E+00   0.00000E+00  -2.73919E+00   0.00000E+00  -4.11112E+00   0.00000E+00  -5.31637E+00   0.00000E+00  -6.26932E+00   0.00000E+00  -6.90524E+00   0.00000E+00  -7.18405E+00   0.00000E+00  -7.09280E+00   0.00000E+00  -6.64676E+00   0.00000E+00  -5.88908E+00   0.00000E+00  -4.88906E+00   0.00000E+00  -3.73916E+00   0.00000E+00  -2.55112E+00
 3.77000E+01   0.00000E+00  -1.17981E+00   0.00000E+00  -2.62439E+00   0.00000E+00  -4.00875E+00   0.00000E+00  -5.22974E+00   0.00000E+00  -6.20028E+00   0.00000E+00  -6.85416E+00   0.00000E+00  -7.14992E+00   0.00000E+00  -7.07349E+00   0.00000E+00  -6.63931E+00   0.00000E+00  -5.89010E+00   0.00000E+00  -4.89507E+00   0.00000E+00  -3.74702E+00   0.00000E+00  -2.55833E+00
 3.80000E+01   0.00000E+00  -1.05880E+00   0.00000E+00  -2.51171E+00   0.00000E+00  -3.90904E+00   0.00000E+00  -5.14628E+00   0.00000E+00  -6.13483E+00   0.00000E+00  -6.80695E+00   0.00000E+00  -7.11979E+00   0.00000E+00  -7.05813E+00   0.00000E+00  -6.63558E+00   0.00000E+00  -5.89442E+00   0.00000E+00  -4.90385E+00   0.00000E+00  -3.75701E+00   0.00000E+00  -2.56701E+00
 3.83000E+01   0.00000E+00  -9.39176E-01   0.00000E+00  -2.40094E+00   0.00000E+00  -3.81179E+00   0.00000E+00  -5.06579E+00   0.00000E+00  -6.07278E+00   0.00000E+00  -6.76345E+00   0.00000E+00  -7.09353E+00   0.00000E+00  -7.04660E+00   0.00000E+00  -6.63547E+00   0.00000E+00  -5.90199E+00   0.00000E+00  -4.91535E+00   0.00000E+00  -3.76911E+00   0.00000E+00  -2.57713E+00
 3.85000E+01   0.00000E+00  -8.60091E-01   0.00000E+00  -2.32806E+00   0.00000E+00  -3.74822E+00   0.00000E+00  -5.01369E+00   0.00000E+00  -6.03321E+00   0.00000E+00  -6.73643E+00   0.00000E+00  -7.07810E+00   0.00000E+00  -7.04099E+00   0.00000E+00  -6.63738E+00   0.00000E+00  -5.90881E+00   0.00000E+00  -4.92451E+00   0.00000E+00  -3.77833E+00   0.00000E+00  -2.58468E+00
 3.88000E+01   0.00000E+00  -7.42325E-01   0.00000E+00  -2.22003E+00   0.00000E+00  -3.65462E+00   0.00000E+00  -4.93773E+00   0.00000E+00  -5.97645E+00   0.00000E+00  -6.69878E+00   0.00000E+00  -7.05799E+00   0.00000E+00  -7.03563E+00   0.00000E+00  -6.64314E+00   0.00000E+00  -5.92166E+00   0.00000E+00  -4.94046E+00   0.00000E+00  -3.79387E+00   0.00000E+00  -2.59718E+00
 3.91000E+01   0.00000E+00  -6.25432E-01   0.00000E+00  -2.11340E+00   0.00000E+00  -3.56299E+00   0.00000E+00  -4.86427E+00   0.00000E+00  -5.92267E+00   0.00000E+00  -6.66447E+00   0.00000E+00  -7.04143E+00   0.00000E+00  -7.03386E+00   0.00000E+00  -6.65234E+00   0.00000E+00  -5.93762E+00   0.00000E+00  -4.95903E+00   0.00000E+00  -3.81145E+00   0.00000E+00  -2.61110E+00
