#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   1.37991E-02   2.01253E-02   1.69062E-02   1.79091E-02   1.87754E-02   1.16252E-02   1.94155E-02   2.35117E-03   1.89069E-02  -8.81669E-03   1.73945E-02  -2.07936E-02   1.50764E-02  -3.25419E-02   1.21873E-02  -4.31083E-02   8.98029E-03  -5.16598E-02   5.70766E-03  -5.75147E-02   2.60236E-03  -6.01678E-02  -1.37960E-04  -5.93056E-02  -2.36349E-03  -5.48126E-02  -3.98030E-03  -4.67651E-02  -4.95337E-03  -3.54150E-02  -5.30422E-03  -2.11617E-02  -5.10338E-03  -4.51441E-03  -4.45820E-03   1.39547E-02  -3.49644E-03   3.36643E-02  -2.34686E-03   5.40839E-02  -1.11744E-03   7.47968E-02
 3.56000E+01   1.38524E-02   2.05060E-02   1.69549E-02   1.84047E-02   1.88042E-02   1.22122E-02   1.94098E-02   3.00201E-03   1.88544E-02  -8.13133E-03   1.72863E-02  -2.01029E-02   1.49082E-02  -3.18731E-02   1.19602E-02  -4.24854E-02   8.70098E-03  -5.11022E-02   5.38812E-03  -5.70371E-02   2.25946E-03  -5.97799E-02  -4.83498E-04  -5.90123E-02  -2.68841E-03  -5.46147E-02  -4.26031E-03  -4.66602E-02  -5.16464E-03  -3.53985E-02  -5.42486E-03  -2.12280E-02  -5.11467E-03  -4.65758E-03  -4.34543E-03   1.37398E-02  -3.24936E-03   3.33816E-02  -1.95945E-03   5.37358E-02  -5.87192E-04   7.43844E-02
 3.59000E+01   1.39413E-02   2.10733E-02   1.70410E-02   1.91421E-02   1.88644E-02   1.30839E-02   1.94220E-02   3.96645E-03   1.87989E-02  -7.11825E-03   1.71491E-02  -1.90849E-02   1.46819E-02  -3.08908E-02   1.16451E-02  -4.15740E-02   8.30600E-03  -5.02905E-02   4.93049E-03  -5.63461E-02   1.76376E-03  -5.92228E-02  -9.86781E-04  -5.85955E-02  -3.16480E-03  -5.43381E-02  -4.67358E-03  -4.65192E-02  -5.47916E-03  -3.53850E-02  -5.60780E-03  -2.13324E-02  -5.13790E-03  -4.87033E-03  -4.18683E-03   1.34270E-02  -2.89345E-03   3.29752E-02  -1.39717E-03   5.32398E-02   1.85259E-04   7.38004E-02
 3.61000E+01   1.40063E-02   2.14493E-02   1.71069E-02   1.96299E-02   1.89156E-02   1.36595E-02   1.94433E-02   4.60199E-03   1.87769E-02  -6.45232E-03   1.70737E-02  -1.84177E-02   1.45473E-02  -3.02491E-02   1.14510E-02  -4.09812E-02   8.05771E-03  -4.97651E-02   4.63889E-03  -5.59016E-02   1.44478E-03  -5.88675E-02  -1.31315E-03  -5.83326E-02  -3.47579E-03  -5.41670E-02  -4.94516E-03  -4.64357E-02  -5.68762E-03  -3.53832E-02  -5.73122E-03  -2.14053E-02  -5.15746E-03  -5.01094E-03  -4.08771E-03   1.32247E-02  -2.66526E-03   3.27158E-02  -1.03385E-03   5.29259E-02   6.86294E-04   7.34333E-02
 3.64000E+01   1.41124E-02   2.20100E-02   1.72180E-02   2.03565E-02   1.90084E-02   1.45153E-02   1.94943E-02   5.54488E-03   1.87653E-02  -5.46675E-03   1.69833E-02  -1.74330E-02   1.43686E-02  -2.93056E-02   1.11824E-02  -4.01131E-02   7.70630E-03  -4.89997E-02   4.22020E-03  -5.52583E-02   9.82061E-04  -5.83575E-02  -1.79034E-03  -5.79600E-02  -3.93358E-03  -5.39294E-02  -5.34760E-03  -4.63260E-02  -5.99910E-03  -3.53913E-02  -5.91879E-03  -2.15196E-02  -5.19274E-03  -5.22023E-03  -3.94831E-03   1.29301E-02  -2.33550E-03   3.23429E-02  -5.04505E-04   5.24793E-02   1.41909E-03   7.29149E-02
 3.66000E+01   1.41885E-02   2.23819E-02   1.73000E-02   2.08376E-02   1.90805E-02   1.50810E-02   1.95405E-02   6.16695E-03   1.87713E-02  -4.81811E-03   1.69376E-02  -1.67869E-02   1.42642E-02  -2.86885E-02   1.10177E-02  -3.95479E-02   7.48524E-03  -4.85040E-02   3.95271E-03  -5.48444E-02   6.83276E-04  -5.80324E-02  -2.10098E-03  -5.77256E-02  -4.23361E-03  -5.37834E-02  -5.61310E-03  -4.62629E-02  -6.20630E-03  -3.54036E-02  -6.04560E-03  -2.15990E-02  -5.22012E-03  -5.35878E-03  -3.86123E-03   1.27393E-02  -2.12338E-03   3.21050E-02  -1.61162E-04   5.21973E-02   1.89627E-03   7.25901E-02
 3.69000E+01   1.43108E-02   2.29371E-02   1.74346E-02   2.15549E-02   1.92036E-02   1.59231E-02   1.96277E-02   7.09093E-03   1.88001E-02  -3.85697E-03   1.68900E-02  -1.58323E-02   1.41286E-02  -2.77801E-02   1.07907E-02  -3.87192E-02   7.17218E-03  -4.77812E-02   3.56763E-03  -5.42451E-02   2.48368E-04  -5.75662E-02  -2.55688E-03  -5.73943E-02  -4.67696E-03  -5.35823E-02  -6.00801E-03  -4.61829E-02  -6.51695E-03  -3.54323E-02  -6.23868E-03  -2.17230E-02  -5.26684E-03  -5.56528E-03  -3.73882E-03   1.24611E-02  -1.81583E-03   3.17632E-02   3.40937E-04   5.17968E-02   2.59689E-03   7.21331E-02
 3.72000E+01   1.44424E-02   2.34895E-02   1.75828E-02   2.22674E-02   1.93442E-02   1.67578E-02   1.97356E-02   8.00474E-03   1.88518E-02  -2.90912E-03   1.68664E-02  -1.48940E-02   1.40172E-02  -2.68910E-02   1.05867E-02  -3.79126E-02   6.87997E-03  -4.70822E-02   3.20052E-03  -5.36708E-02  -1.72030E-04  -5.71248E-02  -3.00204E-03  -5.70864E-02  -5.11345E-03  -5.34023E-02  -6.39983E-03  -4.61200E-02  -6.82808E-03  -3.54729E-02  -6.43549E-03  -2.18528E-02  -5.32021E-03  -5.77043E-03  -3.62569E-03   1.21922E-02  -1.51995E-03   3.14390E-02   8.29107E-04   5.14225E-02   3.28138E-03   7.17110E-02
 3.74000E+01   1.45353E-02   2.38563E-02   1.76889E-02   2.27399E-02   1.94474E-02   1.73105E-02   1.98186E-02   8.60871E-03   1.88986E-02  -2.28411E-03   1.68636E-02  -1.42772E-02   1.39557E-02  -2.63086E-02   1.04628E-02  -3.73864E-02   6.69603E-03  -4.66290E-02   2.96501E-03  -5.33011E-02  -4.44966E-04  -5.68438E-02  -3.29354E-03  -5.68938E-02  -5.40123E-03  -5.32935E-02  -6.65982E-03  -4.60872E-02  -7.03609E-03  -3.55065E-02  -6.56891E-03  -2.19425E-02  -5.35942E-03  -5.90654E-03  -3.55512E-03   1.20178E-02  -1.32864E-03   3.12322E-02   1.14763E-03   5.11870E-02   3.72984E-03   7.14483E-02
 3.77000E+01   1.46821E-02   2.44047E-02   1.78590E-02   2.34455E-02   1.96160E-02   1.81346E-02   1.99595E-02   9.50740E-03   1.89867E-02  -1.35626E-03   1.68780E-02  -1.33640E-02   1.38818E-02  -2.54494E-02   1.02942E-02  -3.66138E-02   6.43546E-03  -4.59673E-02   2.62460E-03  -5.27658E-02  -8.44391E-04  -5.64415E-02  -3.72384E-03  -5.66233E-02  -5.82896E-03  -5.31467E-02  -7.04867E-03  -4.60515E-02  -7.34950E-03  -3.55665E-02  -6.77261E-03  -2.20817E-02  -5.42361E-03  -6.10989E-03  -3.45614E-03   1.17631E-02  -1.04980E-03   3.09356E-02   1.61617E-03   5.08540E-02   4.39223E-03   7.10814E-02
