#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   1.88805E-02  -4.68120E-02   9.50653E-03  -4.91428E-02   1.04049E-04  -4.88092E-02  -8.80917E-03  -4.58569E-02  -1.67620E-02  -4.04894E-02  -2.33557E-02  -3.30498E-02  -2.82848E-02  -2.39958E-02  -3.13509E-02  -1.38691E-02  -3.24700E-02  -3.26183E-03  -3.16726E-02   7.21927E-03  -2.90971E-02   1.69882E-02  -2.49770E-02   2.55129E-02  -1.96237E-02   3.23439E-02  -1.34043E-02   3.71381E-02  -6.71811E-03   3.96758E-02   2.79627E-05   3.98700E-02   6.44361E-03   3.77680E-02   1.21770E-02   3.35461E-02   1.69334E-02   2.74958E-02   2.04897E-02   2.00055E-02   2.27041E-02   1.15358E-02
 3.56000E+01   1.83248E-02  -4.66054E-02   8.89534E-03  -4.90058E-02  -5.30012E-04  -4.87364E-02  -9.42846E-03  -4.58404E-02  -1.73264E-02  -4.05196E-02  -2.38256E-02  -3.31161E-02  -2.86238E-02  -2.40877E-02  -3.15288E-02  -1.39769E-02  -3.24652E-02  -3.37721E-03  -3.14740E-02   7.10317E-03  -2.87055E-02   1.68765E-02  -2.44058E-02   2.54087E-02  -1.88982E-02   3.22490E-02  -1.25609E-02   3.70531E-02  -5.80236E-03   3.96002E-02   9.64017E-04   3.98029E-02   7.34451E-03   3.77086E-02   1.29873E-02   3.34935E-02   1.76012E-02   2.74497E-02   2.09701E-02   1.99662E-02   2.29619E-02   1.15042E-02
 3.59000E+01   1.75703E-02  -4.62809E-02   8.03264E-03  -4.87842E-02  -1.45411E-03  -4.86105E-02  -1.03582E-02  -4.57991E-02  -1.82008E-02  -4.05494E-02  -2.45829E-02  -3.32025E-02  -2.92058E-02  -2.42162E-02  -3.18854E-02  -1.41341E-02  -3.25584E-02  -3.55136E-03  -3.12813E-02   6.92164E-03  -2.82222E-02   1.66948E-02  -2.36460E-02   2.52320E-02  -1.78949E-02   3.20804E-02  -1.13644E-02   3.68944E-02  -4.47760E-03   3.94523E-02   2.34103E-03   3.96664E-02   8.69137E-03   3.75840E-02   1.42203E-02   3.33820E-02   1.86408E-02   2.73532E-02   2.17461E-02   1.98871E-02   2.34182E-02   1.14456E-02
 3.61000E+01   1.71180E-02  -4.60600E-02   7.49194E-03  -4.86293E-02  -2.05345E-03  -4.85171E-02  -1.09794E-02  -4.57604E-02  -1.88027E-02  -4.05572E-02  -2.51226E-02  -3.32481E-02  -2.96422E-02  -2.42909E-02  -3.21819E-02  -1.42299E-02  -3.26861E-02  -3.66147E-03  -3.12213E-02   6.80275E-03  -2.79674E-02   1.65714E-02  -2.32022E-02   2.51071E-02  -1.72805E-02   3.19562E-02  -1.06102E-02   3.67724E-02  -3.62498E-03   3.93340E-02   3.24272E-03   3.95531E-02   9.58764E-03   3.74776E-02   1.50550E-02   3.32847E-02   1.93596E-02   2.72678E-02   2.23003E-02   1.98169E-02   2.37680E-02   1.13941E-02
 3.64000E+01   1.65121E-02  -4.57293E-02   6.72959E-03  -4.83912E-02  -2.92960E-03  -4.83650E-02  -1.19148E-02  -4.56850E-02  -1.97344E-02  -4.05473E-02  -2.59840E-02  -3.32922E-02  -3.03679E-02  -2.43779E-02  -3.27125E-02  -1.43502E-02  -3.29730E-02  -3.80668E-03  -3.12304E-02   6.63898E-03  -2.76823E-02   1.63938E-02  -2.26260E-02   2.49193E-02  -1.64364E-02   3.17609E-02  -9.54033E-03   3.65721E-02  -2.38833E-03   3.91314E-02   4.57376E-03   3.93519E-02   1.09318E-02   3.72823E-02   1.63272E-02   3.31012E-02   2.04767E-02   2.71029E-02   2.31864E-02   1.96782E-02   2.43597E-02   1.12895E-02
 3.66000E+01   1.61542E-02  -4.55135E-02   6.25201E-03  -4.82314E-02  -3.49974E-03  -4.82568E-02  -1.25413E-02  -4.56225E-02  -2.03748E-02  -4.05242E-02  -2.65923E-02  -3.33019E-02  -3.08980E-02  -2.44147E-02  -3.31219E-02  -1.44091E-02  -3.32256E-02  -3.88406E-03  -3.13000E-02   6.54580E-03  -2.75543E-02   1.62866E-02  -2.22990E-02   2.47993E-02  -1.59227E-02   3.16293E-02  -8.86553E-03   3.64303E-02  -1.58999E-03   3.89817E-02   5.44842E-03   3.91975E-02   1.18288E-02   3.71276E-02   1.71893E-02   3.29516E-02   2.12473E-02   2.69651E-02   2.38129E-02   1.95593E-02   2.47976E-02   1.11968E-02
 3.69000E+01   1.56826E-02  -4.52033E-02   5.57849E-03  -4.79940E-02  -4.33612E-03  -4.80855E-02  -1.34867E-02  -4.55092E-02  -2.13642E-02  -4.04607E-02  -2.75544E-02  -3.32807E-02  -3.17602E-02  -2.44297E-02  -3.38159E-02  -1.44561E-02  -3.36927E-02  -3.96075E-03  -3.14953E-02   6.44032E-03  -2.74505E-02   1.61523E-02  -2.18891E-02   2.46357E-02  -1.52210E-02   3.14367E-02  -7.90688E-03   3.62104E-02  -4.28194E-04   3.87379E-02   6.74391E-03   3.89358E-02   1.31773E-02   3.68567E-02   1.85041E-02   3.26825E-02   2.24413E-02   2.67107E-02   2.48047E-02   1.93338E-02   2.55169E-02   1.10145E-02
 3.72000E+01   1.52841E-02  -4.49162E-02   4.95261E-03  -4.77633E-02  -5.15221E-03  -4.79042E-02  -1.44394E-02  -4.53701E-02  -2.23873E-02  -4.03574E-02  -2.85738E-02  -3.32087E-02  -3.26992E-02  -2.43868E-02  -3.46013E-02  -1.44424E-02  -3.42598E-02  -3.97831E-03  -3.17932E-02   6.38784E-03  -2.74462E-02   1.60607E-02  -2.15699E-02   2.45015E-02  -1.45962E-02   3.12576E-02  -7.00753E-03   3.59868E-02   6.94615E-04   3.84734E-02   8.02220E-03   3.86378E-02   1.45305E-02   3.65361E-02   1.98444E-02   3.23538E-02   2.36794E-02   2.63911E-02   2.58560E-02   1.90423E-02   2.63071E-02   1.07705E-02
 3.74000E+01   1.50561E-02  -4.47412E-02   4.55974E-03  -4.76153E-02  -5.68617E-03  -4.77782E-02  -1.50789E-02  -4.52616E-02  -2.30873E-02  -4.02635E-02  -2.92835E-02  -3.31282E-02  -3.33654E-02  -2.43206E-02  -3.51724E-02  -1.43933E-02  -3.46898E-02  -3.95070E-03  -3.20451E-02   6.38865E-03  -2.74947E-02   1.60293E-02  -2.14038E-02   2.44332E-02  -1.42191E-02   3.11494E-02  -6.43825E-03   3.58380E-02   1.42345E-03   3.82865E-02   8.86597E-03   3.84181E-02   1.54355E-02   3.62925E-02   2.07516E-02   3.20981E-02   2.45280E-02   2.61375E-02   2.65879E-02   1.88062E-02   2.68707E-02   1.05679E-02
 3.77000E+01   1.47662E-02  -4.45085E-02   4.00391E-03  -4.74045E-02  -6.47342E-03  -4.75813E-02  -1.60442E-02  -4.50728E-02  -2.41625E-02  -4.00802E-02  -3.03899E-02  -3.29518E-02  -3.44204E-02  -2.41565E-02  -3.60949E-02  -1.42505E-02  -3.54066E-02  -3.84080E-03  -3.24962E-02   6.45279E-03  -2.76382E-02   1.60350E-02  -2.12188E-02   2.43696E-02  -1.37077E-02   3.10091E-02  -5.62584E-03   3.56184E-02   2.48970E-03   3.79907E-02   1.01201E-02   3.80556E-02   1.67971E-02   3.58788E-02   2.21309E-02   3.16543E-02   2.58324E-02   2.56889E-02   2.77280E-02   1.83813E-02   2.77664E-02   1.01955E-02
 3.80000E+01   1.45328E-02  -4.43168E-02   3.48457E-03  -4.72098E-02  -7.24570E-03  -4.73747E-02  -1.70162E-02  -4.48495E-02  -2.52646E-02  -3.98402E-02  -3.15415E-02  -3.27008E-02  -3.55354E-02  -2.39052E-02  -3.70883E-02  -1.40141E-02  -3.62008E-02  -3.63767E-03  -3.30266E-02   6.60305E-03  -2.78582E-02   1.61135E-02  -2.11032E-02   2.43603E-02  -1.32551E-02   3.09008E-02  -4.85876E-03   3.54061E-02   3.52614E-03   3.76769E-02   1.13610E-02   3.76510E-02   1.81619E-02   3.54020E-02   2.35292E-02   3.11309E-02   2.71699E-02   2.51501E-02   2.89126E-02   1.78616E-02   2.87151E-02   9.73085E-03
