#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   1.02700E-02  -2.55485E-02   5.15545E-03  -2.68127E-02   2.69743E-05  -2.66230E-02  -4.83307E-03  -2.50049E-02  -9.16789E-03  -2.20700E-02  -1.27603E-02  -1.80058E-02  -1.54440E-02  -1.30622E-02  -1.71112E-02  -7.53511E-03  -1.77162E-02  -1.74753E-03  -1.72761E-02   3.96958E-03  -1.58665E-02   9.29665E-03  -1.36153E-02   1.39436E-02  -1.06921E-02   1.76654E-02  -7.29752E-03   2.02754E-02  -3.64931E-03   2.16540E-02   3.06230E-05   2.17540E-02   3.52945E-03   2.06016E-02   6.65539E-03   1.82932E-02   9.24786E-03   1.49881E-02   1.11853E-02   1.08983E-02   1.23906E-02   6.27533E-03
 3.56000E+01   9.96666E-03  -2.54361E-02   4.82184E-03  -2.67383E-02  -3.19005E-04  -2.65837E-02  -5.17087E-03  -2.49963E-02  -9.47564E-03  -2.20868E-02  -1.30164E-02  -1.80423E-02  -1.56286E-02  -1.31126E-02  -1.72078E-02  -7.59417E-03  -1.77130E-02  -1.81063E-03  -1.71672E-02   3.90614E-03  -1.56524E-02   9.23563E-03  -1.33031E-02   1.38868E-02  -1.02959E-02   1.76138E-02  -6.83710E-03   2.02292E-02  -3.14955E-03   2.16129E-02   5.41327E-04   2.17176E-02   4.02085E-03   2.05694E-02   7.09724E-03   1.82647E-02   9.61185E-03   1.49631E-02   1.14470E-02   1.08771E-02   1.25308E-02   6.25826E-03
 3.59000E+01   9.55456E-03  -2.52597E-02   4.35085E-03  -2.66180E-02  -8.23326E-04  -2.65156E-02  -5.67809E-03  -2.49744E-02  -9.95251E-03  -2.21037E-02  -1.34292E-02  -1.80899E-02  -1.59456E-02  -1.31832E-02  -1.74016E-02  -7.68030E-03  -1.77631E-02  -1.90592E-03  -1.70613E-02   3.80692E-03  -1.53879E-02   9.13643E-03  -1.28879E-02   1.37903E-02  -9.74794E-03   1.75219E-02  -6.18387E-03   2.01428E-02  -2.42652E-03   2.15325E-02   1.29266E-03   2.16434E-02   4.75554E-03   2.05017E-02   7.76964E-03   1.82042E-02   1.01786E-02   1.49108E-02   1.18697E-02   1.08343E-02   1.27790E-02   6.22661E-03
 3.61000E+01   9.30747E-03  -2.51395E-02   4.05561E-03  -2.65339E-02  -1.15047E-03  -2.64650E-02  -6.01706E-03  -2.49537E-02  -1.02808E-02  -2.21083E-02  -1.37234E-02  -1.81151E-02  -1.61833E-02  -1.32242E-02  -1.75630E-02  -7.73283E-03  -1.78323E-02  -1.96621E-03  -1.70280E-02   3.74190E-03  -1.52484E-02   9.06899E-03  -1.26453E-02   1.37222E-02  -9.41234E-03   1.74541E-02  -5.77211E-03   2.00763E-02  -1.96115E-03   2.14681E-02   1.78469E-03   2.15818E-02   5.24447E-03   2.04439E-02   8.22483E-03   1.81514E-02   1.05704E-02   1.48645E-02   1.21717E-02   1.07962E-02   1.29694E-02   6.19872E-03
 3.64000E+01   8.97632E-03  -2.49596E-02   3.63923E-03  -2.64046E-02  -1.62878E-03  -2.63827E-02  -6.52748E-03  -2.49131E-02  -1.07890E-02  -2.21035E-02  -1.41931E-02  -1.81397E-02  -1.65788E-02  -1.32723E-02  -1.78519E-02  -7.79887E-03  -1.79881E-02  -2.04580E-03  -1.70322E-02   3.65227E-03  -1.50921E-02   8.97195E-03  -1.23302E-02   1.36196E-02  -8.95116E-03   1.73476E-02  -5.18788E-03   1.99671E-02  -1.28611E-03   2.13577E-02   2.51104E-03   2.14723E-02   5.97777E-03   2.03377E-02   8.91870E-03   1.80516E-02   1.11795E-02   1.47749E-02   1.26546E-02   1.07210E-02   1.32916E-02   6.14207E-03
 3.66000E+01   8.78068E-03  -2.48421E-02   3.37832E-03  -2.63177E-02  -1.94009E-03  -2.63240E-02  -6.86946E-03  -2.48794E-02  -1.11384E-02  -2.20912E-02  -1.45249E-02  -1.81454E-02  -1.68678E-02  -1.32927E-02  -1.80748E-02  -7.83134E-03  -1.81255E-02  -2.08828E-03  -1.70697E-02   3.60122E-03  -1.50217E-02   8.91330E-03  -1.21513E-02   1.35541E-02  -8.67043E-03   1.72758E-02  -4.81936E-03   1.98898E-02  -8.50290E-04   2.12762E-02   2.98838E-03   2.13882E-02   6.46719E-03   2.02535E-02   9.38897E-03   1.79703E-02   1.15997E-02   1.47000E-02   1.29961E-02   1.06564E-02   1.35300E-02   6.09174E-03
 3.69000E+01   8.52269E-03  -2.46733E-02   3.01028E-03  -2.61886E-02  -2.39684E-03  -2.62310E-02  -7.38550E-03  -2.48182E-02  -1.16783E-02  -2.20572E-02  -1.50496E-02  -1.81344E-02  -1.73379E-02  -1.33014E-02  -1.84530E-02  -7.85752E-03  -1.83797E-02  -2.13058E-03  -1.71755E-02   3.54330E-03  -1.49644E-02   8.83972E-03  -1.19269E-02   1.34647E-02  -8.28691E-03   1.71707E-02  -4.29575E-03   1.97699E-02  -2.16000E-04   2.11434E-02   3.69543E-03   2.12457E-02   7.20297E-03   2.01061E-02   1.01062E-02   1.78239E-02   1.22508E-02   1.45617E-02   1.35367E-02   1.05338E-02   1.39219E-02   5.99279E-03
 3.72000E+01   8.30454E-03  -2.45169E-02   2.66816E-03  -2.60632E-02  -2.84262E-03  -2.61326E-02  -7.90565E-03  -2.47428E-02  -1.22366E-02  -2.20014E-02  -1.56057E-02  -1.80957E-02  -1.78500E-02  -1.32786E-02  -1.88811E-02  -7.85057E-03  -1.86886E-02  -2.14067E-03  -1.73374E-02   3.51423E-03  -1.49613E-02   8.78944E-03  -1.17520E-02   1.33912E-02  -7.94532E-03   1.70728E-02  -3.80447E-03   1.96479E-02   3.97066E-04   2.09992E-02   4.39316E-03   2.10834E-02   7.94139E-03   1.99315E-02   1.08373E-02   1.76450E-02   1.29261E-02   1.43879E-02   1.41099E-02   1.03753E-02   1.43525E-02   5.86018E-03
 3.74000E+01   8.17965E-03  -2.44217E-02   2.45334E-03  -2.59827E-02  -3.13433E-03  -2.60641E-02  -8.25480E-03  -2.46840E-02  -1.26187E-02  -2.19505E-02  -1.59930E-02  -1.80522E-02  -1.82133E-02  -1.32428E-02  -1.91924E-02  -7.82416E-03  -1.89228E-02  -2.12596E-03  -1.74743E-02   3.51436E-03  -1.49872E-02   8.77204E-03  -1.16609E-02   1.33537E-02  -7.73911E-03   1.70137E-02  -3.49345E-03   1.95667E-02   7.95052E-04   2.08972E-02   4.85375E-03   2.09637E-02   8.43529E-03   1.97988E-02   1.13323E-02   1.75058E-02   1.33889E-02   1.42498E-02   1.45090E-02   1.02469E-02   1.46597E-02   5.74999E-03
 3.77000E+01   8.02065E-03  -2.42949E-02   2.14933E-03  -2.58680E-02  -3.56449E-03  -2.59571E-02  -8.78198E-03  -2.45814E-02  -1.32056E-02  -2.18511E-02  -1.65967E-02  -1.79566E-02  -1.87887E-02  -1.31540E-02  -1.96954E-02  -7.74690E-03  -1.93134E-02  -2.06659E-03  -1.77198E-02   3.54881E-03  -1.50648E-02   8.77469E-03  -1.15592E-02   1.33187E-02  -7.45936E-03   1.69369E-02  -3.04954E-03   1.94469E-02   1.37734E-03   2.07360E-02   5.53840E-03   2.07661E-02   9.17837E-03   1.95735E-02   1.20849E-02   1.72641E-02   1.41005E-02   1.40056E-02   1.51307E-02   1.00156E-02   1.51479E-02   5.54741E-03
