#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp3__3
## Courbe 1
## resp3__2
## Courbe 2
## resp3__1
## Courbe 3
## resp3_0
## Courbe 4
## resp3_1
## Courbe 5
## resp3_2
## Courbe 6
## resp3_3
## Courbe 7
## resp3_4
## Courbe 8
## resp3_5
## Courbe 9
## resp3_6
## Courbe 10
## resp3_7
## Courbe 11
## resp3_8
## Courbe 12
## resp3_9
## Courbe 13
## resp3_10
## Courbe 14
## resp3_11
## Courbe 15
## resp3_12
## Courbe 16
## resp3_13
## Courbe 17
## resp3_14
## Courbe 18
## resp3_15
## Courbe 19
## resp3_16
## Courbe 20
## resp3_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   2.29439E-02   8.98995E-03   2.79494E-02   5.74959E-03   3.10238E-02   5.09901E-05   3.22782E-02  -7.22946E-03   3.18901E-02  -1.52690E-02   3.00935E-02  -2.33163E-02   2.71642E-02  -3.07078E-02   2.34030E-02  -3.68820E-02   1.91159E-02  -4.13903E-02   1.45963E-02  -4.39037E-02   1.01077E-02  -4.42149E-02   5.86983E-03  -4.22365E-02   2.04856E-03  -3.79932E-02  -1.24993E-03  -3.16108E-02  -3.97998E-03  -2.33003E-02  -6.15260E-03  -1.33381E-02  -7.82708E-03  -2.04416E-03  -9.09852E-03   1.02440E-02  -1.00821E-02   2.31981E-02  -1.08946E-02   3.65281E-02  -1.16344E-02   5.00116E-02
 3.56000E+01   2.29697E-02   9.13025E-03   2.79426E-02   5.91831E-03   3.09647E-02   2.37367E-04   3.21517E-02  -7.03439E-03   3.16867E-02  -1.50725E-02   2.98095E-02  -2.31241E-02   2.68028E-02  -3.05244E-02   2.29737E-02  -3.67107E-02   1.86344E-02  -4.12336E-02   1.40836E-02  -4.37634E-02   9.58909E-03  -4.40927E-02   5.37343E-03  -4.21335E-02   1.60378E-03  -3.79107E-02  -1.61388E-03  -3.15498E-02  -4.23563E-03  -2.32617E-02  -6.27552E-03  -1.33230E-02  -7.79693E-03  -2.05322E-03  -8.89972E-03   1.02101E-02  -9.70394E-03   2.31388E-02  -1.03309E-02   3.64432E-02  -1.08826E-02   4.99009E-02
 3.59000E+01   2.30162E-02   9.34236E-03   2.79438E-02   6.17395E-03   3.08912E-02   5.20524E-04   3.19806E-02  -6.73712E-03   3.14029E-02  -1.47721E-02   2.94072E-02  -2.28292E-02   2.62857E-02  -3.02417E-02   2.23551E-02  -3.64454E-02   1.79370E-02  -4.09899E-02   1.33380E-02  -4.35444E-02   8.83228E-03  -4.39010E-02   4.64681E-03  -4.19714E-02   9.50850E-04  -3.77803E-02  -2.14986E-03  -3.14532E-02  -4.61388E-03  -2.32007E-02  -6.45978E-03  -1.32994E-02  -7.75695E-03  -2.06853E-03  -8.61226E-03   1.01547E-02  -9.15306E-03   2.30425E-02  -9.50745E-03   3.63054E-02  -9.78271E-03   4.97214E-02
 3.61000E+01   2.30522E-02   9.48468E-03   2.79521E-02   6.34581E-03   3.08521E-02   7.11306E-04   3.18787E-02  -6.53631E-03   3.12278E-02  -1.45685E-02   2.91544E-02  -2.26287E-02   2.59571E-02  -3.00488E-02   2.19592E-02  -3.62639E-02   1.74881E-02  -4.08223E-02   1.28560E-02  -4.33933E-02   8.34134E-03  -4.37682E-02   4.17399E-03  -4.18588E-02   5.24735E-04  -3.76895E-02  -2.50079E-03  -3.13858E-02  -4.86274E-03  -2.31582E-02  -6.58259E-03  -1.32831E-02  -7.73371E-03  -2.07973E-03  -8.42759E-03   1.01151E-02  -8.79639E-03   2.29738E-02  -8.97270E-03   3.62072E-02  -9.06733E-03   4.95936E-02
 3.64000E+01   2.31138E-02   9.69923E-03   2.79756E-02   6.60529E-03   3.08081E-02   9.99883E-04   3.17436E-02  -6.23192E-03   3.09855E-02  -1.42592E-02   2.87976E-02  -2.23232E-02   2.54879E-02  -2.97541E-02   2.13891E-02  -3.59855E-02   1.68381E-02  -4.05647E-02   1.21550E-02  -4.31600E-02   7.62458E-03  -4.35627E-02   3.48150E-03  -4.16840E-02  -1.01242E-04  -3.75482E-02  -3.01803E-03  -3.12806E-02  -5.23131E-03  -2.30919E-02  -6.76684E-03  -1.32580E-02  -7.70385E-03  -2.09782E-03  -8.16070E-03   1.00522E-02  -8.27670E-03   2.28650E-02  -8.19112E-03   3.60517E-02  -8.02009E-03   4.93912E-02
 3.66000E+01   2.31596E-02   9.84280E-03   2.79984E-02   6.77916E-03   3.07881E-02   1.19354E-03   3.16650E-02  -6.02728E-03   3.08372E-02  -1.40508E-02   2.85742E-02  -2.21169E-02   2.51903E-02  -2.95546E-02   2.10246E-02  -3.57964E-02   1.64199E-02  -4.03892E-02   1.17017E-02  -4.30007E-02   7.15942E-03  -4.34219E-02   3.03060E-03  -4.15638E-02  -5.10091E-04  -3.74508E-02  -3.35700E-03  -3.12082E-02  -5.47404E-03  -2.30462E-02  -6.88974E-03  -1.32408E-02  -7.68721E-03  -2.11061E-03  -7.98932E-03   1.00081E-02  -7.94013E-03   2.27889E-02  -7.68331E-03   3.59430E-02  -7.33854E-03   4.92497E-02
 3.69000E+01   2.32356E-02   1.00587E-02   2.80430E-02   7.04088E-03   3.07720E-02   1.48541E-03   3.15640E-02  -5.71841E-03   3.06342E-02  -1.37357E-02   2.82604E-02  -2.18044E-02   2.47662E-02  -2.92516E-02   2.05002E-02  -3.55087E-02   1.58143E-02  -4.01214E-02   1.10422E-02  -4.27570E-02   6.47995E-03  -4.32058E-02   2.36975E-03  -4.13791E-02  -1.11121E-03  -3.73008E-02  -3.85710E-03  -3.10962E-02  -5.83391E-03  -2.29755E-02  -7.07429E-03  -1.32142E-02  -7.66702E-03  -2.13068E-03  -7.74173E-03   9.93944E-03  -7.44952E-03   2.26701E-02  -6.94067E-03   3.57734E-02  -6.34011E-03   4.90289E-02
 3.72000E+01   2.33198E-02   1.02751E-02   2.81000E-02   7.30330E-03   3.07721E-02   1.77836E-03   3.14826E-02  -5.40797E-03   3.04537E-02  -1.34185E-02   2.79713E-02  -2.14891E-02   2.43680E-02  -2.89453E-02   2.00019E-02  -3.52170E-02   1.52341E-02  -3.98491E-02   1.04064E-02  -4.25084E-02   5.82156E-03  -4.29849E-02   1.72670E-03  -4.11896E-02  -1.69842E-03  -3.71466E-02  -4.34768E-03  -3.09808E-02  -6.18903E-03  -2.29025E-02  -7.25915E-03  -1.31868E-02  -7.65242E-03  -2.15161E-03  -7.50512E-03   9.86798E-03  -6.97537E-03   2.25466E-02  -6.21999E-03   3.55969E-02  -5.36915E-03   4.87989E-02
 3.74000E+01   2.33805E-02   1.04193E-02   2.81445E-02   7.47840E-03   3.07808E-02   1.97397E-03   3.14390E-02  -5.20050E-03   3.03455E-02  -1.32063E-02   2.77917E-02  -2.12778E-02   2.41164E-02  -2.87396E-02   1.96836E-02  -3.50208E-02   1.48608E-02  -3.96657E-02   9.99508E-03  -4.23405E-02   5.39385E-03  -4.28354E-02   1.30746E-03  -4.10611E-02  -2.08252E-03  -3.70417E-02  -4.66970E-03  -3.09022E-02  -6.42332E-03  -2.28526E-02  -7.38262E-03  -1.31680E-02  -7.64572E-03  -2.16592E-03  -7.35326E-03   9.81905E-03  -6.66804E-03   2.24619E-02  -5.75122E-03   3.54758E-02  -4.73644E-03   4.86412E-02
 3.77000E+01   2.34781E-02   1.06356E-02   2.82211E-02   7.74098E-03   3.08067E-02   2.26742E-03   3.13890E-02  -4.88904E-03   3.02009E-02  -1.28874E-02   2.75418E-02  -2.09600E-02   2.37590E-02  -2.84298E-02   1.92265E-02  -3.47247E-02   1.43203E-02  -3.93882E-02   9.39629E-03  -4.20861E-02   4.76844E-03  -4.26082E-02   6.92178E-04  -4.08654E-02  -2.64813E-03  -3.68817E-02  -5.14562E-03  -3.07821E-02  -6.77129E-03  -2.27763E-02  -7.56825E-03  -1.31392E-02  -7.64008E-03  -2.18777E-03  -7.13399E-03   9.74402E-03  -6.21968E-03   2.23319E-02  -5.06483E-03   3.52898E-02  -3.80831E-03   4.83987E-02
