#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp3__3
## Courbe 1
## resp3__2
## Courbe 2
## resp3__1
## Courbe 3
## resp3_0
## Courbe 4
## resp3_1
## Courbe 5
## resp3_2
## Courbe 6
## resp3_3
## Courbe 7
## resp3_4
## Courbe 8
## resp3_5
## Courbe 9
## resp3_6
## Courbe 10
## resp3_7
## Courbe 11
## resp3_8
## Courbe 12
## resp3_9
## Courbe 13
## resp3_10
## Courbe 14
## resp3_11
## Courbe 15
## resp3_12
## Courbe 16
## resp3_13
## Courbe 17
## resp3_14
## Courbe 18
## resp3_15
## Courbe 19
## resp3_16
## Courbe 20
## resp3_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   2.32357E-02   9.07112E-03   2.82668E-02   5.77611E-03   3.13442E-02   7.00233E-06   3.25822E-02  -7.35219E-03   3.21618E-02  -1.54718E-02   3.03207E-02  -2.35941E-02   2.73393E-02  -3.10506E-02   2.35223E-02  -3.72753E-02   1.91800E-02  -4.18165E-02   1.46093E-02  -4.43429E-02   1.00766E-02  -4.46465E-02   5.80407E-03  -4.26393E-02   1.95885E-03  -3.83472E-02  -1.35225E-03  -3.18974E-02  -4.08379E-03  -2.35030E-02  -6.24774E-03  -1.34433E-02  -7.90495E-03  -2.04099E-03  -9.15247E-03   1.03634E-02  -1.01076E-02   2.34388E-02  -1.08891E-02   3.68926E-02  -1.15970E-02   5.05004E-02
 3.56000E+01   2.32624E-02   9.21353E-03   2.82606E-02   5.94728E-03   3.12855E-02   1.96085E-04   3.24557E-02  -7.15423E-03   3.19576E-02  -1.52723E-02   3.00355E-02  -2.33989E-02   2.69760E-02  -3.08641E-02   2.30906E-02  -3.71010E-02   1.86956E-02  -4.16569E-02   1.40933E-02  -4.42000E-02   9.55456E-03  -4.45218E-02   5.30423E-03  -4.25343E-02   1.51092E-03  -3.82629E-02  -1.71882E-03  -3.18351E-02  -4.34131E-03  -2.34637E-02  -6.37160E-03  -1.34279E-02  -7.87465E-03  -2.05040E-03  -8.95228E-03   1.03285E-02  -9.72671E-03   2.33779E-02  -1.03214E-02   3.68053E-02  -1.08398E-02   5.03867E-02
 3.59000E+01   2.33103E-02   9.42878E-03   2.82630E-02   6.20656E-03   3.12127E-02   4.83246E-04   3.22846E-02  -6.85270E-03   3.16731E-02  -1.49674E-02   2.96315E-02  -2.30995E-02   2.64562E-02  -3.05769E-02   2.24684E-02  -3.68314E-02   1.79938E-02  -4.14090E-02   1.33428E-02  -4.39771E-02   8.79264E-03  -4.43265E-02   4.57256E-03  -4.23691E-02   8.53342E-04  -3.81301E-02  -2.25870E-03  -3.17366E-02  -4.72239E-03  -2.34016E-02  -6.55731E-03  -1.34040E-02  -7.83449E-03  -2.06623E-03  -8.66283E-03   1.02717E-02  -9.17191E-03   2.32791E-02  -9.49196E-03   3.66641E-02  -9.73199E-03   5.02028E-02
 3.61000E+01   2.33473E-02   9.57318E-03   2.82722E-02   6.38082E-03   3.11742E-02   6.76658E-04   3.21828E-02  -6.64911E-03   3.14976E-02  -1.47610E-02   2.93776E-02  -2.28961E-02   2.61260E-02  -3.03812E-02   2.20702E-02  -3.66470E-02   1.75422E-02  -4.12388E-02   1.28577E-02  -4.38234E-02   8.29837E-03  -4.41915E-02   4.09644E-03  -4.22545E-02   4.24173E-04  -3.80376E-02  -2.61220E-03  -3.16679E-02  -4.97312E-03  -2.33583E-02  -6.68110E-03  -1.33875E-02  -7.81117E-03  -2.07778E-03  -8.47690E-03   1.02311E-02  -8.81272E-03   2.32089E-02  -8.95337E-03   3.65638E-02  -9.01145E-03   5.00722E-02
 3.64000E+01   2.34104E-02   9.79081E-03   2.82971E-02   6.64384E-03   3.11312E-02   9.69120E-04   3.20481E-02  -6.34060E-03   3.12549E-02  -1.44474E-02   2.90195E-02  -2.25863E-02   2.56544E-02  -3.00822E-02   2.14970E-02  -3.63644E-02   1.68882E-02  -4.09771E-02   1.21521E-02  -4.35865E-02   7.57674E-03  -4.39825E-02   3.39908E-03  -4.20766E-02  -2.06328E-04  -3.78938E-02  -3.13328E-03  -3.15610E-02  -5.34451E-03  -2.32909E-02  -6.86685E-03  -1.33621E-02  -7.78125E-03  -2.09636E-03  -8.20820E-03   1.01668E-02  -8.28934E-03   2.30977E-02  -8.16616E-03   3.64050E-02  -7.95662E-03   4.98655E-02
 3.66000E+01   2.34574E-02   9.93642E-03   2.83209E-02   6.82004E-03   3.11121E-02   1.16533E-03   3.19699E-02  -6.13328E-03   3.11065E-02  -1.42362E-02   2.87954E-02  -2.23772E-02   2.53555E-02  -2.98799E-02   2.11304E-02  -3.61727E-02   1.64674E-02  -4.07990E-02   1.16959E-02  -4.34247E-02   7.10841E-03  -4.38395E-02   2.94500E-03  -4.19546E-02  -6.18156E-04  -3.77949E-02  -3.47479E-03  -3.14873E-02  -5.58911E-03  -2.32444E-02  -6.99077E-03  -1.33446E-02  -7.76460E-03  -2.10947E-03  -8.03566E-03   1.01219E-02  -7.95038E-03   2.30201E-02  -7.65469E-03   3.62941E-02  -7.27011E-03   4.97212E-02
 3.69000E+01   2.35352E-02   1.01554E-02   2.83673E-02   7.08523E-03   3.10973E-02   1.46096E-03   3.18697E-02  -5.82045E-03   3.09034E-02  -1.39171E-02   2.84806E-02  -2.20606E-02   2.49295E-02  -2.95729E-02   2.06032E-02  -3.58810E-02   1.58582E-02  -4.05274E-02   1.10321E-02  -4.31774E-02   6.42428E-03  -4.36203E-02   2.27943E-03  -4.17670E-02  -1.22370E-03  -3.76425E-02  -3.97868E-03  -3.13736E-02  -5.95181E-03  -2.31726E-02  -7.17688E-03  -1.33177E-02  -7.74447E-03  -2.13001E-03  -7.78642E-03   1.00519E-02  -7.45629E-03   2.28991E-02  -6.90666E-03   3.61214E-02  -6.26438E-03   4.94963E-02
 3.72000E+01   2.36213E-02   1.03747E-02   2.84261E-02   7.35104E-03   3.10989E-02   1.75759E-03   3.17893E-02  -5.50614E-03   3.07231E-02  -1.35959E-02   2.81907E-02  -2.17413E-02   2.45295E-02  -2.92626E-02   2.01022E-02  -3.55854E-02   1.52744E-02  -4.02515E-02   1.03921E-02  -4.29254E-02   5.76133E-03  -4.33962E-02   1.63175E-03  -4.15748E-02  -1.81528E-03  -3.74860E-02  -4.47303E-03  -3.12565E-02  -6.30977E-03  -2.30985E-02  -7.36334E-03  -1.32899E-02  -7.72998E-03  -2.15138E-03  -7.54824E-03   9.97910E-03  -6.97875E-03   2.27734E-02  -6.18072E-03   3.59418E-02  -5.28628E-03   4.92624E-02
 3.74000E+01   2.36833E-02   1.05209E-02   2.84720E-02   7.52837E-03   3.11088E-02   1.95561E-03   3.17464E-02  -5.29614E-03   3.06151E-02  -1.33811E-02   2.80108E-02  -2.15274E-02   2.42768E-02  -2.90544E-02   1.97822E-02  -3.53867E-02   1.48988E-02  -4.00656E-02   9.97809E-03  -4.27552E-02   5.33064E-03  -4.32445E-02   1.20946E-03  -4.14444E-02  -2.20227E-03  -3.73796E-02  -4.79756E-03  -3.11767E-02  -6.54595E-03  -2.30479E-02  -7.48790E-03  -1.32709E-02  -7.72337E-03  -2.16597E-03  -7.39538E-03   9.92932E-03  -6.66923E-03   2.26873E-02  -5.70851E-03   3.58187E-02  -4.64888E-03   4.91020E-02
 3.77000E+01   2.37830E-02   1.07401E-02   2.85507E-02   7.79425E-03   3.11365E-02   2.25262E-03   3.16976E-02  -4.98098E-03   3.04710E-02  -1.30584E-02   2.77604E-02  -2.12058E-02   2.39181E-02  -2.87408E-02   1.93227E-02  -3.50869E-02   1.43551E-02  -3.97846E-02   9.37533E-03  -4.24975E-02   4.70084E-03  -4.30144E-02   5.89653E-04  -4.12461E-02  -2.77220E-03  -3.72174E-02  -5.27722E-03  -3.10549E-02  -6.89678E-03  -2.29706E-02  -7.67518E-03  -1.32418E-02  -7.71794E-03  -2.18823E-03  -7.17467E-03   9.85306E-03  -6.21765E-03   2.25552E-02  -5.01707E-03   3.56297E-02  -3.71382E-03   4.88557E-02
 3.80000E+01   2.38905E-02   1.09590E-02   2.86408E-02   8.05964E-03   3.11792E-02   2.54915E-03   3.16671E-02  -4.66616E-03   3.03477E-02  -1.27358E-02   2.75325E-02  -2.08839E-02   2.35829E-02  -2.84264E-02   1.88867E-02  -3.47858E-02   1.38342E-02  -3.95017E-02   8.79363E-03  -4.22374E-02   4.08967E-03  -4.27816E-02  -1.45552E-05  -4.10449E-02  -3.33008E-03  -3.70524E-02  -5.74880E-03  -3.09307E-02  -7.24377E-03  -2.28915E-02  -7.86311E-03  -1.32117E-02  -7.71774E-03  -2.21075E-03  -6.96386E-03   9.77524E-03  -5.78070E-03   2.24201E-02  -4.34497E-03   3.54362E-02  -2.80284E-03   4.86033E-02
 3.83000E+01   2.40056E-02   1.11771E-02   2.87420E-02   8.32419E-03   3.12364E-02   2.84473E-03   3.16543E-02  -4.35226E-03   3.02445E-02  -1.24139E-02   2.73265E-02  -2.05624E-02   2.32703E-02  -2.81121E-02   1.84733E-02  -3.44842E-02   1.33349E-02  -3.92178E-02   8.23202E-03  -4.19758E-02   3.49624E-03  -4.25467E-02  -6.03977E-04  -4.08416E-02  -3.87660E-03  -3.68853E-02  -6.21281E-03  -3.08044E-02  -7.58727E-03  -2.28107E-02  -8.05176E-03  -1.31808E-02  -7.72263E-03  -2.23334E-03  -6.76254E-03   9.69621E-03  -5.35767E-03   2.22826E-02  -3.69126E-03   3.52389E-02  -1.91470E-03   4.83457E-02
 3.85000E+01   2.40865E-02   1.13221E-02   2.88156E-02   8.49994E-03   3.12825E-02   3.04105E-03   3.16552E-02  -4.14378E-03   3.01866E-02  -1.22001E-02   2.72009E-02  -2.03487E-02   2.30741E-02  -2.79028E-02   1.82098E-02  -3.42832E-02   1.30138E-02  -3.90282E-02   7.86832E-03  -4.18008E-02   3.11005E-03  -4.23894E-02  -9.89100E-04  -4.07050E-02  -4.23497E-03  -3.67727E-02  -6.51820E-03  -3.07192E-02  -7.81447E-03  -2.27561E-02  -8.17798E-03  -1.31597E-02  -7.72863E-03  -2.24836E-03  -6.63340E-03   9.64302E-03  -5.08306E-03   2.21898E-02  -3.26519E-03   3.51056E-02  -1.33468E-03   4.81716E-02
 3.88000E+01   2.42139E-02   1.15388E-02   2.89347E-02   8.76238E-03   3.13631E-02   3.33411E-03   3.16705E-02  -3.83258E-03   3.01153E-02  -1.18808E-02   2.70294E-02  -2.00294E-02   2.27974E-02  -2.75900E-02   1.78322E-02  -3.39823E-02   1.25487E-02  -3.87440E-02   7.33817E-03  -4.15379E-02   2.54425E-03  -4.21525E-02  -1.55561E-03  -4.04989E-02  -4.76403E-03  -3.66025E-02  -6.97072E-03  -3.05901E-02  -8.15281E-03  -2.26730E-02  -8.36807E-03  -1.31273E-02  -7.74167E-03  -2.27070E-03  -6.44702E-03   9.56269E-03  -4.68178E-03   2.20491E-02  -2.64003E-03   3.49033E-02  -4.81895E-04   4.79071E-02
