#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   9.85340E-04   9.76385E-04   1.26054E-03   1.18051E-03   1.48358E-03   1.30383E-03   1.65358E-03   1.35210E-03   1.77030E-03   1.33112E-03   1.83411E-03   1.24670E-03   1.84610E-03   1.10461E-03   1.80800E-03   9.10599E-04   1.72223E-03   6.70290E-04   1.59178E-03   3.89197E-04   1.42020E-03   7.26579E-05   1.21151E-03  -2.74200E-04   9.70039E-04  -6.46506E-04   7.00395E-04  -1.03969E-03   4.07273E-04  -1.44952E-03   9.53380E-05  -1.87216E-03  -2.30926E-04  -2.30418E-03  -5.67373E-04  -2.74264E-03  -9.10359E-04  -3.18510E-03  -1.25690E-03  -3.62967E-03  -1.60485E-03  -4.07506E-03
 3.56000E+01   9.92496E-04   9.82875E-04   1.27003E-03   1.18877E-03   1.49510E-03   1.31354E-03   1.66679E-03   1.36296E-03   1.78477E-03   1.34287E-03   1.84939E-03   1.25910E-03   1.86169E-03   1.11745E-03   1.82339E-03   9.23690E-04   1.73689E-03   6.83472E-04   1.60522E-03   4.02332E-04   1.43193E-03   8.56334E-05   1.22106E-03  -2.61478E-04   9.77015E-04  -6.34113E-04   7.04422E-04  -1.02768E-03   4.08040E-04  -1.43795E-03   9.25913E-05  -1.86105E-03  -2.37384E-04  -2.29355E-03  -5.77685E-04  -2.73251E-03  -9.24618E-04  -3.17548E-03  -1.27516E-03  -3.62056E-03  -1.62713E-03  -4.06646E-03
 3.59000E+01   1.00331E-03   9.92578E-04   1.28437E-03   1.20111E-03   1.51255E-03   1.32802E-03   1.68680E-03   1.37916E-03   1.80671E-03   1.36038E-03   1.87257E-03   1.27756E-03   1.88535E-03   1.13654E-03   1.84677E-03   9.43134E-04   1.75921E-03   7.03030E-04   1.62570E-03   4.21802E-04   1.44983E-03   1.04846E-04   1.23569E-03  -2.42661E-04   9.87742E-04  -6.15802E-04   7.10695E-04  -1.00996E-03   4.09384E-04  -1.42088E-03   8.86194E-05  -1.84468E-03  -2.46972E-04  -2.27792E-03  -5.93107E-04  -2.71764E-03  -9.46013E-04  -3.16137E-03  -1.30261E-03  -3.60722E-03  -1.66066E-03  -4.05389E-03
 3.61000E+01   1.01056E-03   9.99024E-04   1.29401E-03   1.20930E-03   1.52428E-03   1.33763E-03   1.70026E-03   1.38989E-03   1.82149E-03   1.37197E-03   1.88819E-03   1.28976E-03   1.90132E-03   1.14916E-03   1.86256E-03   9.55968E-04   1.77430E-03   7.15927E-04   1.63956E-03   4.34627E-04   1.46197E-03   1.17488E-04   1.24564E-03  -2.30293E-04   9.95070E-04  -6.03779E-04   7.15030E-04  -9.98341E-04   4.10407E-04  -1.40970E-03   8.60671E-05  -1.83397E-03  -2.53302E-04  -2.26771E-03  -6.03361E-04  -2.70792E-03  -9.60288E-04  -3.15217E-03  -1.32095E-03  -3.59854E-03  -1.68310E-03  -4.04572E-03
 3.64000E+01   1.02152E-03   1.00866E-03   1.30857E-03   1.22153E-03   1.54203E-03   1.35197E-03   1.72065E-03   1.40589E-03   1.84389E-03   1.38923E-03   1.91190E-03   1.30793E-03   1.92557E-03   1.16790E-03   1.88656E-03   9.75025E-04   1.79724E-03   7.35057E-04   1.66066E-03   4.53632E-04   1.48048E-03   1.36203E-04   1.26084E-03  -2.12001E-04   1.00632E-03  -5.86016E-04   7.21759E-04  -9.81187E-04   4.12125E-04  -1.39322E-03   8.23766E-05  -1.81820E-03  -2.62711E-04  -2.25267E-03  -6.18711E-04  -2.69365E-03  -9.81724E-04  -3.13866E-03  -1.34856E-03  -3.58581E-03  -1.71690E-03  -4.03377E-03
 3.66000E+01   1.02888E-03   1.01506E-03   1.31836E-03   1.22964E-03   1.55396E-03   1.36147E-03   1.73438E-03   1.41649E-03   1.85898E-03   1.40065E-03   1.92787E-03   1.31993E-03   1.94193E-03   1.18029E-03   1.90276E-03   9.87600E-04   1.81275E-03   7.47668E-04   1.67495E-03   4.66148E-04   1.49302E-03   1.48515E-04   1.27117E-03  -1.99980E-04   1.01400E-03  -5.74353E-04   7.26394E-04  -9.69936E-04   4.13392E-04  -1.38241E-03   8.00055E-05  -1.80788E-03  -2.68929E-04  -2.24284E-03  -6.28927E-04  -2.68433E-03  -9.96037E-04  -3.12985E-03  -1.36702E-03  -3.57751E-03  -1.73954E-03  -4.02599E-03
 3.69000E+01   1.03999E-03   1.02462E-03   1.33316E-03   1.24176E-03   1.57202E-03   1.37566E-03   1.75516E-03   1.43229E-03   1.88185E-03   1.41766E-03   1.95211E-03   1.33780E-03   1.96675E-03   1.19869E-03   1.92737E-03   1.00627E-03   1.83633E-03   7.66370E-04   1.69669E-03   4.84689E-04   1.51214E-03   1.66737E-04   1.28695E-03  -1.82205E-04   1.02577E-03  -5.57125E-04   7.33569E-04  -9.53331E-04   4.15470E-04  -1.36649E-03   7.65778E-05  -1.79266E-03  -2.78181E-04  -2.22837E-03  -6.44233E-04  -2.67061E-03  -1.01755E-03  -3.11691E-03  -1.39482E-03  -3.56533E-03  -1.77365E-03  -4.01458E-03
 3.72000E+01   1.05119E-03   1.03414E-03   1.34809E-03   1.25381E-03   1.59027E-03   1.38975E-03   1.77618E-03   1.44796E-03   1.90500E-03   1.43452E-03   1.97666E-03   1.35548E-03   1.99193E-03   1.21688E-03   1.95236E-03   1.02470E-03   1.86029E-03   7.84814E-04   1.71881E-03   5.02953E-04   1.53163E-03   1.84664E-04   1.30307E-03  -1.64737E-04   1.03784E-03  -5.40214E-04   7.41007E-04  -9.37048E-04   4.17759E-04  -1.35089E-03   7.32996E-05  -1.77778E-03  -2.87349E-04  -2.21423E-03  -6.59526E-04  -2.65722E-03  -1.03912E-03  -3.10428E-03  -1.42275E-03  -3.55347E-03  -1.80798E-03  -4.00348E-03
 3.74000E+01   1.05871E-03   1.04047E-03   1.35813E-03   1.26181E-03   1.60254E-03   1.39908E-03   1.79033E-03   1.45834E-03   1.92059E-03   1.44567E-03   1.99321E-03   1.36717E-03   2.00891E-03   1.22889E-03   1.96922E-03   1.03686E-03   1.87648E-03   7.96965E-04   1.73377E-03   5.14974E-04   1.54483E-03   1.96453E-04   1.31401E-03  -1.53262E-04   1.04607E-03  -5.29114E-04   7.46110E-04  -9.26369E-04   4.19399E-04  -1.34066E-03   7.11942E-05  -1.76803E-03  -2.93419E-04  -2.20497E-03  -6.69719E-04  -2.64847E-03  -1.05353E-03  -3.09602E-03  -1.44145E-03  -3.54572E-03  -1.83098E-03  -3.99624E-03
 3.77000E+01   1.07006E-03   1.04991E-03   1.37330E-03   1.27375E-03   1.62111E-03   1.41301E-03   1.81175E-03   1.47381E-03   1.94421E-03   1.46227E-03   2.01831E-03   1.38454E-03   2.03468E-03   1.24673E-03   1.99483E-03   1.05489E-03   1.90108E-03   8.14975E-04   1.75652E-03   5.32772E-04   1.56494E-03   2.13890E-04   1.33070E-03  -1.36303E-04   1.05865E-03  -5.12722E-04   7.53980E-04  -9.10611E-04   4.22027E-04  -1.32558E-03   6.81524E-05  -1.75367E-03  -3.02465E-04  -2.19134E-03  -6.85009E-04  -2.63558E-03  -1.07523E-03  -3.08388E-03  -1.46963E-03  -3.53433E-03  -1.86569E-03  -3.98560E-03
