#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp3__3
## Courbe 1
## resp3__2
## Courbe 2
## resp3__1
## Courbe 3
## resp3_0
## Courbe 4
## resp3_1
## Courbe 5
## resp3_2
## Courbe 6
## resp3_3
## Courbe 7
## resp3_4
## Courbe 8
## resp3_5
## Courbe 9
## resp3_6
## Courbe 10
## resp3_7
## Courbe 11
## resp3_8
## Courbe 12
## resp3_9
## Courbe 13
## resp3_10
## Courbe 14
## resp3_11
## Courbe 15
## resp3_12
## Courbe 16
## resp3_13
## Courbe 17
## resp3_14
## Courbe 18
## resp3_15
## Courbe 19
## resp3_16
## Courbe 20
## resp3_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   1.35151E-04   7.95090E-05   1.78593E-04   7.86745E-05   2.18586E-04   6.22536E-05   2.55259E-04   3.14088E-05   2.88757E-04  -1.27046E-05   3.19244E-04  -6.89416E-05   3.46898E-04  -1.36172E-04   3.71915E-04  -2.13285E-04   3.94503E-04  -2.99195E-04   4.14884E-04  -3.92847E-04   4.33288E-04  -4.93224E-04   4.49952E-04  -5.99351E-04   4.65113E-04  -7.10304E-04   4.79010E-04  -8.25218E-04   4.91872E-04  -9.43292E-04   5.03919E-04  -1.06380E-03   5.15355E-04  -1.18609E-03   5.26363E-04  -1.30960E-03   5.37099E-04  -1.43388E-03   5.47690E-04  -1.55856E-03   5.58223E-04  -1.68339E-03
 3.56000E+01   1.35205E-04   8.05619E-05   1.78446E-04   8.00972E-05   2.18120E-04   6.40364E-05   2.54363E-04   3.35421E-05   2.87328E-04  -1.02296E-05   3.17184E-04  -6.61335E-05   3.44117E-04  -1.33039E-04   3.68331E-04  -2.09834E-04   3.90042E-04  -2.95434E-04   4.09479E-04  -3.88782E-04   4.26880E-04  -4.88860E-04   4.42489E-04  -5.94693E-04   4.56553E-04  -7.05356E-04   4.69315E-04  -8.19984E-04   4.81013E-04  -9.37775E-04   4.91873E-04  -1.05800E-03   5.02105E-04  -1.18001E-03   5.11897E-04  -1.30325E-03   5.21409E-04  -1.42725E-03   5.30772E-04  -1.55165E-03   5.40076E-04  -1.67621E-03
 3.59000E+01   1.35320E-04   8.21468E-05   1.78281E-04   8.22403E-05   2.17502E-04   6.67238E-05   2.53129E-04   3.67604E-05   2.85326E-04  -6.49340E-06   3.14271E-04  -6.18916E-05   3.40163E-04  -1.28303E-04   3.63214E-04  -2.04615E-04   3.83653E-04  -2.89741E-04   4.01719E-04  -3.82625E-04   4.17663E-04  -4.82247E-04   4.31739E-04  -5.87631E-04   4.44205E-04  -6.97852E-04   4.55316E-04  -8.12042E-04   4.65319E-04  -9.29400E-04   4.74450E-04  -1.04919E-03   4.82927E-04  -1.17078E-03   4.90947E-04  -1.29359E-03   4.98677E-04  -1.41716E-03   5.06251E-04  -1.54114E-03   5.13764E-04  -1.66527E-03
 3.61000E+01   1.35419E-04   8.32065E-05   1.78206E-04   8.36740E-05   2.17141E-04   6.85227E-05   2.52378E-04   3.89159E-05   2.84083E-04  -3.98971E-06   3.12445E-04  -5.90476E-05   3.37667E-04  -1.25126E-04   3.59969E-04  -2.01112E-04   3.79588E-04  -2.85919E-04   3.96770E-04  -3.78489E-04   4.11772E-04  -4.77803E-04   4.24857E-04  -5.82883E-04   4.36290E-04  -6.92804E-04   4.46333E-04  -8.06698E-04   4.55238E-04  -9.23762E-04   4.63250E-04  -1.04327E-03   4.70592E-04  -1.16456E-03   4.77464E-04  -1.28708E-03   4.84038E-04  -1.41037E-03   4.90454E-04  -1.53406E-03   4.96806E-04  -1.65790E-03
 3.64000E+01   1.35599E-04   8.47996E-05   1.78145E-04   8.58304E-05   2.16676E-04   7.12294E-05   2.51352E-04   4.21604E-05   2.82351E-04  -2.19449E-07   3.09871E-04  -5.47631E-05   3.34124E-04  -1.20338E-04   3.55342E-04  -1.95831E-04   3.73771E-04  -2.80154E-04   3.89668E-04  -3.72249E-04   4.03302E-04  -4.71096E-04   4.14946E-04  -5.75715E-04   4.24875E-04  -6.85182E-04   4.33361E-04  -7.98626E-04   4.40669E-04  -9.15244E-04   4.47049E-04  -1.03431E-03   4.52735E-04  -1.15516E-03   4.57934E-04  -1.27724E-03   4.62825E-04  -1.40009E-03   4.67550E-04  -1.52334E-03   4.72211E-04  -1.64675E-03
 3.66000E+01   1.35739E-04   8.58635E-05   1.78137E-04   8.72708E-05   2.16413E-04   7.30380E-05   2.50733E-04   4.43291E-05   2.81282E-04   2.30149E-06   3.08262E-04  -5.18975E-05   3.31893E-04  -1.17135E-04   3.52412E-04  -1.92297E-04   3.70074E-04  -2.76296E-04   3.85142E-04  -3.68072E-04   3.97891E-04  -4.66604E-04   4.08603E-04  -5.70914E-04   4.17559E-04  -6.80075E-04   4.25037E-04  -7.93217E-04   4.31310E-04  -9.09535E-04   4.36633E-04  -1.02830E-03   4.41246E-04  -1.14886E-03   4.45360E-04  -1.27064E-03   4.49160E-04  -1.39320E-03   4.52790E-04  -1.51616E-03   4.56354E-04  -1.63927E-03
 3.69000E+01   1.35979E-04   8.74611E-05   1.78174E-04   8.94344E-05   2.16089E-04   7.57552E-05   2.49901E-04   4.75879E-05   2.79801E-04   6.09028E-06   3.06002E-04  -4.75899E-05   3.28732E-04  -1.12319E-04   3.48240E-04  -1.86983E-04   3.64788E-04  -2.70492E-04   3.78651E-04  -3.61787E-04   3.90114E-04  -4.59846E-04   3.99469E-04  -5.63690E-04   4.07007E-04  -6.72390E-04   4.13018E-04  -7.85076E-04   4.17781E-04  -9.00942E-04   4.21564E-04  -1.01926E-03   4.24611E-04  -1.13937E-03   4.27144E-04  -1.26071E-03   4.29351E-04  -1.38282E-03   4.31384E-04  -1.50534E-03   4.33347E-04  -1.62801E-03
 3.72000E+01   1.36254E-04   8.90599E-05   1.78265E-04   9.15999E-05   2.15845E-04   7.84752E-05   2.49177E-04   5.08505E-05   2.78462E-04   9.88393E-06   3.03919E-04  -4.32762E-05   3.25788E-04  -1.07496E-04   3.44324E-04  -1.81660E-04   3.59801E-04  -2.64679E-04   3.72504E-04  -3.55492E-04   3.82727E-04  -4.53076E-04   3.90773E-04  -5.56451E-04   3.96942E-04  -6.64689E-04   4.01535E-04  -7.76917E-04   4.04840E-04  -8.92330E-04   4.07131E-04  -1.01019E-03   4.08665E-04  -1.12986E-03   4.09667E-04  -1.25075E-03   4.10334E-04  -1.37242E-03   4.10820E-04  -1.49449E-03   4.11235E-04  -1.61672E-03
 3.74000E+01   1.36454E-04   9.01259E-05   1.78355E-04   9.30438E-05   2.15726E-04   8.02890E-05   2.48754E-04   5.30261E-05   2.77645E-04   1.24137E-05   3.02626E-04  -4.03996E-05   3.23940E-04  -1.04279E-04   3.41851E-04  -1.78111E-04   3.56637E-04  -2.60802E-04   3.68590E-04  -3.51293E-04   3.78011E-04  -4.48561E-04   3.85209E-04  -5.51624E-04   3.90492E-04  -6.59553E-04   3.94165E-04  -7.71476E-04   3.96524E-04  -8.86587E-04   3.97849E-04  -1.00415E-03   3.98400E-04  -1.12351E-03   3.98410E-04  -1.24411E-03   3.98076E-04  -1.36548E-03   3.97559E-04  -1.48726E-03   3.96969E-04  -1.60919E-03
 3.77000E+01   1.36782E-04   9.17247E-05   1.78533E-04   9.52092E-05   2.15608E-04   8.30087E-05   2.48202E-04   5.62883E-05   2.76528E-04   1.62067E-05   3.00821E-04  -3.60869E-05   3.21334E-04  -9.94576E-05   3.38337E-04  -1.72789E-04   3.52120E-04  -2.54991E-04   3.62982E-04  -3.45000E-04   3.71237E-04  -4.41794E-04   3.77200E-04  -5.44390E-04   3.81190E-04  -6.51857E-04   3.83522E-04  -7.63324E-04   3.84501E-04  -8.77981E-04   3.84414E-04  -9.95095E-04   3.83531E-04  -1.11401E-03   3.82090E-04  -1.23416E-03   3.80296E-04  -1.35509E-03   3.78312E-04  -1.47642E-03   3.76254E-04  -1.59791E-03
