#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.54000E+01   9.80078E-04   9.76011E-04   9.90519E-04   9.67123E-04   9.77341E-04   9.36486E-04   9.42550E-04   8.87203E-04   8.88524E-04   8.22407E-04   8.17999E-04   7.45264E-04   7.34043E-04   6.58962E-04   6.40031E-04   5.66708E-04   5.39610E-04   4.71725E-04   4.36663E-04   3.77249E-04   3.35273E-04   2.86525E-04   2.39680E-04   2.02803E-04   1.54250E-04   1.29336E-04
 3.56000E+01   9.88453E-04   9.81413E-04   9.99204E-04   9.72457E-04   9.86114E-04   9.41633E-04   9.51193E-04   8.92060E-04   8.96831E-04   8.26893E-04   8.25782E-04   7.49314E-04   7.41140E-04   6.62529E-04   6.46309E-04   5.69763E-04   5.44972E-04   4.74259E-04   4.41054E-04   3.79269E-04   3.38680E-04   2.88054E-04   2.42139E-04   2.03881E-04   1.55846E-04   1.30022E-04
 3.59000E+01   1.00112E-03   9.89493E-04   1.01235E-03   9.80434E-04   9.99395E-04   9.49326E-04   9.64282E-04   8.99319E-04   9.09415E-04   8.33594E-04   8.37577E-04   7.55360E-04   7.51897E-04   6.67853E-04   6.55827E-04   5.74323E-04   5.53104E-04   4.78039E-04   4.47713E-04   3.82280E-04   3.43848E-04   2.90333E-04   2.45869E-04   2.05488E-04   1.58268E-04   1.31044E-04
 3.61000E+01   1.00964E-03   9.94864E-04   1.02119E-03   9.85733E-04   1.00833E-03   9.54436E-04   9.73093E-04   9.04138E-04   9.17889E-04   8.38041E-04   8.45521E-04   7.59372E-04   7.59144E-04   6.71384E-04   6.62240E-04   5.77346E-04   5.58584E-04   4.80545E-04   4.52202E-04   3.84276E-04   3.47332E-04   2.91842E-04   2.48385E-04   2.06553E-04   1.59901E-04   1.31720E-04
 3.64000E+01   1.02253E-03   1.00290E-03   1.03457E-03   9.93655E-04   1.02186E-03   9.62071E-04   9.86438E-04   9.11337E-04   9.30727E-04   8.44681E-04   8.57560E-04   7.65359E-04   7.70129E-04   6.76652E-04   6.71964E-04   5.81855E-04   5.66895E-04   4.84280E-04   4.59010E-04   3.87249E-04   3.52618E-04   2.94091E-04   2.52201E-04   2.08138E-04   1.62379E-04   1.32727E-04
 3.66000E+01   1.03119E-03   1.00823E-03   1.04357E-03   9.98918E-04   1.03097E-03   9.67140E-04   9.95420E-04   9.16114E-04   9.39371E-04   8.49086E-04   8.65668E-04   7.69330E-04   7.77529E-04   6.80144E-04   6.78516E-04   5.84843E-04   5.72496E-04   4.86755E-04   4.63599E-04   3.89218E-04   3.56181E-04   2.95579E-04   2.54774E-04   2.09187E-04   1.64050E-04   1.33393E-04
 3.69000E+01   1.04430E-03   1.01621E-03   1.05719E-03   1.00678E-03   1.04476E-03   9.74712E-04   1.00903E-03   9.23247E-04   9.52469E-04   8.55660E-04   8.77956E-04   7.75253E-04   7.88747E-04   6.85351E-04   6.88451E-04   5.89296E-04   5.80990E-04   4.90441E-04   4.70561E-04   3.92151E-04   3.61587E-04   2.97796E-04   2.58678E-04   2.10748E-04   1.66586E-04   1.34384E-04
 3.72000E+01   1.05755E-03   1.02415E-03   1.07097E-03   1.01461E-03   1.05870E-03   9.82243E-04   1.02279E-03   9.30337E-04   9.65725E-04   8.62191E-04   8.90398E-04   7.81135E-04   8.00108E-04   6.90520E-04   6.98514E-04   5.93713E-04   5.89596E-04   4.94097E-04   4.77615E-04   3.95058E-04   3.67066E-04   2.99991E-04   2.62636E-04   2.12294E-04   1.69156E-04   1.35365E-04
 3.74000E+01   1.06646E-03   1.02943E-03   1.08023E-03   1.01980E-03   1.06808E-03   9.87240E-04   1.03206E-03   9.35040E-04   9.74652E-04   8.66521E-04   8.98778E-04   7.85032E-04   8.07763E-04   6.93942E-04   7.05296E-04   5.96638E-04   5.95397E-04   4.96515E-04   4.82371E-04   3.96980E-04   3.70761E-04   3.01443E-04   2.65305E-04   2.13316E-04   1.70890E-04   1.36014E-04
 3.77000E+01   1.07994E-03   1.03731E-03   1.09426E-03   1.02756E-03   1.08229E-03   9.94698E-04   1.04610E-03   9.42055E-04   9.88177E-04   8.72977E-04   9.11479E-04   7.90840E-04   8.19366E-04   6.99041E-04   7.15579E-04   6.00992E-04   6.04194E-04   5.00115E-04   4.89584E-04   3.99840E-04   3.76365E-04   3.03601E-04   2.69354E-04   2.14834E-04   1.73521E-04   1.36977E-04
 3.80000E+01   1.09355E-03   1.04515E-03   1.10843E-03   1.03527E-03   1.09667E-03   1.00211E-03   1.06030E-03   9.49022E-04   1.00187E-03   8.79385E-04   9.24339E-04   7.96601E-04   8.31118E-04   7.04096E-04   7.25995E-04   6.05305E-04   6.13108E-04   5.03679E-04   4.96894E-04   4.02670E-04   3.82045E-04   3.05735E-04   2.73459E-04   2.16335E-04   1.76188E-04   1.37928E-04
 3.83000E+01   1.10732E-03   1.05295E-03   1.12277E-03   1.04294E-03   1.11120E-03   1.00947E-03   1.07467E-03   9.55939E-04   1.01572E-03   8.85742E-04   9.37359E-04   8.02313E-04   8.43020E-04   7.09103E-04   7.36548E-04   6.09576E-04   6.22140E-04   5.07205E-04   5.04302E-04   4.05468E-04   3.87803E-04   3.07845E-04   2.77621E-04   2.17818E-04   1.78893E-04   1.38868E-04
 3.85000E+01   1.11657E-03   1.05813E-03   1.13241E-03   1.04802E-03   1.12099E-03   1.01435E-03   1.08435E-03   9.60521E-04   1.02506E-03   8.89950E-04   9.46130E-04   8.06092E-04   8.51040E-04   7.12415E-04   7.43659E-04   6.12399E-04   6.28227E-04   5.09535E-04   5.09297E-04   4.07315E-04   3.91686E-04   3.09237E-04   2.80427E-04   2.18796E-04   1.80717E-04   1.39487E-04
 3.88000E+01   1.13058E-03   1.06586E-03   1.14701E-03   1.05561E-03   1.13580E-03   1.02163E-03   1.09901E-03   9.67348E-04   1.03920E-03   8.96217E-04   9.59424E-04   8.11716E-04   8.63197E-04   7.17339E-04   7.54443E-04   6.16594E-04   6.37460E-04   5.12995E-04   5.16872E-04   4.10058E-04   3.97575E-04   3.11303E-04   2.84685E-04   2.20246E-04   1.83485E-04   1.40405E-04
 3.91000E+01   1.14473E-03   1.07354E-03   1.16178E-03   1.06314E-03   1.15079E-03   1.02885E-03   1.11384E-03   9.74117E-04   1.05351E-03   9.02426E-04   9.72886E-04   8.17284E-04   8.75511E-04   7.22211E-04   7.65368E-04   6.20741E-04   6.46816E-04   5.16413E-04   5.24551E-04   4.12765E-04   4.03546E-04   3.13340E-04   2.89001E-04   2.21676E-04   1.86291E-04   1.41309E-04
 3.94000E+01   1.15904E-03   1.08117E-03   1.17670E-03   1.07062E-03   1.16595E-03   1.03601E-03   1.12885E-03   9.80827E-04   1.06800E-03   9.08575E-04   9.86515E-04   8.22793E-04   8.87982E-04   7.27028E-04   7.76434E-04   6.24838E-04   6.56295E-04   5.19786E-04   5.32331E-04   4.15435E-04   4.09597E-04   3.15348E-04   2.93377E-04   2.23084E-04   1.89136E-04   1.42199E-04
 3.97000E+01   1.17350E-03   1.08875E-03   1.19179E-03   1.07805E-03   1.18129E-03   1.04312E-03   1.14404E-03   9.87474E-04   1.08267E-03   9.14661E-04   1.00032E-03   8.28241E-04   9.00615E-04   7.31787E-04   7.87647E-04   6.28882E-04   6.65902E-04   5.23113E-04   5.40218E-04   4.18067E-04   4.15731E-04   3.17325E-04   2.97814E-04   2.24469E-04   1.92022E-04   1.43074E-04
 4.00000E+01   1.18811E-03   1.09627E-03   1.20706E-03   1.08541E-03   1.19680E-03   1.05015E-03   1.15941E-03   9.94055E-04   1.09752E-03   9.20682E-04   1.01429E-03   8.33624E-04   9.13409E-04   7.36485E-04   7.99006E-04   6.32871E-04   6.75635E-04   5.26392E-04   5.48211E-04   4.20657E-04   4.21949E-04   3.19270E-04   3.02312E-04   2.25831E-04   1.94947E-04   1.43934E-04
