#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.54000E+01   5.81943E-02  -4.51919E-02   5.24801E-02  -5.94815E-02   4.51622E-02  -7.14109E-02   3.68353E-02  -8.01142E-02   2.80688E-02  -8.49570E-02   1.93736E-02  -8.55405E-02   1.11755E-02  -8.16969E-02   3.79521E-03  -7.34753E-02  -2.56234E-03  -6.11200E-02  -7.80992E-03  -4.50393E-02  -1.19703E-02  -2.57684E-02  -1.51599E-02  -3.92552E-03  -1.75648E-02   1.98367E-02
 3.56000E+01   5.77230E-02  -4.48896E-02   5.18672E-02  -5.92017E-02   4.44239E-02  -7.11579E-02   3.59990E-02  -7.98903E-02   2.71717E-02  -8.47634E-02   1.84608E-02  -8.53774E-02   1.02974E-02  -8.15641E-02   3.00461E-03  -7.33726E-02  -3.21285E-03  -6.10470E-02  -8.27083E-03  -4.49959E-02  -1.21976E-02  -2.57547E-02  -1.51169E-02  -3.94161E-03  -1.72232E-02   1.97906E-02
 3.59000E+01   5.66835E-02  -4.43054E-02   5.05729E-02  -5.86442E-02   4.29088E-02  -7.06375E-02   3.43173E-02  -7.94148E-02   2.53948E-02  -8.43383E-02   1.66738E-02  -8.50068E-02   8.59447E-03  -8.12511E-02   1.48438E-03  -7.31198E-02  -4.45293E-03  -6.08566E-02  -9.13922E-03  -4.48700E-02  -1.26130E-02  -2.56952E-02  -1.50118E-02  -3.95019E-03  -1.65457E-02   1.97125E-02
 3.61000E+01   5.63245E-02  -4.39128E-02   5.00836E-02  -5.82662E-02   4.23012E-02  -7.02811E-02   3.36142E-02  -7.90858E-02   2.46285E-02  -8.40414E-02   1.58844E-02  -8.47463E-02   7.82736E-03  -8.10309E-02   7.87886E-04  -7.29437E-02  -5.03041E-03  -6.07284E-02  -9.55181E-03  -4.47930E-02  -1.28197E-02  -2.56725E-02  -1.49783E-02  -3.98462E-03  -1.62456E-02   1.96189E-02
 3.64000E+01   5.57273E-02  -4.34093E-02   4.92813E-02  -5.77920E-02   4.13136E-02  -6.98441E-02   3.24777E-02  -7.86913E-02   2.33945E-02  -8.36931E-02   1.46161E-02  -8.44469E-02   6.59653E-03  -8.07824E-02  -3.29476E-04  -7.27480E-02  -5.95819E-03  -6.05873E-02  -1.02179E-02  -4.47085E-02  -1.31597E-02  -2.56465E-02  -1.49383E-02  -4.01891E-03  -1.57842E-02   1.95228E-02
 3.66000E+01   5.50707E-02  -4.28222E-02   4.84484E-02  -5.71997E-02   4.03251E-02  -6.92596E-02   3.13685E-02  -7.81275E-02   2.22121E-02  -8.31624E-02   1.34182E-02  -8.39617E-02   5.44790E-03  -8.03551E-02  -1.36068E-03  -7.23905E-02  -6.80396E-03  -6.03110E-02  -1.08140E-02  -4.45238E-02  -1.34488E-02  -2.55627E-02  -1.48725E-02  -4.04364E-03  -1.53267E-02   1.93837E-02
 3.69000E+01   5.45977E-02  -4.23166E-02   4.77834E-02  -5.67228E-02   3.94834E-02  -6.88194E-02   3.03815E-02  -7.77293E-02   2.11253E-02  -8.28104E-02   1.22890E-02  -8.36586E-02   4.34215E-03  -8.01034E-02  -2.37261E-03  -7.21925E-02  -7.65118E-03  -6.01690E-02  -1.14291E-02  -4.44403E-02  -1.37712E-02  -2.55400E-02  -1.48516E-02  -4.08394E-03  -1.49233E-02   1.92785E-02
 3.72000E+01   5.40774E-02  -4.17138E-02   4.70551E-02  -5.61360E-02   3.85634E-02  -6.82592E-02   2.93037E-02  -7.72049E-02   1.99392E-02  -8.23300E-02   1.10571E-02  -8.32302E-02   3.13601E-03  -7.97348E-02  -3.47615E-03  -7.18915E-02  -8.57478E-03  -5.99434E-02  -1.20991E-02  -4.42975E-02  -1.41217E-02  -2.54867E-02  -1.48271E-02  -4.12602E-03  -1.44811E-02   1.91365E-02
 3.74000E+01   5.35805E-02  -4.12804E-02   4.63997E-02  -5.57140E-02   3.77647E-02  -6.78570E-02   2.83896E-02  -7.68294E-02   1.89498E-02  -8.19872E-02   1.00418E-02  -8.29254E-02   2.15119E-03  -7.94730E-02  -4.37057E-03  -7.16773E-02  -9.31856E-03  -5.97813E-02  -1.26350E-02  -4.41917E-02  -1.43984E-02  -2.54412E-02  -1.48016E-02  -4.14395E-03  -1.41203E-02   1.90524E-02
 3.77000E+01   5.32042E-02  -4.06463E-02   4.58260E-02  -5.50920E-02   3.70049E-02  -6.72585E-02   2.74719E-02  -7.62646E-02   1.79180E-02  -8.14658E-02   8.95264E-03  -8.24571E-02   1.07099E-03  -7.90675E-02  -5.37009E-03  -7.13449E-02  -1.01645E-02  -5.95318E-02  -1.32575E-02  -4.40349E-02  -1.47346E-02  -2.53858E-02  -1.47986E-02  -4.19751E-03  -1.37369E-02   1.88839E-02
