#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.54000E+01   6.07886E-03  -4.73406E-03   5.48079E-03  -6.22897E-03   4.71517E-03  -7.47690E-03   3.84423E-03  -8.38725E-03   2.92755E-03  -8.89360E-03   2.01860E-03  -8.95419E-03   1.16191E-03  -8.55146E-03   3.91018E-04  -7.69053E-03  -2.72658E-04  -6.39695E-03  -8.20019E-04  -4.71346E-03  -1.25348E-03  -2.69605E-03  -1.58525E-03  -4.09443E-04  -1.83482E-03   2.07807E-03
 3.56000E+01   6.02168E-03  -4.69487E-03   5.40796E-03  -6.19153E-03   4.62861E-03  -7.44190E-03   3.74711E-03  -8.35519E-03   2.82412E-03  -8.86489E-03   1.91394E-03  -8.92915E-03   1.06171E-03  -8.53034E-03   3.01222E-04  -7.67360E-03  -3.46146E-04  -6.38442E-03  -8.71646E-04  -4.70555E-03  -1.27831E-03  -2.69296E-03  -1.57917E-03  -4.11334E-04  -1.79468E-03   2.07106E-03
 3.59000E+01   5.94070E-03  -4.63476E-03   5.30376E-03  -6.13388E-03   4.50389E-03  -7.38777E-03   3.60644E-03  -8.30541E-03   2.67367E-03  -8.82011E-03   1.76120E-03  -8.88992E-03   9.15027E-04  -8.49716E-03   1.69394E-04  -7.64690E-03  -4.54378E-04  -6.36463E-03  -9.48042E-04  -4.69307E-03  -1.31554E-03  -2.68815E-03  -1.57112E-03  -4.14513E-04  -1.73666E-03   2.05963E-03
 3.61000E+01   5.88982E-03  -4.59394E-03   5.23757E-03  -6.09459E-03   4.42407E-03  -7.35074E-03   3.51591E-03  -8.27123E-03   2.57642E-03  -8.78925E-03   1.66212E-03  -8.86280E-03   8.19579E-04  -8.47414E-03   8.33581E-05  -7.62833E-03  -5.25246E-04  -6.35084E-03  -9.98307E-04  -4.68437E-03  -1.34035E-03  -2.68484E-03  -1.56645E-03  -4.16831E-04  -1.69938E-03   2.05149E-03
 3.64000E+01   5.81803E-03  -4.53177E-03   5.14305E-03  -6.03458E-03   4.30917E-03  -7.29402E-03   3.38481E-03  -8.21870E-03   2.43497E-03  -8.74167E-03   1.51745E-03  -8.82084E-03   6.79779E-04  -8.43842E-03  -4.30407E-05  -7.59944E-03  -6.29709E-04  -6.32936E-03  -1.07276E-03  -4.67083E-03  -1.37759E-03  -2.67972E-03  -1.56045E-03  -4.20561E-04  -1.64552E-03   2.03858E-03
 3.66000E+01   5.77311E-03  -4.48981E-03   5.08312E-03  -5.99398E-03   4.23569E-03  -7.25553E-03   3.30045E-03  -8.18295E-03   2.34351E-03  -8.70920E-03   1.42356E-03  -8.79213E-03   5.88745E-04  -8.41391E-03  -1.25604E-04  -7.57958E-03  -6.98176E-04  -6.31456E-03  -1.12180E-03  -4.66149E-03  -1.40244E-03  -2.67621E-03  -1.55711E-03  -4.23191E-04  -1.61093E-03   2.02956E-03
 3.69000E+01   5.71002E-03  -4.42628E-03   4.99773E-03  -5.93237E-03   4.13000E-03  -7.19699E-03   3.17833E-03  -8.12844E-03   2.21046E-03  -8.65955E-03   1.28642E-03  -8.74811E-03   4.55320E-04  -8.37625E-03  -2.46999E-04  -7.54898E-03  -7.99193E-04  -6.29172E-03  -1.19451E-03  -4.64707E-03  -1.43975E-03  -2.67080E-03  -1.55308E-03  -4.27312E-04  -1.56096E-03   2.01550E-03
 3.72000E+01   5.65192E-03  -4.36221E-03   4.91756E-03  -5.87009E-03   4.02958E-03  -7.13767E-03   3.06131E-03  -8.07305E-03   2.08215E-03  -8.60896E-03   1.15352E-03  -8.70312E-03   3.25478E-04  -8.33766E-03  -3.65595E-04  -7.51755E-03  -8.98298E-04  -6.26821E-03  -1.26628E-03  -4.63219E-03  -1.47713E-03  -2.66522E-03  -1.55018E-03  -4.31600E-04  -1.51322E-03   2.00089E-03
 3.74000E+01   5.61586E-03  -4.31931E-03   4.86691E-03  -5.82831E-03   3.96544E-03  -7.09779E-03   2.98602E-03  -8.03574E-03   1.99916E-03  -8.57481E-03   1.06718E-03  -8.67269E-03   2.40821E-04  -8.31149E-03  -4.43178E-04  -7.49619E-03  -9.63360E-04  -6.25220E-03  -1.31363E-03  -4.62204E-03  -1.50210E-03  -2.66141E-03  -1.54885E-03  -4.34528E-04  -1.48257E-03   1.99090E-03
 3.77000E+01   5.56567E-03  -4.25478E-03   4.79501E-03  -5.76539E-03   3.87332E-03  -7.03763E-03   2.87703E-03  -7.97934E-03   1.87833E-03  -8.52308E-03   9.40921E-04  -8.62649E-03   1.16564E-04  -8.27167E-03  -5.57437E-04  -7.46363E-03  -1.05952E-03  -6.22774E-03  -1.38396E-03  -4.60651E-03  -1.53965E-03  -2.65555E-03  -1.54777E-03  -4.38992E-04  -1.43833E-03   1.97560E-03
