#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   2.09299E-03   4.33342E-03   2.58047E-03   3.87932E-03   2.88459E-03   2.53781E-03   3.00427E-03   5.29823E-04   2.94986E-03  -1.91734E-03   2.74215E-03  -4.57687E-03   2.41060E-03  -7.23060E-03   1.99081E-03  -9.67787E-03   1.52168E-03  -1.17442E-02   1.04230E-03  -1.32893E-02   5.88976E-04  -1.42138E-02   1.92604E-04  -1.44639E-02  -1.23515E-04  -1.40344E-02  -3.45176E-04  -1.29694E-02  -4.68050E-04  -1.13602E-02  -4.97726E-04  -9.34215E-03  -4.49049E-04  -7.08858E-03  -3.44868E-04  -4.80441E-03  -2.14373E-04  -2.71838E-03  -9.12203E-05  -1.07554E-03  -1.17059E-05  -1.30306E-04
 3.56000E+01   2.10063E-03   4.42196E-03   2.58708E-03   3.99567E-03   2.88770E-03   2.67677E-03   3.00150E-03   6.85131E-04   2.93911E-03  -1.75253E-03   2.72187E-03  -4.40941E-03   2.37993E-03  -7.06692E-03   1.94972E-03  -9.52354E-03   1.47098E-03  -1.16037E-02   9.83641E-04  -1.31658E-02   5.24723E-04  -1.41090E-02   1.25657E-04  -1.43783E-02  -1.89950E-04  -1.39675E-02  -4.07859E-04  -1.29194E-02  -5.24003E-04  -1.13250E-02  -5.44525E-04  -9.31897E-03  -4.85092E-04  -7.07466E-03  -3.69616E-04  -4.79705E-03  -2.28534E-04  -2.71520E-03  -9.68764E-05  -1.07461E-03  -1.23967E-05  -1.30227E-04
 3.59000E+01   2.11367E-03   4.55381E-03   2.59933E-03   4.16860E-03   2.89542E-03   2.88290E-03   3.00100E-03   9.14932E-04   2.92716E-03  -1.50937E-03   2.69596E-03  -4.16319E-03   2.33861E-03  -6.82722E-03   1.89276E-03  -9.29861E-03   1.39946E-03  -1.14000E-02   8.99867E-04  -1.29879E-02   4.32139E-04  -1.39594E-02   2.85399E-05  -1.42575E-02  -2.86829E-04  -1.38741E-02  -4.99648E-04  -1.28510E-02  -6.06212E-04  -1.12778E-02  -6.13471E-04  -9.28878E-03  -5.38312E-04  -7.05722E-03  -4.06227E-04  -4.78833E-03  -2.49513E-04  -2.71174E-03  -1.05267E-04  -1.07373E-03  -1.34224E-05  -1.30170E-04
 3.61000E+01   2.12339E-03   4.64113E-03   2.60899E-03   4.28293E-03   2.90251E-03   3.01890E-03   3.00303E-03   1.06618E-03   2.92185E-03  -1.34978E-03   2.68156E-03  -4.00215E-03   2.31403E-03  -6.67108E-03   1.85773E-03  -9.15282E-03   1.35458E-03  -1.12688E-02   8.46622E-04  -1.28742E-02   3.72742E-04  -1.38646E-02  -3.41992E-05  -1.41818E-02  -3.49750E-04  -1.38165E-02  -5.59515E-04  -1.28095E-02  -6.60013E-04  -1.12499E-02  -6.58715E-04  -9.27161E-03  -5.73314E-04  -7.04783E-03  -4.30349E-04  -4.78403E-03  -2.63357E-04  -2.71028E-03  -1.10810E-04  -1.07348E-03  -1.41009E-05  -1.30173E-04
 3.64000E+01   2.13945E-03   4.77134E-03   2.62564E-03   4.45315E-03   2.91596E-03   3.22096E-03   3.00943E-03   1.29037E-03   2.91769E-03  -1.11391E-03   2.66404E-03  -3.76493E-03   2.28134E-03  -6.44202E-03   1.80931E-03  -8.94000E-03   1.29120E-03  -1.10785E-02   7.70343E-04  -1.27105E-02   2.86818E-04  -1.37295E-02  -1.25610E-04  -1.40752E-02  -4.41926E-04  -1.37368E-02  -6.47590E-04  -1.27534E-02  -7.39430E-04  -1.12134E-02  -7.25684E-04  -9.25015E-03  -6.25239E-04  -7.03699E-03  -4.66198E-04  -4.77976E-03  -2.83961E-04  -2.70934E-03  -1.19071E-04  -1.07359E-03  -1.51129E-05  -1.30237E-04
 3.66000E+01   2.15113E-03   4.85769E-03   2.63814E-03   4.56584E-03   2.92675E-03   3.35449E-03   3.01587E-03   1.43818E-03   2.91736E-03  -9.58821E-04   2.65495E-03  -3.60949E-03   2.26220E-03  -6.29254E-03   1.77963E-03  -8.80183E-03   1.25139E-03  -1.09557E-02   7.21713E-04  -1.26057E-02   2.31478E-04  -1.36439E-02  -1.84919E-04  -1.40087E-02  -5.02063E-04  -1.36878E-02  -7.05299E-04  -1.27199E-02  -7.91642E-04  -1.11924E-02  -7.69831E-04  -9.23863E-03  -6.59543E-04  -7.03186E-03  -4.89924E-04  -4.77835E-03  -2.97618E-04  -2.70951E-03  -1.24553E-04  -1.07398E-03  -1.57851E-05  -1.30318E-04
 3.69000E+01   2.17004E-03   4.98663E-03   2.65893E-03   4.73387E-03   2.94555E-03   3.55321E-03   3.02866E-03   1.65766E-03   2.92036E-03  -7.29180E-04   2.64505E-03  -3.38009E-03   2.23726E-03  -6.07287E-03   1.73877E-03  -8.59983E-03   1.19509E-03  -1.07773E-02   6.51836E-04  -1.24547E-02   1.51110E-04  -1.35220E-02  -2.71701E-04  -1.39152E-02  -5.90551E-04  -1.36206E-02  -7.90577E-04  -1.26752E-02  -8.69059E-04  -1.11658E-02  -8.35466E-04  -9.22538E-03  -7.10655E-04  -7.02723E-03  -5.25337E-04  -4.77829E-03  -3.18031E-04  -2.71095E-03  -1.32756E-04  -1.07504E-03  -1.67920E-05  -1.30496E-04
 3.72000E+01   2.19061E-03   5.11496E-03   2.68210E-03   4.90083E-03   2.96742E-03   3.75024E-03   3.04509E-03   1.87470E-03   2.92741E-03  -5.02822E-04   2.63941E-03  -3.15488E-03   2.21662E-03  -5.85829E-03   1.70205E-03  -8.40375E-03   1.14262E-03  -1.06056E-02   5.85348E-04  -1.23110E-02   7.36160E-05  -1.34075E-02  -3.56159E-04  -1.38292E-02  -6.77256E-04  -1.35605E-02  -8.74570E-04  -1.26372E-02  -9.45614E-04  -1.11450E-02  -9.00577E-04  -9.21684E-03  -7.61488E-04  -7.02619E-03  -5.60630E-04  -4.78067E-03  -3.38408E-04  -2.71376E-03  -1.40956E-04  -1.07664E-03  -1.77997E-05  -1.30740E-04
 3.74000E+01   2.20521E-03   5.20024E-03   2.69884E-03   5.01162E-03   2.98366E-03   3.88077E-03   3.05800E-03   2.01818E-03   2.93429E-03  -3.53583E-04   2.63793E-03  -3.00690E-03   2.20513E-03  -5.71788E-03   1.67974E-03  -8.27613E-03   1.10963E-03  -1.04946E-02   5.42757E-04  -1.22189E-02   2.33961E-05  -1.33351E-02  -4.11326E-04  -1.37759E-02  -7.34215E-04  -1.35243E-02  -9.29984E-04  -1.26153E-02  -9.96289E-04  -1.11343E-02  -9.43789E-04  -9.21369E-03  -7.95294E-04  -7.02743E-03  -5.84140E-04  -4.78358E-03  -3.52001E-04  -2.71639E-03  -1.46433E-04  -1.07801E-03  -1.84733E-05  -1.30938E-04
 3.77000E+01   2.22845E-03   5.32783E-03   2.72585E-03   5.17716E-03   3.01046E-03   4.07548E-03   3.08025E-03   2.23177E-03   2.94776E-03  -1.31999E-04   2.63901E-03  -2.78790E-03   2.19118E-03  -5.51096E-03   1.64938E-03  -8.08909E-03   1.06293E-03  -1.03331E-02   4.81267E-04  -1.20863E-02  -4.99822E-05  -1.32322E-02  -4.92581E-04  -1.37015E-02  -8.18590E-04  -1.34755E-02  -1.01242E-03  -1.25876E-02  -1.07192E-03  -1.11226E-02  -1.00845E-03  -9.21270E-03  -8.45984E-04  -7.03213E-03  -6.19450E-04  -4.78986E-03  -3.72443E-04  -2.72142E-03  -1.54677E-04  -1.08049E-03  -1.94882E-05  -1.31289E-04
