#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.54000E+01  -6.74970E-01  -2.74110E+00  -7.28811E-01  -3.26476E+00  -7.53857E-01  -3.79600E+00  -7.45060E-01  -4.32615E+00  -6.98190E-01  -4.84723E+00  -6.09927E-01  -5.35207E+00  -4.77938E-01  -5.83443E+00  -3.00948E-01  -6.28912E+00  -7.87931E-02  -6.71213E+00   1.87537E-01  -7.10077E+00   4.95878E-01  -7.45378E+00   8.42877E-01  -7.77147E+00   1.22400E+00  -8.05585E+00
 3.56000E+01  -6.86574E-01  -2.73225E+00  -7.42019E-01  -3.25352E+00  -7.68464E-01  -3.78204E+00  -7.60808E-01  -4.30915E+00  -7.14779E-01  -4.82685E+00  -6.27024E-01  -5.32798E+00  -4.95191E-01  -5.80629E+00  -3.17997E-01  -6.25661E+00  -9.52815E-02  -6.67493E+00   1.71954E-01  -7.05856E+00   4.81520E-01  -7.40628E+00   8.30029E-01  -7.71842E+00   1.21291E+00  -7.99702E+00
 3.59000E+01  -7.03934E-01  -2.71929E+00  -7.61760E-01  -3.23704E+00  -7.90270E-01  -3.76157E+00  -7.84284E-01  -4.28420E+00  -7.39467E-01  -4.79692E+00  -6.52420E-01  -5.29258E+00  -5.20761E-01  -5.76492E+00  -3.43193E-01  -6.20878E+00  -1.19561E-01  -6.62016E+00   1.49113E-01  -6.99640E+00   4.60599E-01  -7.33630E+00   8.11463E-01  -7.64022E+00   1.19706E+00  -7.91026E+00
 3.61000E+01  -7.15481E-01  -2.71085E+00  -7.74878E-01  -3.22630E+00  -8.04744E-01  -3.74822E+00  -7.99846E-01  -4.26791E+00  -7.55807E-01  -4.77738E+00  -6.69196E-01  -5.26945E+00  -5.37612E-01  -5.73788E+00  -3.59750E-01  -6.17749E+00  -1.35458E-01  -6.58432E+00   1.34225E-01  -6.95570E+00   4.47048E-01  -7.29045E+00   7.99538E-01  -7.58897E+00   1.18701E+00  -7.85337E+00
 3.64000E+01  -7.32773E-01  -2.69847E+00  -7.94504E-01  -3.21054E+00  -8.26373E-01  -3.72862E+00  -8.23070E-01  -4.24400E+00  -7.80153E-01  -4.74866E+00  -6.94145E-01  -5.23544E+00  -5.62615E-01  -5.69809E+00  -3.84247E-01  -6.13144E+00  -1.58895E-01  -6.53153E+00   1.12381E-01  -6.89573E+00   4.27288E-01  -7.22288E+00   7.82301E-01  -7.51340E+00   1.17267E+00  -7.76946E+00
 3.66000E+01  -7.44286E-01  -2.69040E+00  -8.07558E-01  -3.20027E+00  -8.40744E-01  -3.71583E+00  -8.38481E-01  -4.22838E+00  -7.96283E-01  -4.72991E+00  -7.10644E-01  -5.21321E+00  -5.79112E-01  -5.67207E+00  -4.00365E-01  -6.10131E+00  -1.74259E-01  -6.49698E+00   9.81282E-02  -6.85646E+00   4.14478E-01  -7.17860E+00   7.71229E-01  -7.46386E+00   1.16359E+00  -7.71443E+00
 3.69000E+01  -7.61542E-01  -2.67857E+00  -8.27105E-01  -3.18519E+00  -8.62240E-01  -3.69706E+00  -8.61502E-01  -4.20545E+00  -8.20343E-01  -4.70233E+00  -7.35208E-01  -5.18052E+00  -6.03618E-01  -5.63378E+00  -4.24239E-01  -6.05695E+00  -1.96934E-01  -6.44609E+00   7.71930E-02  -6.79859E+00   3.95785E-01  -7.11332E+00   7.55224E-01  -7.39079E+00   1.15065E+00  -7.63323E+00
 3.72000E+01  -7.78789E-01  -2.66706E+00  -8.46622E-01  -3.17050E+00  -8.83676E-01  -3.67875E+00  -8.84424E-01  -4.18306E+00  -8.44256E-01  -4.67541E+00  -7.59570E-01  -5.14858E+00  -6.27856E-01  -5.59635E+00  -4.47772E-01  -6.01356E+00  -2.19189E-01  -6.39628E+00   5.67648E-02  -6.74191E+00   3.77690E-01  -7.04936E+00   7.39913E-01  -7.31917E+00   1.13851E+00  -7.55360E+00
 3.74000E+01  -7.90288E-01  -2.65955E+00  -8.59623E-01  -3.16092E+00  -8.97939E-01  -3.66680E+00  -8.99658E-01  -4.16844E+00  -8.60125E-01  -4.65781E+00  -7.75707E-01  -5.12770E+00  -6.43877E-01  -5.57186E+00  -4.63283E-01  -5.98516E+00  -2.33805E-01  -6.36365E+00   4.34144E-02  -6.70477E+00   3.65945E-01  -7.00744E+00   7.30078E-01  -7.27219E+00   1.13084E+00  -7.50136E+00
 3.77000E+01  -8.07545E-01  -2.64852E+00  -8.79116E-01  -3.14684E+00  -9.19305E-01  -3.64924E+00  -9.22450E-01  -4.14695E+00  -8.83833E-01  -4.63192E+00  -7.99773E-01  -5.09696E+00  -6.67716E-01  -5.53580E+00  -4.86301E-01  -5.94332E+00  -2.55414E-01  -6.31557E+00   2.37720E-02  -6.65002E+00   3.48786E-01  -6.94559E+00   7.15859E-01  -7.20288E+00   1.11995E+00  -7.42424E+00
