#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   2.32766E-02   9.08564E-03   2.83110E-02   5.78251E-03   3.13887E-02   3.17598E-06   3.26243E-02  -7.36730E-03   3.21992E-02  -1.54983E-02   3.03518E-02  -2.36313E-02   2.73630E-02  -3.10969E-02   2.35381E-02  -3.73289E-02   1.91880E-02  -4.18748E-02   1.46101E-02  -4.44032E-02   1.00713E-02  -4.47058E-02   5.79395E-03  -4.26948E-02   1.94552E-03  -3.83961E-02  -1.36715E-03  -3.19371E-02  -4.09866E-03  -2.35313E-02  -6.26113E-03  -1.34584E-02  -7.91562E-03  -2.04136E-03  -9.15949E-03   1.03787E-02  -1.01103E-02   2.34704E-02  -1.08873E-02   3.69406E-02  -1.15905E-02   5.05648E-02
 3.56000E+01   2.33034E-02   9.22834E-03   2.83050E-02   5.95401E-03   3.13301E-02   1.92630E-04   3.24978E-02  -7.16895E-03   3.19950E-02  -1.52984E-02   3.00664E-02  -2.34357E-02   2.69994E-02  -3.09101E-02   2.31060E-02  -3.71541E-02   1.87031E-02  -4.17148E-02   1.40937E-02  -4.42599E-02   9.54875E-03  -4.45808E-02   5.29364E-03  -4.25894E-02   1.49715E-03  -3.83115E-02  -1.73410E-03  -3.18746E-02  -4.35646E-03  -2.34918E-02  -6.38514E-03  -1.34429E-02  -7.88532E-03  -2.05083E-03  -8.95913E-03   1.03437E-02  -9.72911E-03   2.34092E-02  -1.03190E-02   3.68530E-02  -1.08327E-02   5.04507E-02
 3.59000E+01   2.33515E-02   9.44403E-03   2.83076E-02   6.21379E-03   3.12575E-02   4.80340E-04   3.23268E-02  -6.86684E-03   3.17105E-02  -1.49929E-02   2.96622E-02  -2.31356E-02   2.64793E-02  -3.06223E-02   2.24834E-02  -3.68840E-02   1.80009E-02  -4.14663E-02   1.33425E-02  -4.40364E-02   8.78612E-03  -4.43850E-02   4.56127E-03  -4.24238E-02   8.38920E-04  -3.81783E-02  -2.27453E-03  -3.17758E-02  -4.73795E-03  -2.34296E-02  -6.57106E-03  -1.34190E-02  -7.84516E-03  -2.06672E-03  -8.66944E-03   1.02866E-02  -9.17382E-03   2.33101E-02  -9.48884E-03   3.67114E-02  -9.72379E-03   5.02663E-02
 3.61000E+01   2.33887E-02   9.58871E-03   2.83169E-02   6.38838E-03   3.12191E-02   6.74112E-04   3.22251E-02  -6.66286E-03   3.15349E-02  -1.47861E-02   2.94083E-02  -2.29318E-02   2.61489E-02  -3.04262E-02   2.20849E-02  -3.66991E-02   1.75489E-02  -4.12957E-02   1.28570E-02  -4.38824E-02   8.29140E-03  -4.42496E-02   4.08469E-03  -4.23089E-02   4.09323E-04  -3.80856E-02  -2.62840E-03  -3.17070E-02  -4.98895E-03  -2.33862E-02  -6.69500E-03  -1.34025E-02  -7.82185E-03  -2.07831E-03  -8.48336E-03   1.02460E-02  -8.81429E-03   2.32397E-02  -8.94974E-03   3.66107E-02  -9.00257E-03   5.01352E-02
 3.64000E+01   2.34521E-02   9.80677E-03   2.83421E-02   6.65189E-03   3.11763E-02   9.67105E-04   3.20905E-02  -6.35380E-03   3.12922E-02  -1.44719E-02   2.90500E-02  -2.26215E-02   2.56771E-02  -3.01266E-02   2.15113E-02  -3.64160E-02   1.68944E-02  -4.10335E-02   1.21508E-02  -4.36449E-02   7.56911E-03  -4.40402E-02   3.38666E-03  -4.21307E-02  -2.21812E-04  -3.79415E-02  -3.15002E-03  -3.15998E-02  -5.36074E-03  -2.33186E-02  -6.88098E-03  -1.33769E-02  -7.79194E-03  -2.09696E-03  -8.21443E-03   1.01815E-02  -8.29045E-03   2.31282E-02  -8.16180E-03   3.64515E-02  -7.94674E-03   4.99279E-02
 3.66000E+01   2.34993E-02   9.95266E-03   2.83661E-02   6.82842E-03   3.11573E-02   1.16366E-03   3.20124E-02  -6.14611E-03   3.11438E-02  -1.42604E-02   2.88258E-02  -2.24120E-02   2.53780E-02  -2.99239E-02   2.11445E-02  -3.62239E-02   1.64732E-02  -4.08551E-02   1.16942E-02  -4.34829E-02   7.10033E-03  -4.38969E-02   2.93213E-03  -4.20084E-02  -6.34058E-04  -3.78423E-02  -3.49189E-03  -3.15259E-02  -5.60562E-03  -2.32720E-02  -7.00506E-03  -1.33594E-02  -7.77532E-03  -2.11010E-03  -8.04176E-03   1.01364E-02  -7.95117E-03   2.30503E-02  -7.64985E-03   3.63404E-02  -7.25959E-03   4.97833E-02
 3.69000E+01   2.35773E-02   1.01720E-02   2.84128E-02   7.09408E-03   3.11428E-02   1.45980E-03   3.19123E-02  -5.83274E-03   3.09407E-02  -1.39407E-02   2.85110E-02  -2.20948E-02   2.49517E-02  -2.96164E-02   2.06169E-02  -3.59317E-02   1.58635E-02  -4.05830E-02   1.10298E-02  -4.32350E-02   6.41556E-03  -4.36772E-02   2.26591E-03  -4.18204E-02  -1.24023E-03  -3.76897E-02  -3.99632E-03  -3.14120E-02  -5.96873E-03  -2.32000E-02  -7.19141E-03  -1.33325E-02  -7.75521E-03  -2.13070E-03  -7.79231E-03   1.00662E-02  -7.45664E-03   2.29291E-02  -6.90112E-03   3.61672E-02  -6.25291E-03   4.95578E-02
 3.72000E+01   2.36637E-02   1.03917E-02   2.84718E-02   7.36035E-03   3.11446E-02   1.75694E-03   3.18320E-02  -5.51791E-03   3.07605E-02  -1.36190E-02   2.82210E-02  -2.17750E-02   2.45515E-02  -2.93055E-02   2.01155E-02  -3.56356E-02   1.52792E-02  -4.03065E-02   1.03892E-02  -4.29825E-02   5.75198E-03  -4.34527E-02   1.61758E-03  -4.16278E-02  -1.83242E-03  -3.75328E-02  -4.49120E-03  -3.12946E-02  -6.32710E-03  -2.31258E-02  -7.37811E-03  -1.33046E-02  -7.74076E-03  -2.15213E-03  -7.55395E-03   9.99329E-03  -6.97867E-03   2.28031E-02  -6.17450E-03   3.59871E-02  -5.27386E-03   4.93234E-02
 3.74000E+01   2.37259E-02   1.05383E-02   2.85180E-02   7.53799E-03   3.11547E-02   1.95529E-03   3.17893E-02  -5.30757E-03   3.06526E-02  -1.34038E-02   2.80411E-02  -2.15608E-02   2.42987E-02  -2.90970E-02   1.97954E-02  -3.54365E-02   1.49034E-02  -4.01203E-02   9.97483E-03  -4.28121E-02   5.32089E-03  -4.33008E-02   1.19487E-03  -4.14972E-02  -2.21982E-03  -3.74262E-02  -4.81609E-03  -3.12147E-02  -6.56355E-03  -2.30752E-02  -7.50283E-03  -1.32856E-02  -7.73419E-03  -2.16676E-03  -7.40097E-03   9.94339E-03  -6.66886E-03   2.27168E-02  -5.70184E-03   3.58638E-02  -4.63585E-03   4.91626E-02
 3.77000E+01   2.38259E-02   1.07579E-02   2.85969E-02   7.80432E-03   3.11827E-02   2.25278E-03   3.17408E-02  -4.99190E-03   3.05086E-02  -1.30806E-02   2.77906E-02  -2.12386E-02   2.39398E-02  -2.87829E-02   1.93355E-02  -3.51362E-02   1.43592E-02  -3.98388E-02   9.37153E-03  -4.25539E-02   4.69048E-03  -4.30702E-02   5.74429E-04  -4.12985E-02  -2.79035E-03  -3.72637E-02  -5.29629E-03  -3.10926E-02  -6.91479E-03  -2.29976E-02  -7.69037E-03  -1.32564E-02  -7.72881E-03  -2.18907E-03  -7.18008E-03   9.86697E-03  -6.21687E-03   2.25844E-02  -5.00973E-03   3.56744E-02  -3.69988E-03   4.89158E-02
