#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 3.54000E+01  -2.18964E-02  -1.41266E-02  -2.49251E-02  -2.09249E-03  -2.66067E-02   8.36330E-03  -2.70479E-02   1.69866E-02  -2.63986E-02   2.35865E-02  -2.48382E-02   2.80544E-02  -2.25624E-02   3.03779E-02  -1.97727E-02   3.06471E-02  -1.66671E-02   2.90560E-02  -1.34338E-02   2.58986E-02  -1.02472E-02   2.15601E-02  -7.26609E-03   1.65045E-02  -4.63467E-03   1.12600E-02
 3.56000E+01  -2.15102E-02  -1.40392E-02  -2.44419E-02  -2.05716E-03  -2.60460E-02   8.35657E-03  -2.64319E-02   1.69476E-02  -2.57513E-02   2.35245E-02  -2.41843E-02   2.79780E-02  -2.19266E-02   3.02948E-02  -1.91779E-02   3.05637E-02  -1.61336E-02   2.89779E-02  -1.29779E-02   2.58299E-02  -9.87976E-03   2.15037E-02  -6.99202E-03   1.64618E-02  -4.45154E-03   1.12312E-02
 3.59000E+01  -2.09534E-02  -1.39211E-02  -2.37438E-02  -2.01843E-03  -2.52349E-02   8.33143E-03  -2.55398E-02   1.68737E-02  -2.48129E-02   2.34162E-02  -2.32356E-02   2.78487E-02  -2.10031E-02   3.01562E-02  -1.83134E-02   3.04261E-02  -1.53577E-02   2.88497E-02  -1.23143E-02   2.57176E-02  -9.34480E-03   2.14117E-02  -6.59275E-03   1.63925E-02  -4.18463E-03   1.11845E-02
 3.61000E+01  -2.05966E-02  -1.38504E-02  -2.32957E-02  -2.00131E-03  -2.47136E-02   8.30556E-03  -2.49658E-02   1.68152E-02  -2.42084E-02   2.33349E-02  -2.26238E-02   2.77536E-02  -2.04071E-02   3.00554E-02  -1.77550E-02   3.03268E-02  -1.48561E-02   2.87576E-02  -1.18851E-02   2.56373E-02  -8.99859E-03   2.13461E-02  -6.33422E-03   1.63430E-02  -4.01173E-03   1.11513E-02
 3.64000E+01  -2.00823E-02  -1.37554E-02  -2.26488E-02  -1.98737E-03  -2.39598E-02   8.25454E-03  -2.41346E-02   1.67150E-02  -2.33321E-02   2.32006E-02  -2.17361E-02   2.75992E-02  -1.95416E-02   2.98934E-02  -1.69434E-02   3.01679E-02  -1.41266E-02   2.86108E-02  -1.12604E-02   2.55094E-02  -8.49435E-03   2.12418E-02  -5.95749E-03   1.62647E-02  -3.75967E-03   1.10987E-02
 3.66000E+01  -1.97531E-02  -1.36988E-02  -2.22338E-02  -1.98519E-03  -2.34755E-02   8.21314E-03  -2.35999E-02   1.66408E-02  -2.27676E-02   2.31037E-02  -2.11636E-02   2.74891E-02  -1.89829E-02   2.97787E-02  -1.64190E-02   3.00560E-02  -1.36549E-02   2.85078E-02  -1.08562E-02   2.54199E-02  -8.16792E-03   2.11689E-02  -5.71347E-03   1.62099E-02  -3.59632E-03   1.10619E-02
 3.69000E+01  -1.92790E-02  -1.36229E-02  -2.16348E-02  -1.99150E-03  -2.27754E-02   8.14122E-03  -2.28257E-02   1.65195E-02  -2.19495E-02   2.29487E-02  -2.03330E-02   2.73148E-02  -1.81714E-02   2.95981E-02  -1.56568E-02   2.98803E-02  -1.29686E-02   2.83463E-02  -1.02677E-02   2.52798E-02  -7.69232E-03   2.10550E-02  -5.35774E-03   1.61244E-02  -3.35807E-03   1.10046E-02
 3.72000E+01  -1.88276E-02  -1.35569E-02  -2.10631E-02  -2.00807E-03  -2.21057E-02   8.05882E-03  -2.20840E-02   1.63878E-02  -2.11644E-02   2.27835E-02  -1.95348E-02   2.71307E-02  -1.73906E-02   2.94083E-02  -1.49224E-02   2.96964E-02  -1.23069E-02   2.81777E-02  -9.69973E-03   2.51337E-02  -7.23292E-03   2.09363E-02  -5.01389E-03   1.60355E-02  -3.12764E-03   1.09450E-02
 3.74000E+01  -1.85389E-02  -1.35179E-02  -2.06966E-02  -2.02420E-03  -2.16755E-02   7.99876E-03  -2.16068E-02   1.62949E-02  -2.06586E-02   2.26684E-02  -1.90199E-02   2.70033E-02  -1.68864E-02   2.92775E-02  -1.44478E-02   2.95699E-02  -1.18788E-02   2.80619E-02  -9.33200E-03   2.50335E-02  -6.93529E-03   2.08550E-02  -4.79098E-03   1.59745E-02  -2.97818E-03   1.09042E-02
 3.77000E+01  -1.81236E-02  -1.34660E-02  -2.01679E-02  -2.05517E-03  -2.10539E-02   7.90191E-03  -2.09161E-02   1.61489E-02  -1.99253E-02   2.24892E-02  -1.82726E-02   2.68060E-02  -1.61537E-02   2.90755E-02  -1.37574E-02   2.93749E-02  -1.12555E-02   2.78837E-02  -8.79617E-03   2.48794E-02  -6.50129E-03   2.07300E-02  -4.46573E-03   1.58809E-02  -2.75998E-03   1.08415E-02
