#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   1.18533E-05   4.48417E-04   1.71204E-05   5.93353E-04   2.24320E-05   7.18830E-04   2.74747E-05   8.19875E-04   3.19613E-05   8.92151E-04   3.56362E-05   9.32044E-04   3.82799E-05   9.36726E-04   3.95874E-05   9.13730E-04   3.91755E-05   8.84565E-04   3.72787E-05   8.27436E-04   3.40151E-05   7.34391E-04   2.94372E-05   6.07786E-04   2.36338E-05   4.50622E-04   1.67251E-05   2.66435E-04   8.85597E-06   5.91600E-05   1.88459E-07  -1.67039E-04  -9.10724E-06  -4.07948E-04  -1.88623E-05  -6.59501E-04  -2.89198E-05  -9.17997E-04  -3.91454E-05  -1.18032E-03  -4.94385E-05  -1.44418E-03
 3.56000E+01   1.22919E-05   4.55821E-04   1.77777E-05   6.04019E-04   2.33166E-05   7.32729E-04   2.85792E-05   8.36760E-04   3.32634E-05   9.11571E-04   3.71001E-05   9.53372E-04   3.98582E-05   9.59183E-04   4.12272E-05   9.36653E-04   4.08275E-05   9.07797E-04   3.88806E-05   8.50215E-04   3.55000E-05   7.55712E-04   3.07400E-05   6.26680E-04   2.46935E-05   4.66187E-04   1.74862E-05   2.77858E-04   9.27024E-06   6.57310E-05   2.15403E-07  -1.65910E-04  -9.49957E-06  -4.12724E-04  -1.96974E-05  -6.70523E-04  -3.02131E-05  -9.35489E-04  -4.09055E-05  -1.20441E-03  -5.16690E-05  -1.47491E-03
 3.59000E+01   1.30018E-05   4.67408E-04   1.88418E-05   6.20739E-04   2.47492E-05   7.54549E-04   3.03681E-05   8.63294E-04   3.53724E-05   9.42117E-04   3.94712E-05   9.86942E-04   4.24144E-05   9.94549E-04   4.38828E-05   9.72772E-04   4.35042E-05   9.44417E-04   4.14777E-05   8.86134E-04   3.79084E-05   7.89337E-04   3.28540E-05   6.56481E-04   2.64139E-05   4.90735E-04   1.87228E-05   2.95861E-04   9.94420E-06   7.60666E-05   2.60933E-07  -1.64176E-04  -1.01345E-05  -4.20330E-04  -2.10510E-05  -6.88007E-04  -3.23105E-05  -9.63206E-04  -4.37609E-05  -1.24256E-03  -5.52879E-05  -1.52357E-03
 3.61000E+01   1.35132E-05   4.75477E-04   1.96087E-05   6.32403E-04   2.57818E-05   7.69791E-04   3.16579E-05   8.81849E-04   3.68930E-05   9.63495E-04   4.11807E-05   1.01045E-03   4.42570E-05   1.01933E-03   4.57970E-05   9.98094E-04   4.54345E-05   9.70102E-04   4.33517E-05   9.11335E-04   3.96471E-05   8.12934E-04   3.43809E-05   6.77395E-04   2.76570E-05   5.07960E-04   1.96169E-05   3.08487E-04   1.04322E-05   8.33019E-05   2.95070E-07  -1.62991E-04  -1.05919E-05  -4.25714E-04  -2.20275E-05  -7.00341E-04  -3.38246E-05  -9.82742E-04  -4.58225E-05  -1.26943E-03  -5.79013E-05  -1.55784E-03
 3.64000E+01   1.43443E-05   4.88142E-04   2.08556E-05   6.50743E-04   2.74613E-05   7.93788E-04   3.37558E-05   9.11095E-04   3.93665E-05   9.97220E-04   4.39613E-05   1.04757E-03   4.72537E-05   1.05848E-03   4.89100E-05   1.03811E-03   4.85753E-05   1.01071E-03   4.64025E-05   9.51188E-04   4.24790E-05   8.50258E-04   3.68689E-05   7.10479E-04   2.96836E-05   5.35204E-04   2.10753E-05   3.28448E-04   1.12292E-05   9.47202E-05   3.52688E-07  -1.61163E-04  -1.13352E-05  -4.34302E-04  -2.36171E-05  -7.19950E-04  -3.62903E-05  -1.01377E-03  -4.91810E-05  -1.31210E-03  -6.21593E-05  -1.61224E-03
 3.66000E+01   1.49458E-05   4.96989E-04   2.17583E-05   6.63576E-04   2.86774E-05   8.10604E-04   3.52749E-05   9.31609E-04   4.11578E-05   1.02089E-03   4.59748E-05   1.07364E-03   4.94234E-05   1.08599E-03   5.11636E-05   1.06624E-03   5.08502E-05   1.03927E-03   4.86134E-05   9.79233E-04   4.45323E-05   8.76529E-04   3.86736E-05   7.33768E-04   3.11542E-05   5.54381E-04   2.21343E-05   3.42491E-04   1.18086E-05   1.02741E-04   3.95869E-07  -1.59906E-04  -1.18731E-05  -4.40393E-04  -2.47690E-05  -7.33818E-04  -3.80780E-05  -1.03570E-03  -5.16166E-05  -1.34225E-03  -6.52476E-05  -1.65066E-03
 3.69000E+01   1.59281E-05   5.10924E-04   2.32331E-05   6.83823E-04   3.06646E-05   8.37166E-04   3.77577E-05   9.64048E-04   4.40852E-05   1.05836E-03   4.92652E-05   1.11493E-03   5.29684E-05   1.12959E-03   5.48456E-05   1.11085E-03   5.45687E-05   1.08457E-03   5.22294E-05   1.02373E-03   4.78920E-05   9.18216E-04   4.16279E-05   7.70726E-04   3.35627E-05   5.84811E-04   2.38695E-05   3.64766E-04   1.27592E-05   1.15443E-04   4.68779E-07  -1.57957E-04  -1.27516E-05  -4.50129E-04  -2.66529E-05  -7.55921E-04  -4.10030E-05  -1.07062E-03  -5.56027E-05  -1.39024E-03  -7.03028E-05  -1.71182E-03
 3.72000E+01   1.70195E-05   5.25732E-04   2.48721E-05   7.05381E-04   3.28735E-05   8.65494E-04   4.05178E-05   9.98684E-04   4.73396E-05   1.09841E-03   5.29227E-05   1.15910E-03   5.69081E-05   1.17625E-03   5.89371E-05   1.15861E-03   5.87031E-05   1.13311E-03   5.62525E-05   1.07141E-03   5.16321E-05   9.62908E-04   4.49182E-05   8.10352E-04   3.62465E-05   6.17435E-04   2.58045E-05   3.88637E-04   1.38208E-05   1.29034E-04   5.52841E-07  -1.55920E-04  -1.37273E-05  -4.60650E-04  -2.87489E-05  -7.79736E-04  -4.42591E-05  -1.10821E-03  -6.00413E-05  -1.44188E-03  -7.59329E-05  -1.77762E-03
 3.74000E+01   1.78158E-05   5.36138E-04   2.60684E-05   7.20554E-04   3.44861E-05   8.85456E-04   4.25329E-05   1.02312E-03   4.97155E-05   1.12668E-03   5.55927E-05   1.19029E-03   5.97836E-05   1.20922E-03   6.19231E-05   1.19239E-03   6.17218E-05   1.16744E-03   5.91915E-05   1.10516E-03   5.43656E-05   9.94539E-04   4.73239E-05   8.38401E-04   3.82096E-05   6.40528E-04   2.72205E-05   4.05528E-04   1.45985E-05   1.38638E-04   6.15979E-07  -1.54507E-04  -1.44392E-05  -4.68142E-04  -3.02801E-05  -7.96656E-04  -4.66390E-05  -1.13491E-03  -6.32861E-05  -1.47854E-03  -8.00493E-05  -1.82433E-03
 3.77000E+01   1.91281E-05   5.52628E-04   2.80403E-05   7.44639E-04   3.71446E-05   9.17183E-04   4.58551E-05   1.06199E-03   5.36324E-05   1.17169E-03   5.99941E-05   1.24000E-03   6.45227E-05   1.26179E-03   6.68439E-05   1.24624E-03   6.66988E-05   1.22221E-03   6.40397E-05   1.15900E-03   5.88768E-05   1.04503E-03   5.12958E-05   8.83177E-04   4.14521E-05   6.77390E-04   2.95608E-05   4.32482E-04   1.58853E-05   1.53947E-04   7.22935E-07  -1.52293E-04  -1.56120E-05  -4.80168E-04  -3.28062E-05  -8.23762E-04  -5.05668E-05  -1.17765E-03  -6.86428E-05  -1.53722E-03  -8.68457E-05  -1.89907E-03
