# freq eta
3.539999999999999858e+01 1.001613212086382640e-02
3.560000000000000142e+01 9.970811844570106122e-03
3.589999999999999858e+01 1.002074079695359880e-02
3.610000000000000142e+01 9.945803425062408470e-03
3.639999999999999858e+01 1.006802020453651664e-02
3.660000000000000142e+01 9.993524894368480474e-03
3.689999999999999858e+01 9.900175269528046357e-03
3.720000000000000284e+01 1.009187200230567648e-02
3.739999999999999858e+01 9.830309321496678854e-03
3.770000000000000284e+01 9.958519029935814990e-03
3.800000000000000000e+01 9.696714701926980456e-03
3.829999999999999716e+01 9.959512312276734211e-03
3.850000000000000000e+01 1.012936468399595544e-02
3.879999999999999716e+01 9.938011288026868048e-03
3.910000000000000142e+01 1.000736432757095944e-02
3.939999999999999858e+01 1.032674481279018119e-02
3.970000000000000284e+01 9.900280258940141048e-03
4.000000000000000000e+01 9.926086403468491887e-03
4.020000000000000284e+01 1.014136226476810253e-02
4.050000000000000000e+01 1.029121210581903506e-02
4.079999999999999716e+01 9.959650984890936615e-03
4.110000000000000142e+01 1.008973189585374644e-02
4.139999999999999858e+01 9.821161353324274479e-03
4.170000000000000284e+01 9.934010514833070335e-03
4.200000000000000000e+01 1.008871576069402497e-02
4.229999999999999716e+01 1.008959885071232000e-02
4.260000000000000142e+01 1.004268471791735888e-02
4.289999999999999858e+01 9.927586769291785185e-03
4.320000000000000284e+01 9.808554323761511234e-03
4.360000000000000142e+01 9.517697444543365970e-03
4.389999999999999858e+01 9.995892200370724498e-03
4.420000000000000284e+01 1.001871997862200693e-02
4.450000000000000000e+01 9.644144269656996712e-03
4.479999999999999716e+01 8.862030226356652080e-03
4.520000000000000284e+01 1.025756270415869274e-02
4.550000000000000000e+01 9.953284042575130663e-03
4.579999999999999716e+01 1.167868896039747986e-02
4.610000000000000142e+01 1.031486409002824699e-02
4.650000000000000000e+01 9.896385874514315728e-03
4.679999999999999716e+01 9.498918632652770741e-03
4.710000000000000142e+01 1.025063910185487932e-02
4.750000000000000000e+01 1.013089577298172984e-02
4.779999999999999716e+01 9.871649742855773124e-03
4.820000000000000284e+01 1.002520329259952610e-02
4.850000000000000000e+01 9.760387358048712783e-03
4.889999999999999858e+01 1.003558970462334679e-02
4.920000000000000284e+01 9.929469106343034868e-03
4.960000000000000142e+01 9.997863060055940318e-03
4.989999999999999858e+01 9.975773833933101672e-03
5.029999999999999716e+01 9.964480365668474185e-03
5.070000000000000284e+01 9.831847771704172248e-03
5.100000000000000000e+01 9.773826786384842008e-03
5.139999999999999858e+01 9.968864564915113843e-03
5.179999999999999716e+01 9.915294947603082651e-03
5.210000000000000142e+01 1.001530587074338230e-02
5.250000000000000000e+01 9.966171907480015843e-03
5.289999999999999858e+01 1.006353319304308276e-02
5.329999999999999716e+01 1.009106147155292531e-02
5.370000000000000284e+01 9.991838153233534650e-03
5.410000000000000142e+01 9.931539878762628282e-03
5.439999999999999858e+01 9.929136675725260333e-03
5.479999999999999716e+01 1.000829641518847721e-02
5.520000000000000284e+01 1.001087994717524306e-02
5.560000000000000142e+01 1.001233222670640417e-02
5.600000000000000000e+01 9.977522604574552700e-03
5.639999999999999858e+01 1.000117768629119920e-02
5.679999999999999716e+01 9.990994757325217732e-03
5.729999999999999716e+01 1.007918151965013845e-02
5.770000000000000284e+01 1.009389953848191003e-02
5.810000000000000142e+01 1.006682276304091822e-02
5.850000000000000000e+01 9.980992811030405323e-03
5.889999999999999858e+01 1.001800253037624447e-02
5.939999999999999858e+01 9.960127190336794112e-03
5.979999999999999716e+01 9.908176869777664264e-03
6.020000000000000284e+01 1.002278412570372333e-02
6.060000000000000142e+01 9.920510409385473877e-03
6.110000000000000142e+01 9.943743765082975819e-03
6.150000000000000000e+01 9.875938714661568543e-03
6.200000000000000000e+01 1.005102099399897246e-02
6.239999999999999858e+01 9.912773787715037019e-03
6.289999999999999858e+01 9.959408557062404341e-03
6.329999999999999716e+01 9.667652287665416330e-03
6.379999999999999716e+01 1.031974036060471014e-02
6.420000000000000284e+01 1.027906434876558160e-02
6.470000000000000284e+01 1.000888316719308890e-02
6.520000000000000284e+01 9.436664122369667340e-03
6.559999999999999432e+01 9.494727832123435809e-03
6.609999999999999432e+01 1.034665814355361507e-02
6.659999999999999432e+01 1.061250522056074799e-02
6.709999999999999432e+01 1.012135017613307458e-02
6.759999999999999432e+01 1.012944056590041678e-02
6.800000000000000000e+01 1.051928328872514702e-02
6.850000000000000000e+01 9.990902915849217067e-03
6.900000000000000000e+01 9.992093444392670734e-03
6.950000000000000000e+01 9.923309902442062000e-03
7.000000000000000000e+01 9.966691926183631270e-03
7.050000000000000000e+01 1.022910946636363533e-02
7.100000000000000000e+01 9.920109879480748516e-03
7.159999999999999432e+01 9.981950456890526999e-03
7.209999999999999432e+01 9.988709961853470265e-03
7.259999999999999432e+01 1.000703924156884708e-02
7.309999999999999432e+01 9.995702492917269907e-03
7.370000000000000284e+01 9.992857264176292775e-03
7.420000000000000284e+01 1.001690714494382628e-02
7.470000000000000284e+01 1.002784708947488182e-02
7.529999999999999716e+01 9.987170166976224589e-03
7.579999999999999716e+01 1.000228682581985953e-02
7.640000000000000568e+01 1.000951470685256320e-02
7.690000000000000568e+01 9.968660110850430245e-03
7.750000000000000000e+01 1.001141045000572549e-02
7.800000000000000000e+01 9.987512368522829045e-03
7.859999999999999432e+01 9.949193579041519866e-03
7.909999999999999432e+01 1.000466937719516128e-02
7.970000000000000284e+01 9.968423165159319074e-03
8.029999999999999716e+01 1.000643392466400890e-02
8.090000000000000568e+01 9.985435290089815855e-03
8.150000000000000000e+01 1.000791019214461973e-02
8.200000000000000000e+01 9.993528870557735061e-03
8.259999999999999432e+01 1.000043420430407962e-02
8.320000000000000284e+01 1.001167402884532882e-02
8.379999999999999716e+01 1.000918597325457272e-02
8.440000000000000568e+01 1.001448433182249888e-02
8.509999999999999432e+01 1.000693446284191095e-02
8.570000000000000284e+01 1.002440686622733772e-02
8.629999999999999716e+01 9.987485489044652803e-03
8.690000000000000568e+01 9.985641277239006020e-03
8.750000000000000000e+01 1.001723539842119641e-02
8.820000000000000284e+01 9.991953376779771911e-03
8.879999999999999716e+01 1.002259157835544597e-02
8.940000000000000568e+01 9.992814330133293135e-03
9.009999999999999432e+01 9.998056246647828854e-03
9.070000000000000284e+01 1.001348189736545047e-02
9.140000000000000568e+01 9.996619797069387914e-03
9.209999999999999432e+01 9.989651572289637987e-03
9.270000000000000284e+01 1.000966298834399942e-02
9.340000000000000568e+01 9.994405445095409790e-03
9.409999999999999432e+01 1.000541646140117730e-02
9.470000000000000284e+01 9.997496185945711766e-03
9.540000000000000568e+01 1.000290721939013985e-02
9.609999999999999432e+01 9.998070343838672339e-03
9.679999999999999716e+01 1.000194282364233120e-02
9.750000000000000000e+01 1.000912968800086664e-02
9.820000000000000284e+01 1.000881582797190361e-02
9.890000000000000568e+01 9.995206812071581390e-03
9.959999999999999432e+01 9.993053058625165491e-03
1.004000000000000057e+02 9.998440994477691968e-03
1.010999999999999943e+02 1.001415627119096527e-02
1.017999999999999972e+02 1.003025806477505014e-02
1.025999999999999943e+02 9.988539842877145955e-03
1.032999999999999972e+02 9.995295096872223312e-03
1.040000000000000000e+02 1.000791503922775910e-02
1.047999999999999972e+02 9.989059748084706813e-03
1.055000000000000000e+02 1.000769483159637610e-02
1.062999999999999972e+02 9.983231830381935484e-03
1.070999999999999943e+02 9.999752701844378394e-03
1.077999999999999972e+02 1.001446135174871924e-02
1.085999999999999943e+02 9.997835310291676089e-03
1.094000000000000057e+02 1.000656154182653045e-02
1.102000000000000028e+02 1.000117043468149412e-02
1.110000000000000000e+02 9.992970878594248027e-03
1.117999999999999972e+02 9.980056981062274124e-03
1.125999999999999943e+02 1.001641113084906186e-02
1.134000000000000057e+02 1.000712371095900492e-02
1.142000000000000028e+02 1.000485784087878915e-02
1.150999999999999943e+02 1.001135352571548391e-02
1.159000000000000057e+02 9.983635698195559779e-03
1.167000000000000028e+02 9.960874037964809885e-03
