# freq eta
2.000000000000000000e+01 1.225833008661633867e-02
6.000000000000000000e+01 1.006139544337200133e-02
1.000000000000000000e+02 1.005973566599078009e-02
1.400000000000000000e+02 1.002446046831650429e-02
1.800000000000000000e+02 1.001667933884287966e-02
2.200000000000000000e+02 1.001403493186213238e-02
2.600000000000000000e+02 1.000694341523114886e-02
3.000000000000000000e+02 1.001240196425562737e-02
3.400000000000000000e+02 1.000033449961282989e-02
3.800000000000000000e+02 1.002414721635699890e-02
4.200000000000000000e+02 9.999414991941936448e-03
4.600000000000000000e+02 9.995821127459062622e-03
5.000000000000000000e+02 1.001138335919432576e-02
5.400000000000000000e+02 1.000012107461746569e-02
5.800000000000000000e+02 9.999818205780218114e-03
6.200000000000000000e+02 1.000129075322659343e-02
6.600000000000000000e+02 9.998421413944320185e-03
7.000000000000000000e+02 9.995421087828351356e-03
7.400000000000000000e+02 9.997597206051530433e-03
7.800000000000000000e+02 9.991632710065504949e-03
8.200000000000000000e+02 9.998783706349332126e-03
8.600000000000000000e+02 9.998236926861952395e-03
9.000000000000000000e+02 1.000259645469423961e-02
9.400000000000000000e+02 9.997388146315313445e-03
9.800000000000000000e+02 1.000197422418024409e-02
1.020000000000000000e+03 9.999936965247598064e-03
1.060000000000000000e+03 9.996079307000724917e-03
1.100000000000000000e+03 1.000130020426722062e-02
1.140000000000000000e+03 9.999082754158814673e-03
1.180000000000000000e+03 1.000146812939355263e-02
1.220000000000000000e+03 1.000016188608710346e-02
1.260000000000000000e+03 9.999720046506340582e-03
1.300000000000000000e+03 9.999512682297755084e-03
1.340000000000000000e+03 1.000068315186913685e-02
1.380000000000000000e+03 1.000009488698088214e-02
1.420000000000000000e+03 1.000045941874110923e-02
1.460000000000000000e+03 9.999541762414328530e-03
1.500000000000000000e+03 1.000049717611022591e-02
1.540000000000000000e+03 1.000009697617133993e-02
1.580000000000000000e+03 1.000009496452752486e-02
1.620000000000000000e+03 9.999319390931876717e-03
1.660000000000000000e+03 9.999080225717131218e-03
1.700000000000000000e+03 1.000050164340920977e-02
1.740000000000000000e+03 1.000102003548026218e-02
1.780000000000000000e+03 1.000166999660056719e-02
1.820000000000000000e+03 1.000047033462085275e-02
1.860000000000000000e+03 9.999834756935459604e-03
1.900000000000000000e+03 9.999975239638018987e-03
1.940000000000000000e+03 9.999681296238772943e-03
1.980000000000000000e+03 1.000003653580505865e-02
2.000000000000000000e+03 1.000057011124751150e-02
