#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   5.51870E-04   4.68978E-03   6.81316E-04   4.29469E-03   7.62131E-04   2.96538E-03   7.93635E-04   9.23277E-04   7.78325E-04  -1.60023E-03   7.21628E-04  -4.37090E-03   6.31413E-04  -7.16047E-03   5.17312E-04  -9.75628E-03   3.89916E-04  -1.19710E-02   2.59923E-04  -1.36518E-02   1.37308E-04  -1.46879E-02   3.05705E-05  -1.50166E-02  -5.38724E-05  -1.46268E-02  -1.12122E-04  -1.35603E-02  -1.43024E-04  -1.19101E-02  -1.48191E-04  -9.81689E-03  -1.31821E-04  -7.46343E-03  -1.00357E-04  -5.06691E-03  -6.20184E-05  -2.87096E-03  -2.62807E-05  -1.13727E-03  -3.36214E-06  -1.37925E-04
 3.56000E+01   5.54191E-04   4.78736E-03   6.83494E-04   4.42342E-03   7.63491E-04   3.11951E-03   7.93506E-04   1.09570E-03   7.76108E-04  -1.41737E-03   7.16862E-04  -4.18553E-03   6.23823E-04  -6.97999E-03   5.06848E-04  -9.58712E-03   3.76766E-04  -1.18182E-02   2.44510E-04  -1.35189E-02   1.20260E-04  -1.45768E-02   1.26735E-05  -1.49277E-02  -7.17396E-05  -1.45590E-02  -1.29063E-04  -1.35113E-02  -1.58207E-04  -1.18770E-02  -1.60932E-04  -9.79645E-03  -1.41661E-04  -7.45218E-03  -1.07129E-04  -5.06171E-03  -6.59005E-05  -2.86917E-03  -2.78338E-05  -1.13694E-03  -3.55207E-06  -1.37925E-04
 3.59000E+01   5.58119E-04   4.93274E-03   6.87416E-04   4.61484E-03   7.66383E-04   3.34820E-03   7.94338E-04   1.35083E-03   7.73945E-04  -1.14764E-03   7.10963E-04  -3.91311E-03   6.13728E-04  -6.71599E-03   4.92431E-04  -9.34104E-03   3.58265E-04  -1.15975E-02   2.22521E-04  -1.33286E-02   9.56951E-05  -1.44195E-02  -1.33067E-05  -1.48034E-02  -9.78244E-05  -1.44658E-02  -1.53906E-04  -1.34457E-02  -1.80552E-04  -1.18343E-02  -1.79738E-04  -9.77143E-03  -1.56219E-04  -7.43958E-03  -1.17168E-04  -5.05680E-03  -7.16645E-05  -2.86812E-03  -3.01428E-05  -1.13710E-03  -3.83475E-06  -1.38003E-04
 3.61000E+01   5.61028E-04   5.02907E-03   6.90451E-04   4.74146E-03   7.68859E-04   3.49915E-03   7.95549E-04   1.51881E-03   7.73243E-04  -9.70598E-04   7.07824E-04  -3.73499E-03   6.07812E-04  -6.54415E-03   4.83621E-04  -9.18180E-03   3.46692E-04  -1.14557E-02   2.08557E-04  -1.32075E-02   7.99320E-05  -1.43204E-02  -3.01059E-05  -1.47264E-02  -1.14789E-04  -1.44093E-02  -1.70137E-04  -1.34071E-02  -1.95204E-04  -1.18104E-02  -1.92104E-04  -9.75840E-03  -1.65815E-04  -7.43395E-03  -1.23797E-04  -5.05540E-03  -7.54771E-05  -2.86848E-03  -3.16721E-05  -1.13763E-03  -4.02217E-06  -1.38105E-04
 3.64000E+01   5.65811E-04   5.17285E-03   6.95614E-04   4.93012E-03   7.73362E-04   3.72361E-03   7.98310E-04   1.76796E-03   7.73250E-04  -7.08811E-04   7.04245E-04  -3.47258E-03   6.00087E-04  -6.29219E-03   4.71530E-04  -8.94963E-03   3.30387E-04  -1.12505E-02   1.88566E-04  -1.30337E-02   5.71175E-05  -1.41802E-02  -5.46115E-05  -1.46192E-02  -1.39683E-04  -1.43325E-02  -1.94062E-04  -1.33566E-02  -2.16878E-04  -1.17808E-02  -2.10451E-04  -9.74413E-03  -1.80085E-04  -7.42951E-03  -1.33674E-04  -5.05603E-03  -8.11660E-05  -2.87057E-03  -3.39569E-05  -1.13903E-03  -4.30248E-06  -1.38334E-04
 3.66000E+01   5.69274E-04   5.26830E-03   6.99452E-04   5.05516E-03   7.76876E-04   3.87208E-03   8.00760E-04   1.93238E-03   7.73935E-04  -5.36579E-04   7.02580E-04  -3.30058E-03   5.95667E-04  -6.12780E-03   4.64177E-04  -8.79906E-03   3.20176E-04  -1.11184E-02   1.75827E-04  -1.29231E-02   4.24130E-05  -1.40921E-02  -7.05341E-05  -1.45530E-02  -1.55955E-04  -1.42865E-02  -2.09772E-04  -1.33277E-02  -2.31162E-04  -1.17652E-02  -2.22576E-04  -9.73805E-03  -1.89537E-04  -7.42915E-03  -1.40229E-04  -5.05821E-03  -8.49470E-05  -2.87296E-03  -3.54773E-05  -1.14036E-03  -4.48919E-06  -1.38535E-04
 3.69000E+01   5.74868E-04   5.41098E-03   7.05788E-04   5.24183E-03   7.82892E-04   4.09331E-03   8.05318E-04   2.17677E-03   7.75944E-04  -2.81309E-04   7.01116E-04  -3.04660E-03   5.90074E-04  -5.88619E-03   4.54144E-04  -8.57908E-03   3.05778E-04  -1.09269E-02   1.57528E-04  -1.27643E-02   2.10377E-05  -1.39675E-02  -9.38713E-05  -1.44615E-02  -1.79948E-04  -1.42249E-02  -2.33044E-04  -1.32911E-02  -2.52394E-04  -1.17479E-02  -2.40650E-04  -9.73391E-03  -2.03659E-04  -7.43243E-03  -1.50040E-04  -5.06409E-03  -9.06146E-05  -2.87802E-03  -3.77590E-05  -1.14294E-03  -4.76969E-06  -1.38907E-04
 3.72000E+01   5.80935E-04   5.55324E-03   7.12805E-04   5.42762E-03   7.89780E-04   4.31303E-03   8.10904E-04   2.41885E-03   7.79090E-04  -2.93285E-05   7.00842E-04  -2.79699E-03   5.85668E-04  -5.65008E-03   4.45240E-04  -8.36567E-03   2.92405E-04  -1.07430E-02   1.40119E-04  -1.26138E-02   3.96608E-07  -1.38516E-02  -1.16636E-04  -1.43789E-02  -2.03524E-04  -1.41719E-02  -2.56035E-04  -1.32625E-02  -2.73460E-04  -1.17377E-02  -2.58643E-04  -9.73560E-03  -2.17753E-04  -7.44016E-03  -1.59852E-04  -5.07300E-03  -9.62929E-05  -2.88482E-03  -4.00484E-05  -1.14622E-03  -5.05143E-06  -1.39363E-04
 3.74000E+01   5.85238E-04   5.64791E-03   7.17853E-04   5.55111E-03   7.94846E-04   4.45883E-03   8.15186E-04   2.57914E-03   7.81800E-04   1.37045E-04   7.01297E-04  -2.63278E-03   5.83360E-04  -5.49547E-03   4.39896E-04  -8.22680E-03   2.84021E-04  -1.06243E-02   1.28966E-04  -1.25178E-02  -1.29994E-05  -1.37789E-02  -1.31538E-04  -1.43285E-02  -2.19051E-04  -1.41411E-02  -2.71246E-04  -1.32478E-02  -2.87446E-04  -1.17346E-02  -2.70620E-04  -9.73989E-03  -2.27156E-04  -7.44773E-03  -1.66409E-04  -5.08059E-03  -1.00093E-04  -2.89029E-03  -4.15820E-05  -1.14877E-03  -5.24035E-06  -1.39713E-04
 3.77000E+01   5.92076E-04   5.78979E-03   7.25976E-04   5.73596E-03   8.03145E-04   4.67674E-03   8.22427E-04   2.81819E-03   7.86762E-04   3.84489E-04   7.02905E-04  -2.38942E-03   5.80804E-04  -5.26743E-03   4.32725E-04  -8.02325E-03   2.72191E-04  -1.04518E-02   1.12859E-04  -1.23800E-02  -3.26058E-05  -1.36767E-02  -1.53539E-04  -1.42597E-02  -2.42115E-04  -1.41017E-02  -2.93942E-04  -1.32319E-02  -3.08384E-04  -1.17356E-02  -2.88598E-04  -9.75095E-03  -2.41299E-04  -7.46264E-03  -1.76289E-04  -5.09443E-03  -1.05826E-04  -2.89989E-03  -4.38985E-05  -1.15316E-03  -5.52595E-06  -1.40305E-04
