# freq eta
3.539999999999999858e+01 5.999994060882860580e-01
3.560000000000000142e+01 6.000013343201864302e-01
3.589999999999999858e+01 6.000026652686946127e-01
3.610000000000000142e+01 5.999995619230763522e-01
3.639999999999999858e+01 6.000005547361937364e-01
3.660000000000000142e+01 5.999995359307291887e-01
3.689999999999999858e+01 5.999998695602372090e-01
3.720000000000000284e+01 5.999980476249556771e-01
3.739999999999999858e+01 5.999980034490053349e-01
3.770000000000000284e+01 5.999969095715022016e-01
3.800000000000000000e+01 5.999988913260440038e-01
3.829999999999999716e+01 6.000014222663143659e-01
3.850000000000000000e+01 6.000004340510965983e-01
3.879999999999999716e+01 6.000019664318230195e-01
3.910000000000000142e+01 6.000020954751634772e-01
3.939999999999999858e+01 5.999975784316413652e-01
3.970000000000000284e+01 6.000019767776777480e-01
4.000000000000000000e+01 6.000003815301535592e-01
4.020000000000000284e+01 5.999982144215628699e-01
4.050000000000000000e+01 6.000013981214089576e-01
4.079999999999999716e+01 5.999989992723244736e-01
4.110000000000000142e+01 6.000009378889695766e-01
4.139999999999999858e+01 5.999995486309031012e-01
4.170000000000000284e+01 5.999990435294074720e-01
4.200000000000000000e+01 5.999994495176894649e-01
4.229999999999999716e+01 5.999996035694672436e-01
4.260000000000000142e+01 5.999995243559053115e-01
4.289999999999999858e+01 5.999994599540150464e-01
4.320000000000000284e+01 5.999994068023817295e-01
4.360000000000000142e+01 6.000000430221921199e-01
4.389999999999999858e+01 6.000000373435826484e-01
4.420000000000000284e+01 6.000010354553225733e-01
4.450000000000000000e+01 5.999997612899162780e-01
4.479999999999999716e+01 6.000015002154761579e-01
4.520000000000000284e+01 6.000003303743686178e-01
4.550000000000000000e+01 6.000005829877763652e-01
4.579999999999999716e+01 5.999996260804276726e-01
4.610000000000000142e+01 5.999996780337001345e-01
4.650000000000000000e+01 6.000008518414767789e-01
4.679999999999999716e+01 5.999998007945278600e-01
4.710000000000000142e+01 6.000011229805181090e-01
4.750000000000000000e+01 5.999992803576187361e-01
4.779999999999999716e+01 5.999998849158756364e-01
4.820000000000000284e+01 6.000008695510690160e-01
4.850000000000000000e+01 5.999996436573680203e-01
4.889999999999999858e+01 6.000004980582593905e-01
4.920000000000000284e+01 5.999993614024032862e-01
4.960000000000000142e+01 5.999998258212529967e-01
4.989999999999999858e+01 5.999998276646115736e-01
5.029999999999999716e+01 6.000006512553632820e-01
5.070000000000000284e+01 6.000001353886164068e-01
5.100000000000000000e+01 5.999998898780527501e-01
5.139999999999999858e+01 6.000000513346140929e-01
5.179999999999999716e+01 6.000004160473487724e-01
5.210000000000000142e+01 6.000003683981359748e-01
5.250000000000000000e+01 5.999975656189434625e-01
5.289999999999999858e+01 6.000007782211285168e-01
5.329999999999999716e+01 5.999990986750648458e-01
5.370000000000000284e+01 5.999990548326794570e-01
5.410000000000000142e+01 5.999987671393710587e-01
5.439999999999999858e+01 5.999994488452184971e-01
5.479999999999999716e+01 6.000007462264028701e-01
5.520000000000000284e+01 5.999986696415642307e-01
5.560000000000000142e+01 5.999984607653535695e-01
5.600000000000000000e+01 6.000003199410981480e-01
5.639999999999999858e+01 5.999988845721974107e-01
5.679999999999999716e+01 6.000008389623242566e-01
5.729999999999999716e+01 5.999982246884418835e-01
5.770000000000000284e+01 5.999993850832221476e-01
5.810000000000000142e+01 6.000000881900544591e-01
5.850000000000000000e+01 6.000004793231280553e-01
5.889999999999999858e+01 6.000005650433158921e-01
5.939999999999999858e+01 6.000000947896290127e-01
5.979999999999999716e+01 5.999998989249358816e-01
