#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 5.00000E+00   5.57733E-04   1.09307E-03   6.98908E-04   1.36423E-03   8.06224E-04   1.56727E-03   8.81957E-04   1.70753E-03   9.28474E-04   1.79044E-03   9.48240E-04   1.82147E-03   9.43821E-04   1.80620E-03   9.17891E-04   1.75026E-03   8.73225E-04   1.65936E-03   8.12702E-04   1.53930E-03   7.39294E-04   1.39593E-03   6.56066E-04   1.23516E-03   5.66162E-04   1.06299E-03   4.72799E-04   8.85431E-04   3.79255E-04   7.08563E-04   2.88861E-04   5.38497E-04   2.04990E-04   3.81372E-04   1.31046E-04   2.43351E-04   7.04548E-05   1.30612E-04   2.66585E-05   4.93441E-05   3.10593E-06   5.74089E-06
 1.00000E+01   1.24387E-03   2.26385E-03   1.59071E-03   2.84495E-03   1.87241E-03   3.29116E-03   2.08896E-03   3.61043E-03   2.24114E-03   3.81123E-03   2.33060E-03   3.90261E-03   2.35991E-03   3.89421E-03   2.33265E-03   3.79630E-03   2.25332E-03   3.61978E-03   2.12743E-03   3.37612E-03   1.96135E-03   3.07735E-03   1.76237E-03   2.73605E-03   1.53852E-03   2.36526E-03   1.29858E-03   1.97843E-03   1.05191E-03   1.58938E-03   8.08416E-04   1.21223E-03   5.78413E-04   8.61347E-04   3.72534E-04   5.51278E-04   2.01647E-04   2.96699E-04   7.67676E-05   1.12372E-04   8.99386E-06   1.31037E-05
 1.50000E+01   2.35398E-03   3.56043E-03   3.12172E-03   4.51365E-03   3.80340E-03   5.26701E-03   4.38157E-03   5.82656E-03   4.84205E-03   6.20007E-03   5.17439E-03   6.39713E-03   5.37214E-03   6.42925E-03   5.43311E-03   6.30989E-03   5.35949E-03   6.05439E-03   5.15781E-03   5.67994E-03   4.83887E-03   5.20543E-03   4.41753E-03   4.65134E-03   3.91245E-03   4.03955E-03   3.34570E-03   3.39321E-03   2.74237E-03   2.73652E-03   2.13014E-03   2.09454E-03   1.53875E-03   1.49306E-03   9.99604E-04   9.58376E-04   5.45249E-04   5.17166E-04   2.09012E-04   1.96341E-04   2.46385E-05   2.29451E-05
 2.00000E+01   4.68489E-03   4.40031E-03   6.49847E-03   5.48499E-03   8.23870E-03   6.28695E-03   9.82713E-03   6.82666E-03   1.11956E-02   7.12654E-03   1.22879E-02   7.21071E-03   1.30611E-02   7.10467E-03   1.34867E-02   6.83490E-03   1.35511E-02   6.42837E-03   1.32561E-02   5.91217E-03   1.26185E-02   5.31306E-03   1.16698E-02   4.65718E-03   1.04553E-02   3.96977E-03   9.03288E-03   3.27505E-03   7.47184E-03   2.59606E-03   5.85099E-03   1.95477E-03   4.25710E-03   1.37212E-03   2.78317E-03   8.68162E-04   1.52671E-03   4.62273E-04   5.88164E-04   1.73356E-04   6.96403E-05   2.00316E-05
 2.50000E+01   6.40759E-03   2.01866E-03   8.94246E-03   1.56233E-03   1.13896E-02   6.33457E-04   1.36311E-02  -6.18085E-04   1.55656E-02  -2.04965E-03   1.71104E-02  -3.52914E-03   1.82036E-02  -4.93835E-03   1.88046E-02  -6.17610E-03   1.88952E-02  -7.16103E-03   1.84793E-02  -7.83373E-03   1.75824E-02  -8.15818E-03   1.62506E-02  -8.12239E-03   1.45491E-02  -7.73827E-03   1.25603E-02  -7.04062E-03   1.03815E-02  -6.08540E-03   8.12320E-03  -4.94734E-03   5.90594E-03  -3.71712E-03   3.85845E-03  -2.49815E-03   2.11520E-03  -1.40330E-03   8.14409E-04  -5.51818E-04   9.63786E-05  -6.65065E-05
 3.00000E+01   4.56745E-03   1.51977E-03   5.96602E-03   4.89162E-04   7.13770E-03  -1.14951E-03   8.05200E-03  -3.18411E-03   8.69167E-03  -5.41225E-03   9.05249E-03  -7.64623E-03   9.14236E-03  -9.71825E-03   8.97980E-03  -1.14852E-02   8.59201E-03  -1.28331E-02   8.01282E-03  -1.36801E-02   7.28049E-03  -1.39794E-02   6.43572E-03  -1.37199E-02   5.51986E-03  -1.29263E-02   4.57349E-03  -1.16576E-02   3.63528E-03  -1.00047E-02   2.74146E-03  -8.08672E-03   1.92550E-03  -6.04697E-03   1.21827E-03  -4.04790E-03   6.48440E-04  -2.26634E-03   2.43029E-04  -8.88699E-04   2.80651E-05  -1.06854E-04
 3.50000E+01   4.08650E-03   2.86700E-03   5.03091E-03   2.20917E-03   5.63564E-03   8.60387E-04   5.90843E-03  -9.70715E-04   5.87359E-03  -3.08108E-03   5.57029E-03  -5.27862E-03   5.04957E-03  -7.38793E-03   4.37055E-03  -9.25589E-03   3.59609E-03  -1.07568E-02   2.78838E-03  -1.17964E-02   2.00473E-03  -1.23153E-02   1.29398E-03  -1.22904E-02   6.93566E-04  -1.17351E-02   2.27653E-04  -1.06990E-02  -9.38010E-05  -9.26466E-03  -2.74897E-04  -7.54462E-03  -3.32729E-04  -5.67696E-03  -2.95538E-04  -3.82025E-03  -2.00329E-04  -2.14841E-03  -9.02468E-05  -8.45636E-04  -1.20548E-05  -1.02003E-04
 4.00000E+01   4.52842E-03   4.20482E-03   5.46538E-03   3.90807E-03   5.95419E-03   2.83225E-03   6.00663E-03   1.18321E-03   5.66076E-03  -8.33943E-04   4.97825E-03  -3.02079E-03   4.03950E-03  -5.19223E-03   2.93736E-03  -7.18302E-03   1.76986E-03  -8.85394E-03   6.32716E-04  -1.00969E-02  -3.87844E-04  -1.08390E-02  -1.22139E-03  -1.10447E-02  -1.81826E-03  -1.07168E-02  -2.15297E-03  -9.89585E-03  -2.22574E-03  -8.65755E-03  -2.06227E-03  -7.10952E-03  -1.71179E-03  -5.38663E-03  -1.24372E-03  -3.64573E-03  -7.43419E-04  -2.06011E-03  -3.07354E-04  -8.14152E-04  -3.85881E-05  -9.85403E-05
 4.50000E+01   5.50218E-03   5.38058E-03   6.66181E-03   5.36053E-03   7.24469E-03   4.46878E-03   7.24544E-03   2.91527E-03   6.70147E-03   9.13531E-04   5.68957E-03  -1.32628E-03   4.31893E-03  -3.60519E-03   2.72150E-03  -5.74328E-03   1.04070E-03  -7.58689E-03  -5.80707E-04  -9.01471E-03  -2.01240E-03  -9.94233E-03  -3.14707E-03  -1.03251E-02  -3.90901E-03  -1.01591E-02  -4.26018E-03  -9.48028E-03  -4.20329E-03  -8.36199E-03  -3.78187E-03  -6.91118E-03  -3.07753E-03  -5.26341E-03  -2.20481E-03  -3.57722E-03  -1.30432E-03  -2.02832E-03  -5.35029E-04  -8.03860E-04  -6.67621E-05  -9.75253E-05
 5.00000E+01   6.98405E-03   6.30088E-03   8.56594E-03   6.44398E-03   9.40622E-03   5.63188E-03   9.46067E-03   4.09067E-03   8.75325E-03   2.05138E-03   7.37216E-03  -2.58698E-04   5.46024E-03  -2.62538E-03   3.20086E-03  -4.85664E-03   8.00626E-04  -6.79052E-03  -1.52947E-03  -8.30128E-03  -3.59287E-03  -9.30359E-03  -5.22472E-03  -9.75446E-03  -6.30622E-03  -9.65312E-03  -6.77502E-03  -9.03902E-03  -6.63106E-03  -7.98826E-03  -5.93747E-03  -6.60882E-03  -4.81694E-03  -5.03512E-03  -3.44403E-03  -3.42223E-03  -2.03459E-03  -1.94017E-03  -8.33745E-04  -7.68771E-04  -1.03957E-04  -9.32491E-05
