# freq eta
5.000000000000000000e+00 5.008429728173765527e-01
1.000000000000000000e+01 4.997555025654310534e-01
1.500000000000000000e+01 4.999271428302162756e-01
2.000000000000000000e+01 5.000717036316958408e-01
2.500000000000000000e+01 5.000895276212435903e-01
3.000000000000000000e+01 5.001503782515466234e-01
3.500000000000000000e+01 5.000119926803212600e-01
4.000000000000000000e+01 5.000076732623178755e-01
4.500000000000000000e+01 5.000006597545224585e-01
5.000000000000000000e+01 5.000031665790012347e-01
5.500000000000000000e+01 5.000153617388881644e-01
6.000000000000000000e+01 5.000000553400730796e-01
6.500000000000000000e+01 4.999960680256758661e-01
7.000000000000000000e+01 4.999965268007288688e-01
7.500000000000000000e+01 5.000013375351585188e-01
8.000000000000000000e+01 4.999964271758649548e-01
8.500000000000000000e+01 4.999996450203990639e-01
9.000000000000000000e+01 4.999963240463012326e-01
9.500000000000000000e+01 5.000014672339723187e-01
1.000000000000000000e+02 4.999964990523497188e-01
