# freq eta
1.000000000000000000e+00 6.771867508496718369e-01
1.500000000000000000e+00 6.624063368943705621e-01
2.000000000000000000e+00 5.982979533068176758e-01
2.500000000000000000e+00 5.065184624097809341e-01
3.000000000000000000e+00 4.829450600650871950e-01
3.500000000000000000e+00 4.896053857856335068e-01
4.000000000000000000e+00 4.943631445185673878e-01
4.500000000000000000e+00 5.056452958445237789e-01
5.000000000000000000e+00 5.010172130696204373e-01
5.500000000000000000e+00 5.031167977756287879e-01
6.000000000000000000e+00 4.838324558223653371e-01
6.500000000000000000e+00 4.768443895345299555e-01
7.000000000000000000e+00 4.908814643501338004e-01
7.500000000000000000e+00 5.061841661284680605e-01
8.000000000000000000e+00 5.080668564587779157e-01
8.500000000000000000e+00 4.991278662286585677e-01
9.000000000000000000e+00 5.007843867189037956e-01
9.500000000000000000e+00 5.000757962377230248e-01
1.000000000000000000e+01 5.048835681105597883e-01
1.200000000000000000e+01 4.998178318802042885e-01
1.500000000000000000e+01 4.977123218499234225e-01
1.700000000000000000e+01 4.999252506309472821e-01
2.000000000000000000e+01 5.001973728217447013e-01
2.500000000000000000e+01 4.997660866565308835e-01
3.000000000000000000e+01 4.994716069148139037e-01
3.500000000000000000e+01 5.000440040313219869e-01
4.000000000000000000e+01 5.000230824326897805e-01
4.500000000000000000e+01 4.999314924423809425e-01
5.000000000000000000e+01 5.000400991772344650e-01
5.500000000000000000e+01 5.000148806461386375e-01
6.000000000000000000e+01 4.998539707180783553e-01
6.500000000000000000e+01 5.000827418894999710e-01
7.000000000000000000e+01 4.999470038548263218e-01
7.500000000000000000e+01 5.000275052770647433e-01
8.000000000000000000e+01 4.999871300832600118e-01
8.500000000000000000e+01 5.000108688981382832e-01
9.000000000000000000e+01 5.000003752545638669e-01
9.500000000000000000e+01 5.000281486926512198e-01
1.000000000000000000e+02 4.999476579626457307e-01
