#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 1.00000E+00   1.64857E-07   1.64856E-07   2.05269E-07   2.05269E-07   2.35253E-07   2.35252E-07   2.55693E-07   2.55692E-07   2.67475E-07   2.67474E-07   2.71484E-07   2.71483E-07   2.68606E-07   2.68604E-07   2.59724E-07   2.59722E-07   2.45726E-07   2.45724E-07   2.27495E-07   2.27493E-07   2.05918E-07   2.05916E-07   1.81879E-07   1.81878E-07   1.56264E-07   1.56263E-07   1.29959E-07   1.29957E-07   1.03847E-07   1.03846E-07   7.88154E-08   7.88145E-08   5.57485E-08   5.57479E-08   3.55319E-08   3.55315E-08   1.90507E-08   1.90504E-08   7.19022E-09   7.19013E-09   8.35800E-10   8.35790E-10
 2.00000E+00   3.29716E-07   3.29712E-07   4.10543E-07   4.10537E-07   4.70512E-07   4.70504E-07   5.11394E-07   5.11384E-07   5.34960E-07   5.34948E-07   5.42979E-07   5.42965E-07   5.37222E-07   5.37207E-07   5.19460E-07   5.19445E-07   4.91463E-07   4.91448E-07   4.55002E-07   4.54987E-07   4.11847E-07   4.11832E-07   3.63769E-07   3.63755E-07   3.12538E-07   3.12526E-07   2.59925E-07   2.59915E-07   2.07701E-07   2.07692E-07   1.57636E-07   1.57629E-07   1.11501E-07   1.11496E-07   7.10662E-08   7.10629E-08   3.81027E-08   3.81009E-08   1.43810E-08   1.43803E-08   1.67166E-09   1.67158E-09
 3.00000E+00   4.94582E-07   4.94569E-07   6.15826E-07   6.15806E-07   7.05783E-07   7.05756E-07   7.67110E-07   7.67076E-07   8.02461E-07   8.02422E-07   8.14493E-07   8.14448E-07   8.05860E-07   8.05811E-07   7.79218E-07   7.79167E-07   7.37223E-07   7.37171E-07   6.82531E-07   6.82480E-07   6.17798E-07   6.17748E-07   5.45679E-07   5.45633E-07   4.68830E-07   4.68789E-07   3.89908E-07   3.89872E-07   3.11568E-07   3.11538E-07   2.36467E-07   2.36444E-07   1.67261E-07   1.67244E-07   1.06605E-07   1.06594E-07   5.71574E-08   5.71513E-08   2.15728E-08   2.15704E-08   2.50765E-09   2.50737E-09
 4.00000E+00   6.59457E-07   6.59425E-07   8.21122E-07   8.21074E-07   9.41072E-07   9.41008E-07   1.02285E-06   1.02277E-06   1.06999E-06   1.06990E-06   1.08604E-06   1.08593E-06   1.07453E-06   1.07441E-06   1.03901E-06   1.03889E-06   9.83018E-07   9.82895E-07   9.10095E-07   9.09973E-07   8.23781E-07   8.23665E-07   7.27619E-07   7.27510E-07   6.25149E-07   6.25051E-07   5.19914E-07   5.19829E-07   4.15455E-07   4.15384E-07   3.15313E-07   3.15258E-07   2.23032E-07   2.22992E-07   1.42152E-07   1.42126E-07   7.62163E-08   7.62018E-08   2.87661E-08   2.87605E-08   3.34382E-09   3.34316E-09
 5.00000E+00   8.24343E-07   8.24281E-07   1.02644E-06   1.02634E-06   1.17639E-06   1.17626E-06   1.27862E-06   1.27846E-06   1.33755E-06   1.33737E-06   1.35762E-06   1.35741E-06   1.34324E-06   1.34302E-06   1.29885E-06   1.29861E-06   1.22886E-06   1.22862E-06   1.13770E-06   1.13747E-06   1.02981E-06   1.02958E-06   9.09600E-07   9.09388E-07   7.81505E-07   7.81314E-07   6.49952E-07   6.49786E-07   5.19368E-07   5.19230E-07   3.94181E-07   3.94073E-07   2.78818E-07   2.78740E-07   1.77709E-07   1.77657E-07   9.52805E-08   9.52522E-08   3.59616E-08   3.59507E-08   4.18024E-09   4.17895E-09
 6.00000E+00   9.89245E-07   9.89137E-07   1.23177E-06   1.23161E-06   1.41173E-06   1.41151E-06   1.53442E-06   1.53415E-06   1.60516E-06   1.60484E-06   1.62925E-06   1.62890E-06   1.61201E-06   1.61162E-06   1.55874E-06   1.55833E-06   1.47476E-06   1.47434E-06   1.36537E-06   1.36496E-06   1.23589E-06   1.23550E-06   1.09163E-06   1.09127E-06   9.37907E-07   9.37577E-07   7.80030E-07   7.79744E-07   6.23314E-07   6.23076E-07   4.73074E-07   4.72887E-07   3.34623E-07   3.34487E-07   2.13278E-07   2.13189E-07   1.14352E-07   1.14303E-07   4.31596E-08   4.31408E-08   5.01697E-09   5.01474E-09
 7.00000E+00   1.15416E-06   1.15399E-06   1.43714E-06   1.43688E-06   1.64711E-06   1.64676E-06   1.79027E-06   1.78984E-06   1.87282E-06   1.87232E-06   1.90095E-06   1.90038E-06   1.88084E-06   1.88023E-06   1.81871E-06   1.81806E-06   1.72073E-06   1.72007E-06   1.59311E-06   1.59245E-06   1.44204E-06   1.44141E-06   1.27373E-06   1.27314E-06   1.09436E-06   1.09384E-06   9.10155E-07   9.09701E-07   7.27300E-07   7.26923E-07   5.51998E-07   5.51702E-07   3.90451E-07   3.90235E-07   2.48861E-07   2.48720E-07   1.33431E-07   1.33353E-07   5.03609E-08   5.03309E-08   5.85407E-09   5.85053E-09
 8.00000E+00   1.31910E-06   1.31885E-06   1.64253E-06   1.64215E-06   1.88253E-06   1.88202E-06   2.04618E-06   2.04554E-06   2.14055E-06   2.13979E-06   2.17271E-06   2.17186E-06   2.14975E-06   2.14883E-06   2.07875E-06   2.07778E-06   1.96678E-06   1.96579E-06   1.82092E-06   1.81995E-06   1.64826E-06   1.64733E-06   1.45589E-06   1.45502E-06   1.25089E-06   1.25010E-06   1.04034E-06   1.03966E-06   8.31332E-07   8.30769E-07   6.30958E-07   6.30516E-07   4.46305E-07   4.45983E-07   2.84463E-07   2.84252E-07   1.52519E-07   1.52404E-07   5.75657E-08   5.75211E-08   6.69161E-09   6.68632E-09
 9.00000E+00   1.48407E-06   1.48371E-06   1.84796E-06   1.84742E-06   2.11800E-06   2.11727E-06   2.30214E-06   2.30123E-06   2.40834E-06   2.40726E-06   2.44456E-06   2.44334E-06   2.41875E-06   2.41743E-06   2.33888E-06   2.33750E-06   2.21292E-06   2.21151E-06   2.04883E-06   2.04744E-06   1.85458E-06   1.85324E-06   1.63814E-06   1.63690E-06   1.40748E-06   1.40637E-06   1.17058E-06   1.16962E-06   9.35416E-07   9.34615E-07   7.09960E-07   7.09331E-07   5.02190E-07   5.01731E-07   3.20083E-07   3.19783E-07   1.71619E-07   1.71454E-07   6.47748E-08   6.47112E-08   7.52965E-09   7.52210E-09
 1.00000E+01   1.64906E-06   1.64856E-06   2.05343E-06   2.05268E-06   2.35352E-06   2.35252E-06   2.55817E-06   2.55692E-06   2.67621E-06   2.67474E-06   2.71649E-06   2.71483E-06   2.68784E-06   2.68604E-06   2.59912E-06   2.59722E-06   2.45916E-06   2.45724E-06   2.27683E-06   2.27493E-06   2.06099E-06   2.05916E-06   1.82047E-06   1.81878E-06   1.56416E-06   1.56263E-06   1.30090E-06   1.29957E-06   1.03956E-06   1.03846E-06   7.89008E-07   7.88145E-07   5.58108E-07   5.57479E-07   3.55727E-07   3.55314E-07   1.90731E-07   1.90504E-07   7.19886E-08   7.19013E-08   8.36824E-09   8.35789E-09
