#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   1.68660E-03   9.25740E-03   2.18774E-03   1.09945E-02   2.55508E-03   1.17170E-02   2.75595E-03   1.14311E-02   2.77062E-03   1.01826E-02   2.59289E-03   8.05604E-03   2.22974E-03   5.17034E-03   1.69991E-03   1.67132E-03   1.03170E-03  -2.27812E-03   2.59833E-04  -6.51007E-03  -5.78193E-04  -1.08652E-02  -1.51082E-03  -1.50136E-02  -2.42454E-03  -1.81657E-02  -3.10371E-03  -1.96498E-02  -3.39137E-03  -1.90425E-02  -3.20043E-03  -1.61877E-02  -2.51662E-03  -1.11870E-02  -1.39178E-03  -4.36022E-03   7.25939E-05   3.82315E-03   1.75041E-03   1.28374E-02   3.52269E-03   2.22124E-02
 3.56000E+01   1.72599E-03   9.39062E-03   2.24229E-03   1.11724E-02   2.62228E-03   1.19305E-02   2.83164E-03   1.16675E-02   2.84950E-03   1.04270E-02   2.66899E-03   8.29254E-03   2.29693E-03   5.38308E-03   1.75242E-03   1.84576E-03   1.06449E-03  -2.15435E-03   2.68955E-04  -6.44650E-03  -5.95439E-04  -1.08682E-02  -1.55922E-03  -1.50942E-02  -2.50549E-03  -1.83269E-02  -3.21011E-03  -1.98754E-02  -3.50967E-03  -1.93020E-02  -3.31322E-03  -1.64421E-02  -2.60544E-03  -1.13953E-02  -1.43980E-03  -4.48545E-03   7.85197E-05   3.80982E-03   1.81863E-03   1.29542E-02   3.65691E-03   2.24673E-02
 3.59000E+01   1.78822E-03   9.59528E-03   2.32861E-03   1.14461E-02   2.72873E-03   1.22592E-02   2.95168E-03   1.20317E-02   2.97473E-03   1.08037E-02   2.78994E-03   8.65693E-03   2.40390E-03   5.71060E-03   1.83622E-03   2.11379E-03   1.11712E-03  -1.96507E-03   2.84102E-04  -6.35082E-03  -6.22077E-04  -1.08760E-02  -1.63534E-03  -1.52228E-02  -2.63343E-03  -1.85810E-02  -3.37868E-03  -2.02296E-02  -3.69740E-03  -1.97085E-02  -3.49243E-03  -1.68399E-02  -2.74678E-03  -1.17204E-02  -1.51647E-03  -4.67979E-03   8.74526E-05   3.79130E-03   1.92646E-03   1.31400E-02   3.86958E-03   2.28701E-02
 3.61000E+01   1.83197E-03   9.73511E-03   2.38937E-03   1.16333E-02   2.80373E-03   1.24842E-02   3.03635E-03   1.22813E-02   3.06314E-03   1.10619E-02   2.87544E-03   8.90665E-03   2.47963E-03   5.93489E-03   1.89568E-03   2.29699E-03   1.15465E-03  -1.83627E-03   2.95238E-04  -6.28671E-03  -6.40394E-04  -1.08835E-02  -1.68861E-03  -1.53138E-02  -2.72339E-03  -1.87589E-02  -3.49750E-03  -2.04767E-02  -3.82991E-03  -1.99914E-02  -3.61909E-03  -1.71164E-02  -2.84681E-03  -1.19460E-02  -1.57090E-03  -4.81393E-03   9.34499E-05   3.77991E-03   2.00231E-03   1.32712E-02   4.01949E-03   2.31527E-02
 3.64000E+01   1.90125E-03   9.95023E-03   2.48571E-03   1.19217E-02   2.92280E-03   1.28313E-02   3.17089E-03   1.26664E-02   3.20378E-03   1.14604E-02   3.01158E-03   9.29206E-03   2.60038E-03   6.28081E-03   1.99070E-03   2.57907E-03   1.21491E-03  -1.63880E-03   3.13613E-04  -6.18990E-03  -6.68796E-04  -1.08980E-02  -1.77264E-03  -1.54585E-02  -2.86595E-03  -1.90388E-02  -3.68621E-03  -2.08643E-02  -4.04068E-03  -2.04348E-02  -3.82078E-03  -1.75491E-02  -3.00631E-03  -1.22982E-02  -1.65794E-03  -5.02246E-03   1.02532E-04   3.76424E-03   2.12256E-03   1.34795E-02   4.25762E-03   2.35988E-02
 3.66000E+01   1.95006E-03   1.00974E-02   2.55366E-03   1.21193E-02   3.00687E-03   1.30693E-02   3.26597E-03   1.29306E-02   3.30327E-03   1.17340E-02   3.10800E-03   9.55664E-03   2.68601E-03   6.51814E-03   2.05822E-03   2.77229E-03   1.25792E-03  -1.50408E-03   3.27053E-04  -6.12481E-03  -6.88403E-04  -1.09101E-02  -1.83162E-03  -1.55606E-02  -2.96647E-03  -1.92346E-02  -3.81954E-03  -2.11347E-02  -4.18981E-03  -2.07435E-02  -3.96364E-03  -1.78500E-02  -3.11943E-03  -1.25428E-02  -1.71983E-03  -5.16664E-03   1.08657E-04   3.75472E-03   2.20739E-03   1.36263E-02   4.42591E-03   2.39116E-02
 3.69000E+01   2.02755E-03   1.03242E-02   2.66167E-03   1.24241E-02   3.14063E-03   1.34368E-02   3.41739E-03   1.33391E-02   3.46185E-03   1.21570E-02   3.26183E-03   9.96570E-03   2.82280E-03   6.88488E-03   2.16629E-03   3.07043E-03   1.32705E-03  -1.29700E-03   3.49141E-04  -6.02617E-03  -7.18926E-04  -1.09315E-02  -1.92496E-03  -1.57225E-02  -3.12619E-03  -1.95428E-02  -4.03185E-03  -2.15591E-02  -4.42757E-03  -2.12274E-02  -4.19165E-03  -1.83213E-02  -3.30017E-03  -1.29252E-02  -1.81898E-03  -5.39115E-03   1.17975E-04   3.74183E-03   2.34227E-03   1.38590E-02   4.69398E-03   2.44050E-02
 3.72000E+01   2.11062E-03   1.05585E-02   2.77761E-03   1.27397E-02   3.28438E-03   1.38179E-02   3.58030E-03   1.37628E-02   3.63264E-03   1.25960E-02   3.42769E-03   1.03903E-02   2.97050E-03   7.26538E-03   2.28323E-03   3.37925E-03   1.40220E-03  -1.08341E-03   3.73737E-04  -5.92608E-03  -7.50919E-04  -1.09572E-02  -2.02466E-03  -1.58954E-02  -3.29763E-03  -1.98690E-02  -4.26027E-03  -2.20072E-02  -4.68376E-03  -2.17378E-02  -4.43762E-03  -1.88177E-02  -3.49541E-03  -1.33274E-02  -1.92637E-03  -5.62619E-03   1.27481E-04   3.73056E-03   2.48717E-03   1.41074E-02   4.98253E-03   2.49290E-02
 3.74000E+01   2.16938E-03   1.07193E-02   2.85971E-03   1.29565E-02   3.38627E-03   1.40798E-02   3.69586E-03   1.40543E-02   3.75389E-03   1.28982E-02   3.54555E-03   1.06826E-02   3.07557E-03   7.52720E-03   2.36656E-03   3.59149E-03   1.45594E-03  -9.37113E-04   3.91646E-04  -5.85841E-03  -7.73147E-04  -1.09767E-02  -2.09499E-03  -1.60171E-02  -3.41905E-03  -2.00971E-02  -4.42234E-03  -2.23199E-02  -4.86575E-03  -2.20935E-02  -4.61251E-03  -1.91634E-02  -3.63437E-03  -1.36071E-02  -2.00297E-03  -5.78912E-03   1.33941E-04   3.72395E-03   2.58987E-03   1.42821E-02   5.18736E-03   2.52962E-02
 3.77000E+01   2.26306E-03   1.09675E-02   2.99074E-03   1.32917E-02   3.54902E-03   1.44854E-02   3.88060E-03   1.45061E-02   3.94789E-03   1.33667E-02   3.73429E-03   1.11358E-02   3.24401E-03   7.93299E-03   2.50036E-03   3.92006E-03   1.54251E-03  -7.11328E-04   4.20982E-04  -5.75528E-03  -8.07974E-04  -1.10096E-02  -2.20686E-03  -1.62095E-02  -3.61288E-03  -2.04560E-02  -4.68152E-03  -2.28109E-02  -5.15710E-03  -2.26516E-02  -4.89275E-03  -1.97054E-02  -3.85725E-03  -1.40452E-02  -2.12608E-03  -6.04349E-03   1.43845E-04   3.71536E-03   2.75395E-03   1.45586E-02   5.51508E-03   2.58754E-02
