#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   2.86361E-03   5.19525E-03   3.48081E-03   5.27304E-03   3.81941E-03   4.49989E-03   3.87950E-03   3.03750E-03   3.67775E-03   1.05815E-03   3.24620E-03  -1.26000E-03   2.62972E-03  -3.73911E-03   1.88240E-03  -6.20866E-03   1.06318E-03  -8.51283E-03   2.31052E-04  -1.05178E-02  -5.42211E-04  -1.20157E-02  -9.61590E-04  -1.15693E-02  -1.23919E-03  -1.04975E-02  -1.37462E-03  -8.90040E-03  -1.36108E-03  -6.80387E-03  -1.20476E-03  -4.26134E-03  -9.22788E-04  -1.34680E-03  -5.40267E-04   1.85322E-03  -8.65067E-05   5.24887E-03   4.09300E-04   8.75693E-03   9.22850E-04   1.23114E-02
 3.56000E+01   2.88782E-03   5.26584E-03   3.51017E-03   5.36329E-03   3.85056E-03   4.60468E-03   3.90866E-03   3.15111E-03   3.70111E-03   1.17475E-03   3.26029E-03  -1.14600E-03   2.63176E-03  -3.63265E-03   1.87057E-03  -6.11378E-03   1.03676E-03  -8.43250E-03   1.90488E-04  -1.04538E-02  -5.94852E-04  -1.19687E-02  -1.01615E-03  -1.15380E-02  -1.29188E-03  -1.04807E-02  -1.42181E-03  -8.89627E-03  -1.39902E-03  -6.81049E-03  -1.22990E-03  -4.27665E-03  -9.32026E-04  -1.36891E-03  -5.31116E-04   1.82588E-03  -5.72111E-05   5.21743E-03   4.59777E-04   8.72208E-03   9.94945E-04   1.22735E-02
 3.59000E+01   2.92543E-03   5.37161E-03   3.55607E-03   5.49841E-03   3.89964E-03   4.76136E-03   3.95514E-03   3.32071E-03   3.73911E-03   1.34840E-03   3.28445E-03  -9.76699E-04   2.63775E-03  -3.47515E-03   1.85550E-03  -5.97414E-03   9.99418E-04  -8.31513E-03   1.31463E-04  -1.03614E-02  -6.72500E-04  -1.19020E-02  -1.09718E-03  -1.14946E-02  -1.37058E-03  -1.04585E-02  -1.49267E-03  -8.89261E-03  -1.45636E-03  -6.82222E-03  -1.26830E-03  -4.30057E-03  -9.46742E-04  -1.40206E-03  -5.18358E-04   1.78594E-03  -1.42934E-05   5.17246E-03   5.34438E-04   8.67314E-03   1.10202E-03   1.22210E-02
 3.61000E+01   2.95138E-03   5.44207E-03   3.58791E-03   5.58835E-03   3.93393E-03   4.86552E-03   3.98793E-03   3.43327E-03   3.76639E-03   1.46342E-03   3.30254E-03  -8.64887E-04   2.64365E-03  -3.37153E-03   1.84716E-03  -5.88276E-03   9.75970E-04  -8.23890E-03   9.32417E-05  -1.03020E-02  -7.23481E-04  -1.18599E-02  -1.15076E-03  -1.14679E-02  -1.42291E-03  -1.04457E-02  -1.54004E-03  -8.89180E-03  -1.49491E-03  -6.83122E-03  -1.29438E-03  -4.31714E-03  -9.57125E-04  -1.42416E-03  -5.10469E-04   1.76000E-03   1.36922E-05   5.14389E-03   5.83598E-04   8.64268E-03   1.17281E-03   1.21890E-02
 3.64000E+01   2.99160E-03   5.54773E-03   3.63752E-03   5.72310E-03   3.98769E-03   5.02140E-03   4.03981E-03   3.60145E-03   3.81022E-03   1.63490E-03   3.33259E-03  -6.98643E-04   2.65526E-03  -3.21805E-03   1.83713E-03  -5.74812E-03   9.42855E-04  -8.12743E-03   3.74706E-05  -1.02162E-02  -7.98923E-04  -1.18004E-02  -1.23058E-03  -1.14312E-02  -1.50132E-03  -1.04294E-02  -1.61137E-03  -8.89299E-03  -1.55332E-03  -6.84645E-03  -1.33426E-03  -4.34292E-03  -9.73558E-04  -1.45731E-03  -4.99516E-04   1.72207E-03   5.48245E-05   5.10309E-03   6.56560E-04   8.60012E-03   1.27830E-03   1.21451E-02
 3.66000E+01   3.01930E-03   5.61816E-03   3.67183E-03   5.81285E-03   4.02509E-03   5.12511E-03   4.07619E-03   3.71318E-03   3.84135E-03   1.74859E-03   3.35455E-03  -5.88731E-04   2.66481E-03  -3.11696E-03   1.83204E-03  -5.65990E-03   9.22089E-04  -8.05497E-03   1.25731E-06  -1.01611E-02  -8.48614E-04  -1.17630E-02  -1.28353E-03  -1.14088E-02  -1.55360E-03  -1.04204E-02  -1.65919E-03  -8.89536E-03  -1.59268E-03  -6.85774E-03  -1.36138E-03  -4.36072E-03  -9.85087E-04  -1.47944E-03  -4.92777E-04   1.69742E-03   8.17331E-05   5.07720E-03   7.04763E-04   8.57378E-03   1.34827E-03   1.21187E-02
 3.69000E+01   3.06216E-03   5.72383E-03   3.72517E-03   5.94741E-03   4.08352E-03   5.28044E-03   4.13344E-03   3.88027E-03   3.89090E-03   1.91827E-03   3.39034E-03  -4.25135E-04   2.68181E-03  -2.96706E-03   1.82674E-03  -5.52978E-03   8.92810E-04  -7.94892E-03  -5.17284E-05  -1.00815E-02  -9.22377E-04  -1.17102E-02  -1.36266E-03  -1.13785E-02  -1.63217E-03  -1.04098E-02  -1.73138E-03  -8.90120E-03  -1.65244E-03  -6.87634E-03  -1.40290E-03  -4.38835E-03  -1.00325E-03  -1.51269E-03  -4.83477E-04   1.66133E-03   1.21409E-04   5.04028E-03   7.76539E-04   8.53722E-03   1.45287E-03   1.20830E-02
 3.72000E+01   3.10662E-03   5.82956E-03   3.78077E-03   6.08195E-03   4.14478E-03   5.43555E-03   4.19391E-03   4.04684E-03   3.94387E-03   2.08704E-03   3.42953E-03  -2.62944E-04   2.70196E-03  -2.81910E-03   1.82416E-03  -5.40217E-03   8.65669E-04  -7.84593E-03  -1.03244E-04  -1.00055E-02  -9.95364E-04  -1.16613E-02  -1.44159E-03  -1.13518E-02  -1.71105E-03  -1.04025E-02  -1.80427E-03  -8.90974E-03  -1.71315E-03  -6.89691E-03  -1.44548E-03  -4.41706E-03  -1.02246E-03  -1.54602E-03  -4.75106E-04   1.62626E-03   1.60354E-04   5.00556E-03   8.47831E-04   8.50409E-03   1.55726E-03   1.20520E-02
 3.74000E+01   3.13716E-03   5.90011E-03   3.81909E-03   6.17166E-03   4.18719E-03   5.53887E-03   4.23602E-03   4.15766E-03   3.98108E-03   2.19909E-03   3.45752E-03  -1.55533E-04   2.71712E-03  -2.72148E-03   1.82391E-03  -5.31842E-03   8.48709E-04  -7.77889E-03  -1.36840E-04  -9.95665E-03  -1.04367E-03  -1.16308E-02  -1.49419E-03  -1.13359E-02  -1.76388E-03  -1.03993E-02  -1.85331E-03  -8.91691E-03  -1.75420E-03  -6.91170E-03  -1.47449E-03  -4.43681E-03  -1.03586E-03  -1.56831E-03  -4.70022E-04   1.60343E-03   1.85961E-04   4.98359E-03   8.95169E-04   8.48385E-03   1.62684E-03   1.20338E-02
 3.77000E+01   3.18434E-03   6.00605E-03   3.87850E-03   6.30629E-03   4.25320E-03   5.69380E-03   4.30190E-03   4.32359E-03   4.03976E-03   2.36658E-03   3.50232E-03   4.59703E-06   2.74242E-03  -2.57647E-03   1.82569E-03  -5.19468E-03   8.24894E-04  -7.68066E-03  -1.86207E-04  -9.88614E-03  -1.11572E-03  -1.15881E-02  -1.57316E-03  -1.13151E-02  -1.84359E-03  -1.03972E-02  -1.92764E-03  -8.92980E-03  -1.81670E-03  -6.93549E-03  -1.51897E-03  -4.46734E-03  -1.05685E-03  -1.60184E-03  -4.63111E-04   1.56995E-03   2.23907E-04   4.95236E-03   9.66006E-04   8.45617E-03   1.73136E-03   1.20103E-02
