#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   1.07068E-03   4.73176E-03   1.31488E-03   4.39370E-03   1.46172E-03   3.14448E-03   1.51060E-03   1.20484E-03   1.46705E-03  -1.19436E-03   1.34227E-03  -3.81879E-03   1.15212E-03  -6.43898E-03   9.15804E-04  -8.83933E-03   6.54311E-04  -1.08272E-02   3.88737E-04  -1.22410E-02   1.38708E-04  -1.29572E-02  -7.90378E-05  -1.28951E-02  -2.51764E-04  -1.20188E-02  -3.71471E-04  -1.03377E-02  -4.35194E-04  -7.90264E-03  -4.44828E-04  -4.80017E-03  -4.06508E-04  -1.14424E-03  -3.29558E-04   2.93488E-03  -2.25087E-04   7.30327E-03  -1.04298E-04   1.18376E-02   2.34039E-05   1.64405E-02
 3.56000E+01   1.07597E-03   4.82453E-03   1.32030E-03   4.51530E-03   1.46600E-03   3.28908E-03   1.51247E-03   1.36535E-03   1.46537E-03  -1.02566E-03   1.33617E-03  -3.64964E-03   1.14108E-03  -6.27662E-03   8.99768E-04  -8.69004E-03   6.33683E-04  -1.06960E-02   3.64405E-04  -1.21314E-02   1.11992E-04  -1.28714E-02  -1.06461E-04  -1.28336E-02  -2.77974E-04  -1.19812E-02  -3.94431E-04  -1.03224E-02  -4.52882E-04  -7.90755E-03  -4.55373E-04  -4.82300E-03  -4.08297E-04  -1.18271E-03  -3.21320E-04   2.88273E-03  -2.05929E-04   7.23891E-03  -7.36969E-05   1.17619E-02   6.56668E-05   1.63538E-02
 3.59000E+01   1.08470E-03   4.96291E-03   1.32957E-03   4.69637E-03   1.47390E-03   3.50397E-03   1.51704E-03   1.60330E-03   1.46484E-03  -7.76281E-04   1.32913E-03  -3.40049E-03   1.12667E-03  -6.03850E-03   8.77790E-04  -8.47228E-03   6.04667E-04  -1.05059E-02   3.29608E-04  -1.19741E-02   7.33411E-05  -1.27496E-02  -1.46492E-04  -1.27480E-02  -3.16524E-04  -1.19306E-02  -4.28449E-04  -1.03043E-02  -4.79334E-04  -7.91837E-03  -4.71437E-04  -4.85892E-03  -4.11539E-04  -1.24001E-03  -3.09815E-04   2.80719E-03  -1.78326E-04   7.14746E-03  -2.92018E-05   1.16560E-02   1.27387E-04   1.62341E-02
 3.61000E+01   1.09103E-03   5.05471E-03   1.33650E-03   4.81631E-03   1.48013E-03   3.64603E-03   1.52123E-03   1.76025E-03   1.46576E-03  -6.12280E-04   1.32578E-03  -3.23721E-03   1.11842E-03  -5.88314E-03   8.64445E-04  -8.33098E-03   5.86524E-04  -1.03834E-02   3.07462E-04  -1.18737E-02   4.84406E-05  -1.26730E-02  -1.72518E-04  -1.26953E-02  -3.41780E-04  -1.19008E-02  -4.50901E-04  -1.02954E-02  -4.96951E-04  -7.92783E-03  -4.82327E-04  -4.88397E-03  -4.14064E-04  -1.27800E-03  -3.02679E-04   2.75851E-03  -1.60617E-04   7.08975E-03  -3.85166E-07   1.15903E-02   1.67537E-04   1.61608E-02
 3.64000E+01   1.10127E-03   5.19186E-03   1.34796E-03   4.99523E-03   1.49086E-03   3.85755E-03   1.52917E-03   1.99340E-03   1.46897E-03  -3.69323E-04   1.32269E-03  -2.99617E-03   1.10798E-03  -5.65479E-03   8.46268E-04  -8.12445E-03   5.60986E-04  -1.02057E-02   2.75688E-04  -1.17295E-02   1.22609E-05  -1.25644E-02  -2.10689E-04  -1.26224E-02  -3.79105E-04  -1.18617E-02  -4.84324E-04  -1.02867E-02  -5.23408E-04  -7.94534E-03  -4.98955E-04  -4.92321E-03  -4.18383E-04  -1.33474E-03  -2.92721E-04   2.68786E-03  -1.34996E-04   7.00782E-03   4.17131E-05   1.14987E-02   2.26455E-04   1.60602E-02
 3.66000E+01   1.10859E-03   5.28299E-03   1.35631E-03   5.11394E-03   1.49892E-03   3.99766E-03   1.53552E-03   2.14749E-03   1.47229E-03  -2.09198E-04   1.32186E-03  -2.83787E-03   1.10224E-03  -5.50547E-03   8.35315E-04  -7.99016E-03   5.45009E-04  -1.00911E-02   2.55399E-04  -1.16374E-02  -1.11476E-05  -1.24962E-02  -2.35621E-04  -1.25778E-02  -4.03674E-04  -1.18392E-02  -5.06482E-04  -1.02839E-02  -5.41099E-04  -7.95917E-03  -5.10252E-04  -4.95049E-03  -4.21611E-04  -1.37245E-03  -2.86552E-04   2.64224E-03  -1.18492E-04   6.95616E-03   6.91049E-05   1.14421E-02   2.64966E-04   1.59992E-02
 3.69000E+01   1.12028E-03   5.41935E-03   1.36987E-03   5.29134E-03   1.51233E-03   4.20666E-03   1.54662E-03   2.37686E-03   1.47899E-03   2.85153E-05   1.32240E-03  -2.60365E-03   1.09540E-03  -5.28553E-03   8.20536E-04  -7.79350E-03   5.22514E-04  -9.92443E-03   2.26198E-04  -1.15050E-02  -4.53031E-05  -1.23998E-02  -2.72353E-04  -1.25167E-02  -4.40147E-04  -1.18108E-02  -5.39612E-04  -1.02840E-02  -5.67770E-04  -7.98312E-03  -5.27539E-04  -4.99308E-03  -4.26970E-04  -1.42891E-03  -2.77957E-04   2.57591E-03  -9.45147E-05   6.88289E-03   1.09306E-04   1.13637E-02   3.21746E-04   1.59163E-02
 3.72000E+01   1.13283E-03   5.55541E-03   1.38466E-03   5.46810E-03   1.52729E-03   4.41452E-03   1.55953E-03   2.60442E-03   1.48768E-03   2.63596E-04   1.32501E-03  -2.37297E-03   1.09058E-03  -5.07005E-03   8.07635E-04  -7.60218E-03   5.01668E-04  -9.76386E-03   1.98354E-04  -1.13792E-02  -7.84317E-05  -1.23101E-02  -3.08402E-04  -1.24622E-02  -4.76272E-04  -1.17884E-02  -5.72697E-04  -1.02894E-02  -5.94662E-04  -8.01083E-03  -5.45266E-04  -5.03770E-03  -4.32940E-04  -1.48534E-03  -2.70105E-04   2.51193E-03  -7.13826E-05   6.81447E-03   1.48579E-04   1.12927E-02   3.77524E-04   1.58436E-02
 3.74000E+01   1.14167E-03   5.64602E-03   1.39518E-03   5.58568E-03   1.53812E-03   4.55258E-03   1.56914E-03   2.75526E-03   1.49456E-03   4.19032E-04   1.32785E-03  -2.22096E-03   1.08844E-03  -4.92868E-03   8.00026E-04  -7.47739E-03   4.88629E-04  -9.65999E-03   1.80484E-04  -1.12988E-02  -1.00010E-04  -1.22540E-02  -3.32116E-04  -1.24294E-02  -5.00216E-04  -1.17768E-02  -5.94777E-04  -1.02957E-02  -6.12746E-04  -8.03138E-03  -5.57345E-04  -5.06859E-03  -4.37257E-04  -1.52299E-03  -2.65260E-04   2.47050E-03  -5.63833E-05   6.77143E-03   1.74318E-04   1.12493E-02   4.14249E-04   1.58005E-02
 3.77000E+01   1.15562E-03   5.78189E-03   1.41196E-03   5.76182E-03   1.55563E-03   4.75910E-03   1.58501E-03   2.98047E-03   1.50646E-03   6.50514E-04   1.33375E-03  -1.99531E-03   1.08680E-03  -4.71975E-03   7.90033E-04  -7.29407E-03   4.70282E-04  -9.50869E-03   1.54634E-04  -1.11832E-02  -1.31702E-04  -1.21750E-02  -3.67294E-04  -1.23854E-02  -5.36003E-04  -1.17642E-02  -6.27995E-04  -1.03093E-02  -6.40156E-04  -8.06527E-03  -5.75882E-04  -5.11664E-03  -4.44239E-04  -1.57956E-03  -2.58544E-04   2.41009E-03  -3.44519E-05   6.71057E-03   2.12360E-04   1.11901E-02   4.68781E-04   1.57437E-02
 3.80000E+01   1.17041E-03   5.91782E-03   1.42993E-03   5.93782E-03   1.57463E-03   4.96514E-03   1.60262E-03   3.20467E-03   1.52024E-03   8.80280E-04   1.34154E-03  -1.77221E-03   1.08697E-03  -4.51425E-03   7.81671E-04  -7.11506E-03   4.53304E-04  -9.36250E-03   1.29836E-04  -1.10733E-02  -1.62683E-04  -1.21020E-02  -4.02098E-04  -1.23475E-02  -5.71725E-04  -1.17572E-02  -6.61410E-04  -1.03278E-02  -6.67964E-04  -8.10281E-03  -5.94952E-04  -5.16678E-03  -4.51826E-04  -1.63633E-03  -2.52454E-04   2.35161E-03  -1.31286E-05   6.65396E-03   2.49838E-04   1.11375E-02   5.22801E-04   1.56961E-02
 3.83000E+01   1.18603E-03   6.05392E-03   1.44908E-03   6.11388E-03   1.59513E-03   5.17092E-03   1.62194E-03   3.42813E-03   1.53586E-03   1.10864E-03   1.35119E-03  -1.55132E-03   1.08890E-03  -4.31185E-03   7.74869E-04  -6.94004E-03   4.37609E-04  -9.22108E-03   1.05995E-04  -1.09688E-02  -1.93055E-04  -1.20348E-02  -4.36631E-04  -1.23154E-02  -6.07480E-04  -1.17557E-02  -6.95105E-04  -1.03510E-02  -6.96231E-04  -8.14399E-03  -6.14590E-04  -5.21904E-03  -4.60023E-04  -1.69339E-03  -2.46956E-04   2.29493E-03   7.66304E-06   6.60143E-03   2.86869E-04   1.10914E-02   5.76473E-04   1.56574E-02
 3.85000E+01   1.19691E-03   6.14482E-03   1.46251E-03   6.23136E-03   1.60962E-03   5.30809E-03   1.63578E-03   3.57682E-03   1.54729E-03   1.26025E-03   1.35863E-03  -1.40512E-03   1.09115E-03  -4.17847E-03   7.71170E-04  -6.82541E-03   4.27821E-04  -9.12932E-03   9.05885E-05  -1.09020E-02  -2.13012E-04  -1.19931E-02  -4.59552E-04  -1.22971E-02  -6.31381E-04  -1.17578E-02  -7.17765E-04  -1.03691E-02  -7.15364E-04  -8.17345E-03  -6.28017E-04  -5.25507E-03  -4.65828E-04  -1.73163E-03  -2.43604E-04   2.25808E-03   2.12641E-05   6.56859E-03   3.11365E-04   1.10641E-02   6.12137E-04   1.56363E-02
 3.88000E+01   1.21394E-03   6.28147E-03   1.48365E-03   6.40788E-03   1.63261E-03   5.51395E-03   1.65796E-03   3.79963E-03   1.56595E-03   1.48694E-03   1.37131E-03  -1.18721E-03   1.09591E-03  -3.98051E-03   7.66834E-04  -6.65633E-03   4.14099E-04  -8.99523E-03   6.81489E-05  -1.08060E-02  -2.42579E-04  -1.19351E-02  -4.93850E-04  -1.22743E-02  -6.67397E-04  -1.17652E-02  -7.52109E-04  -1.04002E-02  -7.44540E-04  -8.22064E-03  -6.48687E-04  -5.31094E-03  -4.75053E-04  -1.78935E-03  -2.39025E-04   2.20413E-03   4.13253E-05   6.52247E-03   3.47903E-04   1.10283E-02   6.65572E-04   1.56118E-02
