#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   2.65895E-03   4.95775E-03   3.18814E-03   4.96299E-03   3.44884E-03   4.15905E-03   3.45207E-03   2.73050E-03   3.22391E-03   8.71808E-04   2.80416E-03  -1.21725E-03   2.24381E-03  -3.33728E-03   1.60175E-03  -5.29563E-03   9.40872E-04  -6.91256E-03   2.92018E-04  -8.30111E-03  -3.03815E-04  -9.38807E-03  -7.75274E-04  -9.87515E-03  -1.10181E-03  -9.78328E-03  -1.27486E-03  -9.16446E-03  -1.29886E-03  -8.10128E-03  -1.19119E-03  -6.70468E-03  -9.81269E-04  -5.11057E-03  -7.08836E-04  -3.47546E-03  -4.21797E-04  -1.97152E-03  -1.73772E-04  -7.81638E-04  -2.17564E-05  -9.48582E-05
 3.56000E+01   2.67949E-03   5.02342E-03   3.21244E-03   5.04602E-03   3.47388E-03   4.25437E-03   3.47463E-03   2.83268E-03   3.24091E-03   9.75446E-04   2.81299E-03  -1.11713E-03   2.24263E-03  -3.24493E-03   1.58966E-03  -5.21431E-03   9.18097E-04  -6.84442E-03   2.59054E-04  -8.24682E-03  -3.45698E-04  -9.34740E-03  -8.23191E-04  -9.84710E-03  -1.15249E-03  -9.76615E-03  -1.32493E-03  -9.15610E-03  -1.34511E-03  -8.09927E-03  -1.23091E-03  -6.70662E-03  -1.01249E-03  -5.11432E-03  -7.30629E-04  -3.47928E-03  -4.34431E-04  -1.97429E-03  -1.78873E-04  -7.82936E-04  -2.23849E-05  -9.50360E-05
 3.59000E+01   2.71139E-03   5.12176E-03   3.25045E-03   5.17025E-03   3.51342E-03   4.39679E-03   3.51077E-03   2.98507E-03   3.26890E-03   1.12967E-03   2.82878E-03  -9.68578E-04   2.24329E-03  -3.10842E-03   1.57375E-03  -5.09472E-03   8.85838E-04  -6.74488E-03   2.11150E-04  -8.16830E-03  -4.07354E-04  -9.28949E-03  -8.94266E-04  -9.80816E-03  -1.22805E-03  -9.74349E-03  -1.39984E-03  -9.14634E-03  -1.41451E-03  -8.09870E-03  -1.29062E-03  -6.71156E-03  -1.05952E-03  -5.12147E-03  -7.63495E-04  -3.48605E-03  -4.53505E-04  -1.97904E-03  -1.86580E-04  -7.85116E-04  -2.33351E-05  -9.53312E-05
 3.61000E+01   2.73339E-03   5.18723E-03   3.27683E-03   5.25287E-03   3.54108E-03   4.49139E-03   3.53637E-03   3.08612E-03   3.28919E-03   1.23171E-03   2.84096E-03  -8.70568E-04   2.24532E-03  -3.01870E-03   1.56458E-03  -5.01651E-03   8.65539E-04  -6.68024E-03   1.80174E-04  -8.11783E-03  -4.47752E-04  -9.25288E-03  -9.41193E-04  -9.78422E-03  -1.27819E-03  -9.73036E-03  -1.44974E-03  -9.14167E-03  -1.46085E-03  -8.09992E-03  -1.33058E-03  -6.71617E-03  -1.09104E-03  -5.12724E-03  -7.85549E-04  -3.49125E-03  -4.66317E-04  -1.98259E-03  -1.91761E-04  -7.86724E-04  -2.39743E-05  -9.55466E-05
 3.64000E+01   2.76748E-03   5.28533E-03   3.31794E-03   5.37657E-03   3.58452E-03   4.63285E-03   3.57700E-03   3.23698E-03   3.32202E-03   1.38372E-03   2.86164E-03  -7.24982E-04   2.25066E-03  -2.88592E-03   1.55286E-03  -4.90135E-03   8.36803E-04  -6.58572E-03   1.35038E-04  -8.04483E-03  -5.07409E-04  -9.20086E-03  -1.01102E-03  -9.75127E-03  -1.35317E-03  -9.71352E-03  -1.52461E-03  -9.13731E-03  -1.53057E-03  -8.10410E-03  -1.39082E-03  -6.72502E-03  -1.13862E-03  -5.13737E-03  -8.18891E-04  -3.50005E-03  -4.85707E-04  -1.98848E-03  -1.99609E-04  -7.89361E-04  -2.49431E-05  -9.58972E-05
 3.66000E+01   2.79093E-03   5.35069E-03   3.34637E-03   5.45890E-03   3.61477E-03   4.72689E-03   3.60558E-03   3.33712E-03   3.34549E-03   1.48440E-03   2.87702E-03  -6.28820E-04   2.25572E-03  -2.79854E-03   1.54638E-03  -4.82596E-03   8.18734E-04  -6.52429E-03   1.05775E-04  -7.99791E-03  -5.46620E-04  -9.16805E-03  -1.05727E-03  -9.73122E-03  -1.40308E-03  -9.70417E-03  -1.57461E-03  -9.13614E-03  -1.57725E-03  -8.10841E-03  -1.43123E-03  -6.73219E-03  -1.17059E-03  -5.14509E-03  -8.41318E-04  -3.50658E-03  -4.98761E-04  -1.99279E-03  -2.04896E-04  -7.91267E-04  -2.55963E-05  -9.61489E-05
 3.69000E+01   2.82720E-03   5.44868E-03   3.39056E-03   5.58225E-03   3.66207E-03   4.86762E-03   3.65064E-03   3.48674E-03   3.38305E-03   1.63453E-03   2.90244E-03  -4.85823E-04   2.26550E-03  -2.66909E-03   1.53859E-03  -4.71484E-03   7.93183E-04  -6.43440E-03   6.30226E-05  -7.93005E-03  -6.04702E-04  -9.12156E-03  -1.12629E-03  -9.70392E-03  -1.47792E-03  -9.69286E-03  -1.64985E-03  -9.13692E-03  -1.64766E-03  -8.11712E-03  -1.49230E-03  -6.74479E-03  -1.21898E-03  -5.15809E-03  -8.75302E-04  -3.51733E-03  -5.18561E-04  -1.99979E-03  -2.12922E-04  -7.94345E-04  -2.65883E-05  -9.65532E-05
 3.72000E+01   2.86479E-03   5.54665E-03   3.43660E-03   5.70547E-03   3.71168E-03   5.00803E-03   3.69835E-03   3.63575E-03   3.42341E-03   1.78369E-03   2.93063E-03  -3.44215E-04   2.27787E-03  -2.54147E-03   1.53302E-03  -4.60596E-03   7.69401E-04  -6.34711E-03   2.15356E-05  -7.86510E-03  -6.62024E-04  -9.07821E-03  -1.19503E-03  -9.67987E-03  -1.55288E-03  -9.68473E-03  -1.72550E-03  -9.14068E-03  -1.71867E-03  -8.12846E-03  -1.55401E-03  -6.75958E-03  -1.26797E-03  -5.17275E-03  -9.09747E-04  -3.52922E-03  -5.38652E-04  -2.00745E-03  -2.21072E-04  -7.97682E-04  -2.75964E-05  -9.69888E-05
 3.74000E+01   2.89058E-03   5.61198E-03   3.46833E-03   5.78757E-03   3.74604E-03   5.10149E-03   3.73161E-03   3.73479E-03   3.45186E-03   1.88265E-03   2.95095E-03  -2.50522E-04   2.28752E-03  -2.45733E-03   1.53051E-03  -4.53456E-03   7.54483E-04  -6.29030E-03  -5.47578E-06  -7.82335E-03  -6.99880E-04  -9.05101E-03  -1.24076E-03  -9.66558E-03  -1.60298E-03  -9.68104E-03  -1.77623E-03  -9.14480E-03  -1.76639E-03  -8.13745E-03  -1.59556E-03  -6.77063E-03  -1.30099E-03  -5.18344E-03  -9.32996E-04  -3.53777E-03  -5.52223E-04  -2.01291E-03  -2.26582E-04  -8.00048E-04  -2.82782E-05  -9.72965E-05
 3.77000E+01   2.93038E-03   5.71001E-03   3.51748E-03   5.91070E-03   3.79952E-03   5.24151E-03   3.78371E-03   3.88298E-03   3.49684E-03   2.03041E-03   2.98370E-03  -1.10971E-04   2.30407E-03  -2.33248E-03   1.52850E-03  -4.42914E-03   7.33445E-04  -6.20706E-03  -4.51017E-05  -7.76299E-03  -7.56219E-04  -9.01267E-03  -1.30932E-03  -9.64671E-03  -1.67843E-03  -9.67802E-03  -1.85286E-03  -9.15335E-03  -1.83864E-03  -8.15304E-03  -1.65858E-03  -6.78895E-03  -1.35114E-03  -5.20082E-03  -9.68336E-04  -3.55152E-03  -5.72869E-04  -2.02162E-03  -2.34969E-04  -8.03805E-04  -2.93168E-05  -9.77834E-05
