#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   3.71580E-03   4.64486E-03   4.56318E-03   4.62330E-03   5.07114E-03   3.81611E-03   5.23436E-03   2.38306E-03   5.06743E-03   4.89101E-04   4.60362E-03  -1.70006E-03   3.89209E-03  -4.02353E-03   2.99386E-03  -6.33129E-03   1.97684E-03  -8.49031E-03   9.10318E-04  -1.03906E-02  -1.40715E-04  -1.19502E-02  -1.07951E-03  -1.29290E-02  -1.79797E-03  -1.31132E-02  -2.24362E-03  -1.25293E-02  -2.39720E-03  -1.12628E-02  -2.27371E-03  -9.45441E-03  -1.92077E-03  -7.29358E-03  -1.41465E-03  -5.01054E-03  -8.54620E-04  -2.86666E-03  -3.56289E-04  -1.14468E-03  -4.50266E-05  -1.39751E-04
 3.56000E+01   3.74607E-03   4.70820E-03   4.59996E-03   4.70443E-03   5.11024E-03   3.91081E-03   5.27104E-03   2.48671E-03   5.09682E-03   5.97037E-04   4.62120E-03  -1.59233E-03   3.89407E-03  -3.92004E-03   2.97751E-03  -6.23542E-03   1.94071E-03  -8.40473E-03   8.54322E-04  -1.03171E-02  -2.15387E-04  -1.18899E-02  -1.16930E-03  -1.28822E-02  -1.89677E-03  -1.30792E-02  -2.34438E-03  -1.25067E-02  -2.49275E-03  -1.12495E-02  -2.35754E-03  -9.44788E-03  -1.98786E-03  -7.29147E-03  -1.46216E-03  -5.01074E-03  -8.82497E-04  -2.86755E-03  -3.67654E-04  -1.14529E-03  -4.64380E-05  -1.39851E-04
 3.59000E+01   3.79326E-03   4.80283E-03   4.65770E-03   4.82549E-03   5.17219E-03   4.05191E-03   5.32993E-03   2.64090E-03   5.14518E-03   7.57268E-04   4.65200E-03  -1.43278E-03   3.90142E-03  -3.76721E-03   2.95712E-03  -6.09439E-03   1.89022E-03  -8.27941E-03   7.73430E-04  -1.02102E-02  -3.24963E-04  -1.18028E-02  -1.30227E-03  -1.28154E-02  -2.04394E-03  -1.30316E-02  -2.49512E-03  -1.24758E-02  -2.63612E-03  -1.12321E-02  -2.48362E-03  -9.44025E-03  -2.08893E-03  -7.28994E-03  -1.53385E-03  -5.01214E-03  -9.24606E-04  -2.86950E-03  -3.84837E-04  -1.14645E-03  -4.85734E-05  -1.40032E-04
 3.61000E+01   3.82590E-03   4.86566E-03   4.69790E-03   4.90577E-03   5.21567E-03   4.14536E-03   5.37175E-03   2.74285E-03   5.18022E-03   8.63006E-04   4.67545E-03  -1.32774E-03   3.90918E-03  -3.66690E-03   2.94619E-03  -6.00216E-03   1.85890E-03  -8.19783E-03   7.21448E-04  -1.01410E-02  -3.96529E-04  -1.17470E-02  -1.38992E-03  -1.27731E-02  -2.14153E-03  -1.30020E-02  -2.59547E-03  -1.24573E-02  -2.73186E-03  -1.12222E-02  -2.56800E-03  -9.43656E-03  -2.15670E-03  -7.28998E-03  -1.58198E-03  -5.01379E-03  -9.52907E-04  -2.87121E-03  -3.96395E-04  -1.14738E-03  -5.00109E-05  -1.40171E-04
 3.64000E+01   3.87666E-03   4.95954E-03   4.76074E-03   5.02560E-03   5.28414E-03   4.28463E-03   5.43828E-03   2.89456E-03   5.23693E-03   1.02004E-03   4.71489E-03  -1.17213E-03   3.92500E-03  -3.51870E-03   2.93365E-03  -5.86639E-03   1.81528E-03  -8.07832E-03   6.46197E-04  -1.00403E-02  -5.01870E-04  -1.16664E-02  -1.52013E-03  -1.27128E-02  -2.28736E-03  -1.29607E-02  -2.74604E-03  -1.24322E-02  -2.87592E-03  -1.12099E-02  -2.69526E-03  -9.43304E-03  -2.25908E-03  -7.29155E-03  -1.65478E-03  -5.01728E-03  -9.95761E-04  -2.87434E-03  -4.13912E-04  -1.14901E-03  -5.21908E-05  -1.40408E-04
 3.66000E+01   3.91168E-03   5.02189E-03   4.80434E-03   5.10509E-03   5.33194E-03   4.37691E-03   5.48515E-03   2.99490E-03   5.27748E-03   1.12370E-03   4.74400E-03  -1.06963E-03   3.93827E-03  -3.42139E-03   2.92779E-03  -5.77757E-03   1.78836E-03  -8.00050E-03   5.97740E-04  -9.97513E-03  -5.70879E-04  -1.16148E-02  -1.60622E-03  -1.26747E-02  -2.38434E-03  -1.29351E-02  -2.84658E-03  -1.24173E-02  -2.97239E-03  -1.12032E-02  -2.78065E-03  -9.43199E-03  -2.32789E-03  -7.29358E-03  -1.70378E-03  -5.02027E-03  -1.02463E-03  -2.87680E-03  -4.25721E-04  -1.15024E-03  -5.36614E-05  -1.40583E-04
 3.69000E+01   3.96600E-03   5.11507E-03   4.87228E-03   5.22375E-03   5.40687E-03   4.51447E-03   5.55921E-03   3.14426E-03   5.34238E-03   1.27771E-03   4.79182E-03  -9.17723E-04   3.96219E-03  -3.27756E-03   2.92264E-03  -5.64677E-03   1.75105E-03  -7.88644E-03   5.27449E-04  -9.88026E-03  -6.72760E-04  -1.15403E-02  -1.73452E-03  -1.26205E-02  -2.52968E-03  -1.28997E-02  -2.99782E-03  -1.23976E-02  -3.11792E-03  -1.11955E-02  -2.90974E-03  -9.43226E-03  -2.43207E-03  -7.29801E-03  -1.77806E-03  -5.02569E-03  -1.06844E-03  -2.88102E-03  -4.43656E-04  -1.15230E-03  -5.58961E-05  -1.40871E-04
 3.72000E+01   4.02247E-03   5.20784E-03   4.94329E-03   5.34174E-03   5.48568E-03   4.65103E-03   5.63777E-03   3.29225E-03   5.41215E-03   1.42997E-03   4.84459E-03  -7.67947E-04   3.99083E-03  -3.13624E-03   2.92173E-03  -5.51880E-03   1.71728E-03  -7.77551E-03   4.59843E-04  -9.78872E-03  -7.72904E-04  -1.14693E-02  -1.86204E-03  -1.25698E-02  -2.67513E-03  -1.28675E-02  -3.14986E-03  -1.23809E-02  -3.26468E-03  -1.11904E-02  -3.04023E-03  -9.43467E-03  -2.53758E-03  -7.30405E-03  -1.85339E-03  -5.03219E-03  -1.11292E-03  -2.88585E-03  -4.61881E-04  -1.15459E-03  -5.81686E-05  -1.41188E-04
 3.74000E+01   4.06133E-03   5.26945E-03   4.99234E-03   5.42002E-03   5.54038E-03   4.74152E-03   5.69265E-03   3.39018E-03   5.46136E-03   1.53053E-03   4.88250E-03  -6.69252E-04   4.01251E-03  -3.04338E-03   2.92342E-03  -5.43502E-03   1.69666E-03  -7.70323E-03   4.16165E-04  -9.72947E-03  -8.38817E-04  -1.14237E-02  -1.94675E-03  -1.25379E-02  -2.77228E-03  -1.28478E-02  -3.25179E-03  -1.23714E-02  -3.36332E-03  -1.11884E-02  -3.12812E-03  -9.43739E-03  -2.60875E-03  -7.30891E-03  -1.90425E-03  -5.03708E-03  -1.14298E-03  -2.88938E-03  -4.74207E-04  -1.15624E-03  -5.97064E-05  -1.41414E-04
 3.77000E+01   4.12143E-03   5.36155E-03   5.06851E-03   5.53690E-03   5.62570E-03   4.87647E-03   5.77872E-03   3.53597E-03   5.53920E-03   1.67998E-03   4.94341E-03  -5.22905E-04   4.04887E-03  -2.90606E-03   2.92934E-03  -5.31159E-03   1.66845E-03  -7.59724E-03   3.52600E-04  -9.64319E-03  -9.36579E-04  -1.13581E-02  -2.07356E-03  -1.24926E-02  -2.91850E-03  -1.28208E-02  -3.40574E-03  -1.23594E-02  -3.51270E-03  -1.11874E-02  -3.26144E-03  -9.44308E-03  -2.71686E-03  -7.31741E-03  -1.98160E-03  -5.04523E-03  -1.18873E-03  -2.89513E-03  -4.92981E-04  -1.15889E-03  -6.20499E-05  -1.41775E-04
 3.80000E+01   4.18374E-03   5.45324E-03   5.14781E-03   5.65313E-03   5.71495E-03   5.01045E-03   5.86932E-03   3.68047E-03   5.62189E-03   1.82778E-03   5.00917E-03  -3.78555E-04   4.08977E-03  -2.77107E-03   2.93922E-03  -5.19076E-03   1.64341E-03  -7.49409E-03   2.91224E-04  -9.55990E-03  -1.03320E-03  -1.12956E-02  -2.20026E-03  -1.24504E-02  -3.06552E-03  -1.27968E-02  -3.56119E-03  -1.23500E-02  -3.66396E-03  -1.11886E-02  -3.39674E-03  -9.45059E-03  -2.82675E-03  -7.32726E-03  -2.06033E-03  -5.05428E-03  -1.23535E-03  -2.90138E-03  -5.12122E-04  -1.16175E-03  -6.44407E-05  -1.42159E-04
 3.83000E+01   4.24830E-03   5.54452E-03   5.23027E-03   5.76870E-03   5.80817E-03   5.14347E-03   5.96448E-03   3.82369E-03   5.70944E-03   1.97396E-03   5.07978E-03  -2.36163E-04   4.13518E-03  -2.63835E-03   2.95298E-03  -5.07246E-03   1.62139E-03  -7.39367E-03   2.31875E-04  -9.47948E-03  -1.12888E-03  -1.12360E-02  -2.32710E-03  -1.24111E-02  -3.21362E-03  -1.27754E-02  -3.71840E-03  -1.23431E-02  -3.81736E-03  -1.11919E-02  -3.53423E-03  -9.45979E-03  -2.93859E-03  -7.33837E-03  -2.14056E-03  -5.06417E-03  -1.28289E-03  -2.90810E-03  -5.31658E-04  -1.16478E-03  -6.68823E-05  -1.42565E-04
 3.85000E+01   4.29259E-03   5.60515E-03   5.28702E-03   5.84537E-03   5.87255E-03   5.23163E-03   6.03047E-03   3.91845E-03   5.77052E-03   2.07051E-03   5.12954E-03  -1.42309E-04   4.16795E-03  -2.55111E-03   2.96429E-03  -4.99497E-03   1.60835E-03  -7.32820E-03   1.93360E-04  -9.42742E-03  -1.19224E-03  -1.11979E-02  -2.41184E-03  -1.23864E-02  -3.31306E-03  -1.27626E-02  -3.82430E-03  -1.23398E-02  -3.92093E-03  -1.11953E-02  -3.62721E-03  -9.46681E-03  -3.01432E-03  -7.34643E-03  -2.19493E-03  -5.07119E-03  -1.31513E-03  -2.91282E-03  -5.44916E-04  -1.16689E-03  -6.85401E-05  -1.42846E-04
 3.88000E+01   4.36094E-03   5.69575E-03   5.37486E-03   5.95983E-03   5.97250E-03   5.36305E-03   6.13333E-03   4.05953E-03   5.86624E-03   2.21400E-03   5.20823E-03  -3.12439E-06   4.22081E-03  -2.42206E-03   2.98439E-03  -4.88074E-03   1.59117E-03  -7.23216E-03   1.37061E-04  -9.35156E-03  -1.28677E-03  -1.11429E-02  -2.53939E-03  -1.23516E-02  -3.46346E-03  -1.27455E-02  -3.98498E-03  -1.23367E-02  -4.07841E-03  -1.12018E-02  -3.76881E-03  -9.47856E-03  -3.12978E-03  -7.35942E-03  -2.27790E-03  -5.08232E-03  -1.36438E-03  -2.92023E-03  -5.65175E-04  -1.17019E-03  -7.10743E-05  -1.43284E-04
 3.91000E+01   4.43163E-03   5.78591E-03   5.46599E-03   6.07359E-03   6.07656E-03   5.49349E-03   6.24087E-03   4.19931E-03   5.96690E-03   2.35589E-03   5.29180E-03   1.34156E-04   4.27814E-03  -2.29519E-03   3.00824E-03  -4.76889E-03   1.57676E-03  -7.13863E-03   8.24109E-05  -9.27829E-03  -1.38085E-03  -1.10906E-02  -2.66765E-03  -1.23193E-02  -3.61557E-03  -1.27308E-02  -4.14806E-03  -1.23357E-02  -4.23865E-03  -1.12100E-02  -3.91315E-03  -9.49167E-03  -3.24764E-03  -7.37340E-03  -2.36268E-03  -5.09410E-03  -1.41474E-03  -2.92798E-03  -5.85905E-04  -1.17363E-03  -7.36687E-05  -1.43737E-04
