#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp__3
## Courbe 1
## resp__2
## Courbe 2
## resp__1
## Courbe 3
## resp_0
## Courbe 4
## resp_1
## Courbe 5
## resp_2
## Courbe 6
## resp_3
## Courbe 7
## resp_4
## Courbe 8
## resp_5
## Courbe 9
## resp_6
## Courbe 10
## resp_7
## Courbe 11
## resp_8
## Courbe 12
## resp_9
## Courbe 13
## resp_10
## Courbe 14
## resp_11
## Courbe 15
## resp_12
## Courbe 16
## resp_13
## Courbe 17
## resp_14
## Courbe 18
## resp_15
## Courbe 19
## resp_16
## Courbe 20
## resp_17
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I       DZ_13_R       DZ_13_I       DZ_14_R       DZ_14_I       DZ_15_R       DZ_15_I       DZ_16_R       DZ_16_I       DZ_17_R       DZ_17_I       DZ_18_R       DZ_18_I       DZ_19_R       DZ_19_I       DZ_20_R       DZ_20_I     
 3.54000E+01   3.60008E-03   3.57292E-03   4.42085E-03   3.04831E-03   4.92875E-03   1.75221E-03   5.12814E-03  -1.06564E-04   5.04034E-03  -2.32013E-03   4.70201E-03  -4.68731E-03   4.16225E-03  -7.02023E-03   3.47870E-03  -9.15107E-03   2.71312E-03  -1.09384E-02   1.92676E-03  -1.22731E-02   1.17812E-03  -1.30656E-02   5.47248E-04  -1.30645E-02   3.80575E-05  -1.24918E-02  -3.29988E-04  -1.14087E-02  -5.49722E-04  -9.89731E-03  -6.28791E-04  -8.07429E-03  -5.88510E-04  -6.08571E-03  -4.61907E-04  -4.10155E-03  -2.91223E-04  -2.30971E-03  -1.25148E-04  -9.10193E-04  -1.61755E-05  -1.09901E-04
 3.56000E+01   3.61053E-03   3.63962E-03   4.42853E-03   3.13468E-03   4.92974E-03   1.85427E-03   5.11879E-03   6.72447E-06   5.01763E-03  -2.20024E-03   4.66381E-03  -4.56533E-03   4.10752E-03  -6.90033E-03   3.40765E-03  -9.03684E-03   2.62724E-03  -1.08328E-02   1.82870E-03  -1.21782E-02   1.07164E-03  -1.29827E-02   4.38543E-04  -1.29946E-02  -6.80263E-05  -1.24348E-02  -4.28760E-04  -1.13639E-02  -6.36945E-04  -9.86370E-03  -7.01103E-04  -8.05041E-03  -6.43799E-04  -6.06994E-03  -4.99642E-04  -4.09218E-03  -3.12706E-04  -2.30504E-03  -1.33693E-04  -9.08549E-04  -1.72155E-05  -1.09723E-04
 3.59000E+01   3.62839E-03   3.73906E-03   4.44328E-03   3.26325E-03   4.93546E-03   2.00595E-03   5.10993E-03   1.74781E-04   4.98947E-03  -2.02276E-03   4.61295E-03  -4.38518E-03   4.03219E-03  -6.72370E-03   3.30794E-03  -8.86907E-03   2.50513E-03  -1.06782E-02   1.68798E-03  -1.20397E-02   9.17805E-04  -1.28625E-02   2.80680E-04  -1.28936E-02  -2.22709E-04  -1.23529E-02  -5.73257E-04  -1.13000E-02  -7.64897E-04  -9.81599E-03  -8.07419E-04  -8.01675E-03  -7.25241E-04  -6.04789E-03  -5.55313E-04  -4.07920E-03  -3.44440E-04  -2.29862E-03  -1.46330E-04  -9.06316E-04  -1.87549E-05  -1.09483E-04
 3.61000E+01   3.64172E-03   3.80494E-03   4.45518E-03   3.34832E-03   4.94199E-03   2.10614E-03   5.10732E-03   2.85597E-04   4.97447E-03  -1.90597E-03   4.58315E-03  -4.26691E-03   3.98626E-03  -6.60805E-03   3.24578E-03  -8.75955E-03   2.42794E-03  -1.05776E-02   1.59815E-03  -1.19501E-02   8.18895E-04  -1.27850E-02   1.78650E-04  -1.28288E-02  -3.23101E-04  -1.23006E-02  -6.67356E-04  -1.12594E-02  -8.48450E-04  -9.78596E-03  -8.77003E-04  -7.99573E-03  -7.78644E-04  -6.03425E-03  -5.91875E-04  -4.07125E-03  -3.65309E-04  -2.29473E-03  -1.54649E-04  -9.04982E-04  -1.97692E-05  -1.09342E-04
 3.64000E+01   3.66375E-03   3.90319E-03   4.47604E-03   3.47500E-03   4.95571E-03   2.25510E-03   5.10814E-03   4.50036E-04   4.95737E-03  -1.73302E-03   4.54430E-03  -4.09219E-03   3.92346E-03  -6.43767E-03   3.15867E-03  -8.59871E-03   2.31808E-03  -1.04303E-02   1.46896E-03  -1.18194E-02   6.75586E-04  -1.26725E-02   3.00243E-05  -1.27353E-02  -4.69963E-04  -1.22256E-02  -8.05483E-04  -1.12017E-02  -9.71440E-04  -9.74350E-03  -9.79663E-04  -7.96630E-03  -8.57581E-04  -6.01534E-03  -6.46002E-04  -4.06037E-03  -3.96244E-04  -2.28948E-03  -1.66993E-04  -9.03207E-04  -2.12756E-05  -1.09158E-04
 3.66000E+01   3.67976E-03   3.96831E-03   4.49187E-03   3.55884E-03   4.96738E-03   2.35353E-03   5.11173E-03   5.58503E-04   4.94942E-03  -1.61918E-03   4.52214E-03  -3.97746E-03   3.88546E-03  -6.32609E-03   3.10445E-03  -8.49370E-03   2.24856E-03  -1.03346E-02   1.38632E-03  -1.17347E-02   5.83191E-04  -1.26000E-02  -6.63325E-05  -1.26754E-02  -5.65590E-04  -1.21779E-02  -8.95735E-04  -1.11651E-02  -1.05203E-03  -9.71690E-03  -1.04708E-03  -7.94804E-03  -9.09520E-04  -6.00376E-03  -6.81671E-04  -4.05379E-03  -4.16656E-04  -2.28636E-03  -1.75147E-04  -9.02172E-04  -2.22716E-05  -1.09053E-04
 3.69000E+01   3.70570E-03   4.06545E-03   4.51843E-03   3.68373E-03   4.98854E-03   2.49992E-03   5.12152E-03   7.19518E-04   4.94248E-03  -1.45054E-03   4.49425E-03  -3.80790E-03   3.83399E-03  -6.16165E-03   3.02861E-03  -8.33946E-03   2.14954E-03  -1.01945E-02   1.26721E-03  -1.16114E-02   4.48952E-04  -1.24949E-02  -2.07126E-04  -1.25890E-02  -7.05936E-04  -1.21095E-02  -1.02866E-03  -1.11133E-02  -1.17105E-03  -9.67948E-03  -1.14689E-03  -7.92265E-03  -9.86547E-04  -5.98786E-03  -7.34652E-04  -4.04492E-03  -4.47012E-04  -2.28224E-03  -1.87287E-04  -9.00837E-04  -2.37556E-05  -1.08922E-04
 3.72000E+01   3.73389E-03   4.16196E-03   4.54826E-03   3.80760E-03   5.01394E-03   2.64484E-03   5.13638E-03   8.78574E-04   4.94126E-03  -1.28437E-03   4.47250E-03  -3.64131E-03   3.78881E-03  -6.00063E-03   2.95898E-03  -8.18902E-03   2.05642E-03  -1.00584E-02   1.15354E-03  -1.14923E-02   3.19532E-04  -1.23942E-02  -3.43821E-04  -1.25068E-02  -8.42930E-04  -1.20450E-02  -1.15895E-03  -1.10648E-02  -1.28811E-03  -9.64497E-03  -1.24532E-03  -7.89961E-03  -1.06269E-03  -5.97371E-03  -7.87117E-04  -4.03720E-03  -4.77119E-04  -2.27876E-03  -1.99341E-04  -8.99755E-04  -2.52307E-05  -1.08821E-04
 3.74000E+01   3.75390E-03   4.22595E-03   4.56991E-03   3.88964E-03   5.03315E-03   2.74066E-03   5.14902E-03   9.83558E-04   4.94351E-03  -1.17492E-03   4.46127E-03  -3.53185E-03   3.76203E-03  -5.89513E-03   2.91583E-03  -8.09077E-03   1.99744E-03  -9.96995E-03   1.08057E-03  -1.14152E-02   2.35720E-04  -1.23293E-02  -4.32877E-04  -1.24542E-02  -9.32587E-04  -1.20040E-02  -1.24453E-03  -1.10344E-02  -1.36522E-03  -9.62355E-03  -1.31030E-03  -7.88551E-03  -1.11304E-03  -5.96522E-03  -8.21868E-04  -4.03269E-03  -4.97085E-04  -2.27680E-03  -2.07343E-04  -8.99172E-04  -2.62108E-05  -1.08770E-04
 3.77000E+01   3.78569E-03   4.32147E-03   4.60496E-03   4.01191E-03   5.06531E-03   2.88326E-03   5.17194E-03   1.13951E-03   4.95132E-03  -1.01268E-03   4.44912E-03  -3.36999E-03   3.72663E-03  -5.73957E-03   2.85575E-03  -7.94640E-03   1.91331E-03  -9.84044E-03   9.75037E-04  -1.13030E-02   1.13410E-04  -1.22354E-02  -5.63634E-04  -1.23786E-02  -1.06483E-03  -1.19457E-02  -1.37121E-03  -1.09915E-02  -1.47968E-03  -9.59371E-03  -1.40697E-03  -7.86622E-03  -1.18810E-03  -5.95387E-03  -8.73739E-04  -4.02685E-03  -5.26923E-04  -2.27436E-03  -2.19314E-04  -8.98498E-04  -2.76781E-05  -1.08718E-04
